DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,450.0,454.0,432.25,450.3,84288,55.14
2025-04-15,460.5,469.8,451.55,459.25,80553,60.6
2025-04-16,457.05,465.0,446.4,463.55,46795,56.4
2025-04-17,456.6,498.7,455.15,479.7,148363,48.67
2025-04-21,484.8,495.0,465.5,484.85,38062,44.07
2025-04-22,480.0,492.0,471.2,476.75,34815,60.15
2025-04-23,476.0,539.9,476.0,518.55,363811,35.12
2025-04-24,521.0,538.95,500.35,505.15,85599,48.45
2025-04-25,509.05,510.0,475.0,500.9,86440,65.38
2025-04-28,490.25,504.55,490.25,500.35,73880,74.12
2025-04-29,511.85,517.45,488.0,489.5,19564,36.0
2025-04-30,497.4,497.4,470.95,473.8,17902,63.23
2025-05-02,475.0,481.45,465.35,475.15,26390,58.85
2025-05-05,481.5,497.7,475.2,486.25,22580,59.07
2025-05-06,492.0,523.8,486.0,499.65,94486,63.57
2025-05-07,510.9,569.0,510.9,560.0,220720,44.82
2025-05-08,562.0,603.0,559.5,561.9,214385,49.81
2025-05-09,545.1,604.0,540.0,598.85,186988,56.58
2025-05-12,613.0,641.0,605.1,620.45,170547,62.34
2025-05-13,620.45,638.0,606.4,623.7,62116,49.32
2025-05-14,626.0,629.9,606.55,610.25,29093,73.5
2025-05-15,603.35,630.0,589.5,623.15,52991,59.35
2025-05-16,615.05,629.9,615.05,623.6,18372,51.28
2025-05-19,624.5,663.9,623.6,646.7,107807,49.24
2025-05-20,650.0,653.0,617.9,629.05,47307,40.38
2025-05-21,626.65,650.0,619.4,643.6,34214,41.95
2025-05-22,643.7,650.0,634.45,648.35,36415,56.1
2025-05-23,650.1,653.6,638.5,645.35,36068,59.6
2025-05-26,655.0,655.0,557.95,564.55,209064,48.03
2025-05-27,560.1,594.8,560.1,578.25,85295,42.96
2025-05-28,584.8,584.8,563.55,581.35,40101,42.22
2025-05-29,580.0,580.0,558.0,567.85,43215,48.19
2025-05-30,571.5,573.25,547.5,551.75,38767,53.35
2025-06-02,551.9,559.6,538.05,541.6,30315,58.04
2025-06-03,546.0,583.85,545.5,556.9,72585,48.06
2025-06-04,561.35,569.95,548.2,567.65,45503,39.19
2025-06-05,560.0,599.9,559.55,584.3,84083,46.88
2025-06-06,585.4,592.5,581.0,586.1,28133,60.51
2025-06-09,588.8,600.0,571.2,582.65,45370,44.45
2025-06-10,584.0,590.55,572.05,574.9,32939,52.94
2025-06-11,573.0,579.35,551.55,562.05,41406,56.11
2025-06-12,561.0,569.95,532.35,549.95,53245,53.51
2025-06-13,545.0,574.9,538.95,562.5,55411,46.12
2025-06-16,564.1,575.95,549.15,562.65,36155,48.92
2025-06-17,560.0,565.25,548.1,554.1,23049,42.5
2025-06-18,548.6,567.4,542.35,560.7,37952,43.05
2025-06-19,560.7,573.0,543.25,551.95,24680,48.87
2025-06-20,552.0,567.95,546.75,556.95,18327,49.5
2025-06-23,554.15,561.95,540.35,559.7,14022,48.78
2025-06-24,559.75,592.7,558.75,577.85,83324,42.03
2025-06-25,577.9,595.95,577.9,587.65,20719,53.92
2025-06-26,585.0,586.45,567.15,570.3,21098,56.91
2025-06-27,577.0,593.0,570.3,582.5,35852,35.6
2025-06-30,586.0,625.55,584.55,604.6,119522,50.16
2025-07-01,609.0,649.95,596.8,633.55,291899,20.88
2025-07-02,633.6,642.7,616.7,621.55,72907,28.61
2025-07-03,621.1,621.1,588.15,593.45,66948,41.96
2025-07-04,584.0,615.0,584.0,598.45,45823,34.91
2025-07-07,589.45,595.9,582.3,584.95,28852,45.45
2025-07-08,588.0,659.25,588.0,643.05,332224,19.2
2025-07-09,635.0,640.5,610.55,615.3,71357,27.65
2025-07-10,610.8,617.3,601.4,604.35,36734,34.55
2025-07-11,604.0,660.0,601.2,647.05,234281,27.0
2025-07-14,653.45,733.4,635.35,710.65,455449,21.92
2025-07-15,726.3,746.7,703.0,707.1,289216,34.6
2025-07-16,707.1,731.95,688.0,698.35,80564,33.15
2025-07-17,698.35,719.4,690.2,697.5,151263,14.15
2025-07-18,697.5,701.8,664.6,685.8,66835,37.87
2025-07-21,687.0,699.7,668.65,680.65,50657,46.55
2025-07-22,687.45,715.2,674.6,704.3,93893,31.8
2025-07-23,706.0,737.75,687.3,706.95,92797,20.78
2025-07-24,712.6,747.95,707.55,734.8,140218,38.12
2025-07-25,738.0,738.0,684.0,689.05,73604,46.91
2025-07-28,690.8,697.0,656.2,671.9,63487,36.26
2025-07-29,671.95,694.0,659.9,688.25,42745,36.83
2025-07-30,694.0,694.0,679.8,684.15,12996,43.92
2025-07-31,660.0,660.0,591.0,611.2,401690,31.15
2025-08-01,612.0,639.15,612.0,629.05,94498,44.05
2025-08-04,628.95,628.95,570.1,583.6,101083,40.45
2025-08-05,586.0,594.7,563.35,569.4,82451,39.93
2025-08-06,565.0,573.0,548.3,552.2,48579,39.27
2025-08-07,540.0,550.4,521.05,545.95,101476,50.33
2025-08-08,554.15,571.4,516.6,530.2,92119,53.31
2025-08-11,527.55,527.55,467.05,470.25,279860,36.94
2025-08-12,463.25,509.95,461.45,491.1,170520,37.45
2025-08-13,498.45,520.8,469.05,475.9,155560,34.74
2025-08-14,479.7,515.5,464.8,468.55,161688,29.86
2025-08-18,476.0,518.4,476.0,503.35,180011,34.03
2025-08-19,503.2,519.0,495.0,501.95,93258,54.47
2025-08-20,505.95,507.45,495.0,497.85,67340,64.35
2025-08-21,497.05,503.1,486.0,496.55,41931,48.97
2025-08-22,503.0,503.0,478.5,483.2,22065,59.22
2025-08-25,486.9,488.45,465.95,469.5,50656,56.11
2025-08-26,468.0,469.55,435.7,438.35,71011,55.74
2025-08-28,438.35,447.95,424.35,437.8,66221,36.89
2025-08-29,441.0,461.9,431.0,434.0,92379,32.92
2025-09-01,439.0,449.55,435.0,437.05,22102,42.87
2025-09-02,439.95,461.95,433.0,436.4,69954,47.62
2025-09-03,436.95,440.15,432.05,436.4,46724,65.74
2025-09-04,438.0,440.0,408.05,413.15,77945,62.97
2025-09-05,415.05,424.35,405.15,411.15,42411,51.77
2025-09-08,412.0,459.95,412.0,449.8,231243,26.15
2025-09-09,455.0,482.0,444.55,454.5,192833,31.4
2025-09-10,475.45,545.4,475.45,545.4,597666,29.15
2025-09-11,569.0,583.55,506.4,533.55,1397578,15.53
2025-09-12,529.9,533.15,511.15,516.8,167511,24.83
2025-09-15,519.7,544.55,519.7,538.05,97555,47.68
2025-09-16,544.4,547.9,530.0,533.35,63561,54.37
2025-09-17,533.35,558.45,533.35,544.15,134903,52.06
2025-09-18,549.5,551.0,528.0,540.9,32698,39.41
2025-09-19,535.3,543.3,511.6,526.85,67328,51.48
2025-09-22,526.0,534.2,520.0,521.45,27882,61.27
2025-09-23,515.0,524.45,507.4,511.4,21985,47.68
2025-09-24,510.0,514.4,486.0,490.5,50724,51.11
2025-09-25,495.8,495.8,466.85,472.15,165277,14.71
2025-09-26,468.0,469.8,453.55,457.2,36488,46.22
2025-09-29,462.0,519.0,460.05,491.95,625840,8.41
2025-09-30,489.0,492.4,480.6,483.25,34402,30.06
2025-10-01,481.5,490.5,474.9,479.95,31288,37.62
2025-10-03,485.0,485.0,473.6,477.4,20008,39.96
2025-10-06,475.0,486.95,457.05,462.05,39558,47.79
2025-10-07,464.0,479.1,457.25,473.25,43528,34.04
2025-10-08,475.6,481.6,462.55,468.75,65869,44.88
2025-10-09,474.0,510.0,470.0,496.95,300037,41.24
2025-10-10,492.05,492.95,477.2,479.65,49691,43.07
2025-10-13,476.1,478.8,466.0,468.65,28367,60.07
2025-10-14,468.6,483.0,462.05,474.95,23179,40.67
2025-10-15,479.7,479.7,467.65,469.65,11060,50.09
2025-10-16,470.4,520.0,470.4,507.9,463422,21.31
2025-10-17,507.0,517.4,493.65,500.55,239593,5.1
2025-10-20,498.1,504.9,478.95,483.1,30296,41.23
2025-10-21,495.0,495.0,480.05,483.6,10983,52.51
2025-10-22,495.0,495.0,480.05,483.6,10983,52.51
2025-10-23,515.95,545.5,495.6,499.25,214997,34.43
2025-10-24,499.25,504.7,489.0,496.8,31319,44.58
2025-10-27,496.8,496.8,484.0,490.85,16599,40.18
2025-10-28,490.0,524.4,489.05,511.2,263847,25.38
2025-10-29,514.4,522.95,504.0,509.05,55062,37.66
2025-10-30,504.05,517.3,498.05,500.7,45342,69.36
2025-10-31,500.7,505.0,481.6,488.1,69916,46.68
2025-11-03,483.0,488.1,476.0,478.5,27217,65.61
2025-11-04,478.5,488.0,475.0,475.9,16271,50.36
2025-11-05,478.5,488.0,475.0,475.9,16271,50.36
2025-11-06,477.0,494.0,462.35,468.8,94304,52.09
2025-11-07,471.8,483.95,462.4,478.4,33793,36.79
2025-11-10,478.4,490.0,474.3,485.1,20422,45.89
2025-11-11,492.0,494.8,470.1,490.9,38741,48.39
2025-11-12,490.0,524.0,487.4,512.95,117416,59.97
2025-11-13,522.5,534.5,506.0,513.5,115217,53.86
2025-11-14,505.0,537.2,505.0,512.4,127797,49.51
2025-11-17,509.55,516.35,504.9,509.5,29069,63.44
2025-11-18,512.1,565.0,512.1,546.95,595551,16.7
2025-11-19,545.4,558.4,532.15,541.05,138228,28.64
2025-11-20,545.4,565.9,532.7,561.35,208061,37.44
2025-11-21,551.05,570.0,537.0,558.55,121250,23.41
2025-11-24,542.5,557.8,535.05,539.95,160079,17.87
2025-11-25,527.1,557.45,527.0,544.7,50548,30.09
2025-11-26,542.9,556.0,536.0,547.0,34055,42.68
2025-11-27,547.0,551.35,529.0,532.2,27167,49.97
2025-11-28,530.0,534.3,505.55,519.95,109164,32.52
2025-12-01,528.0,529.9,506.3,512.65,29766,39.36
2025-12-02,514.7,514.7,490.0,500.2,87604,39.21
2025-12-03,500.0,503.55,480.55,482.85,42894,51.02
2025-12-04,480.0,490.0,472.85,476.55,26958,51.58
2025-12-05,476.6,484.9,464.0,465.85,20910,53.91
2025-12-08,470.0,477.8,445.0,446.55,43954,51.29
2025-12-09,446.6,462.0,431.05,456.45,40654,32.36
2025-12-10,456.4,460.35,446.0,450.3,21128,58.57
2025-12-11,457.0,462.85,438.0,451.15,54943,47.7
2025-12-12,454.75,461.8,446.35,458.95,43192,31.79
2025-12-15,456.6,465.55,448.05,450.6,21434,54.14
2025-12-16,452.0,454.95,443.0,443.45,8221,51.02
2025-12-17,445.0,461.5,438.0,446.85,30437,27.06
2025-12-18,449.75,449.75,433.0,436.1,22685,38.88
2025-12-19,437.25,449.45,435.0,444.05,20339,28.38
2025-12-22,444.1,454.0,441.0,445.7,24654,46.13
2025-12-23,445.75,452.7,440.35,444.55,13152,51.74
2025-12-24,443.25,451.2,441.0,442.45,13050,49.23
2025-12-25,443.25,451.2,441.0,442.45,13050,49.23
2025-12-26,450.0,450.0,436.5,437.2,13439,47.67
2025-12-29,443.8,443.8,414.45,417.9,38411,68.35
2025-12-30,417.9,425.0,403.35,409.05,42727,60.44
2025-12-31,411.05,420.45,406.0,415.4,57822,64.77
2026-01-01,415.4,425.0,408.0,409.9,20794,55.94
2026-01-02,411.0,417.5,404.0,409.25,38357,62.55
2026-01-05,408.8,412.35,397.55,403.65,27541,63.41
2026-01-06,400.0,404.85,398.0,401.05,10250,56.92
2026-01-07,404.95,405.95,396.65,400.65,26198,44.07
2026-01-08,399.8,405.5,366.1,369.15,63535,71.25
2026-01-09,374.6,374.7,322.1,349.8,484646,27.51
2026-01-12,348.0,419.75,330.5,407.75,1392336,10.08
2026-01-13,401.5,401.5,365.7,369.55,339445,19.54
2026-01-14,369.6,406.5,369.6,373.3,576419,7.38
2026-01-15,369.6,406.5,369.6,373.3,576419,7.38
2026-01-16,377.05,391.6,376.0,382.6,66643,21.84
2026-01-19,383.0,385.5,366.5,378.3,47373,27.66
2026-01-20,378.0,395.3,368.2,371.3,70197,22.27
2026-01-21,365.0,377.0,350.2,355.0,42107,36.5
2026-01-22,360.3,377.0,360.0,362.65,38016,30.38
2026-01-23,362.65,369.5,352.75,358.7,29123,41.02
2026-01-26,362.65,369.5,352.75,358.7,29123,41.02
2026-01-27,366.0,406.4,353.15,393.0,238636,14.87
2026-01-28,388.05,409.0,381.65,385.1,66868,47.66
2026-01-29,385.1,390.7,371.8,375.3,34850,46.49
2026-01-30,372.05,387.3,365.35,374.3,25075,45.25
2026-02-02,368.75,371.75,356.55,368.0,28418,28.57
2026-02-03,441.6,441.6,441.6,441.6,50993,100.0
2026-02-04,529.9,529.9,501.85,529.9,1550063,29.58
2026-02-05,538.0,540.4,502.6,516.4,386017,24.65
2026-02-06,519.0,528.8,481.25,517.8,197244,29.09
2026-02-09,532.5,569.55,532.5,562.45,316569,35.86
2026-02-10,540.25,573.95,540.25,553.7,172025,43.19
2026-02-11,557.2,557.2,504.0,518.85,107162,48.04
2026-02-12,520.0,567.0,520.0,556.45,159934,46.55
