DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-06-30,0.54,0.61,0.54,0.61,80739775,63.73
2025-07-01,0.64,0.71,0.62,0.68,206510943,40.09
2025-07-02,0.7,0.74,0.67,0.69,169317212,39.78
2025-07-03,0.7,0.72,0.64,0.66,62540802,48.47
2025-07-04,0.67,0.67,0.64,0.64,45464317,40.83
2025-07-07,0.63,0.65,0.6,0.61,39895326,49.78
2025-07-08,0.61,0.71,0.6,0.68,114303851,30.07
2025-07-09,0.7,0.74,0.7,0.7,107239972,45.59
2025-07-10,0.72,0.73,0.69,0.69,75005239,23.08
2025-07-11,0.7,0.71,0.68,0.69,52306347,47.48
2025-07-14,0.7,0.71,0.67,0.68,50771895,50.41
2025-07-15,0.68,0.69,0.65,0.66,57898927,33.39
2025-07-16,0.66,0.69,0.64,0.65,35424501,44.21
2025-07-17,0.67,0.72,0.66,0.69,92195604,35.5
2025-07-18,0.7,0.71,0.67,0.67,31381203,48.56
2025-07-21,0.68,0.7,0.67,0.69,31703588,50.97
2025-07-22,0.7,0.72,0.69,0.69,31155617,41.05
2025-07-23,0.7,0.71,0.67,0.67,22762905,49.38
2025-07-24,0.67,0.68,0.65,0.66,20469462,56.65
2025-07-25,0.67,0.67,0.64,0.64,29632538,36.6
2025-07-28,0.64,0.66,0.63,0.63,23268732,48.95
2025-07-29,0.63,0.66,0.62,0.64,26716347,36.6
2025-07-30,0.65,0.66,0.63,0.63,49262602,27.1
2025-07-31,0.62,0.63,0.59,0.61,44085991,45.37
2025-08-01,0.61,0.62,0.6,0.6,24548261,41.33
2025-08-04,0.6,0.61,0.58,0.58,33868510,46.55
2025-08-05,0.6,0.6,0.58,0.59,24689283,39.52
2025-08-06,0.59,0.6,0.56,0.57,29042689,44.68
2025-08-07,0.57,0.59,0.56,0.58,21117330,43.83
2025-08-08,0.59,0.65,0.59,0.61,54440574,42.83
2025-08-11,0.62,0.64,0.6,0.61,29879718,54.68
2025-08-12,0.62,0.63,0.59,0.59,31526758,48.57
2025-08-13,0.6,0.61,0.55,0.56,44753775,50.76
2025-08-14,0.55,0.56,0.52,0.53,46757215,55.83
2025-08-18,0.54,0.58,0.53,0.56,28592944,43.55
2025-08-19,0.57,0.58,0.55,0.56,24257820,45.39
2025-08-20,0.57,0.57,0.55,0.56,31700823,42.18
2025-08-21,0.57,0.58,0.55,0.56,25518331,47.37
2025-08-22,0.57,0.57,0.54,0.54,31440333,58.83
2025-08-25,0.55,0.56,0.53,0.54,22810699,52.91
2025-08-26,0.54,0.55,0.52,0.53,32316863,41.23
2025-08-28,0.54,0.54,0.52,0.53,23636569,49.41
2025-08-29,0.54,0.54,0.53,0.53,10611191,61.85
2025-09-01,0.53,0.55,0.52,0.52,32145832,54.13
2025-09-02,0.53,0.54,0.52,0.53,30447243,47.25
2025-09-03,0.54,0.55,0.53,0.53,23953932,54.51
2025-09-04,0.54,0.6,0.53,0.56,74543259,37.96
2025-09-05,0.57,0.59,0.56,0.57,24319294,49.71
2025-09-08,0.59,0.6,0.55,0.55,32829308,48.64
2025-09-09,0.55,0.57,0.54,0.55,28340323,51.36
2025-09-10,0.56,0.57,0.55,0.56,25819051,42.81
2025-09-11,0.57,0.57,0.55,0.56,28909073,44.83
2025-09-12,0.57,0.57,0.55,0.56,35028334,38.35
2025-09-15,0.57,0.6,0.56,0.58,53669696,47.47
2025-09-16,0.58,0.59,0.57,0.58,29562845,49.27
2025-09-17,0.59,0.67,0.58,0.64,121285353,39.78
2025-09-18,0.67,0.68,0.63,0.64,75790034,40.45
2025-09-19,0.65,0.66,0.6,0.62,38549904,45.63
2025-09-22,0.62,0.66,0.61,0.61,29752736,49.75
2025-09-23,0.63,0.64,0.6,0.61,24852277,43.1
2025-09-24,0.62,0.63,0.6,0.61,35367861,39.61
2025-09-25,0.61,0.62,0.58,0.59,32366432,44.63
2025-09-26,0.59,0.6,0.56,0.57,49474766,39.89
2025-09-29,0.59,0.59,0.55,0.55,43801054,39.07
2025-09-30,0.55,0.57,0.54,0.54,59414273,42.33
2025-10-01,0.54,0.55,0.53,0.54,55909152,44.32
2025-10-03,0.55,0.58,0.54,0.55,73800351,32.24
2025-10-06,0.56,0.57,0.54,0.54,35194784,46.88
2025-10-07,0.55,0.56,0.53,0.53,35853179,58.59
2025-10-08,0.54,0.54,0.52,0.53,60059540,47.14
2025-10-09,0.53,0.55,0.52,0.53,53526012,40.38
2025-10-10,0.53,0.56,0.53,0.54,52772438,42.59
2025-10-13,0.54,0.54,0.52,0.53,33769388,42.99
2025-10-14,0.53,0.54,0.51,0.51,34948628,60.32
2025-10-15,0.51,0.53,0.5,0.51,40171957,58.56
2025-10-16,0.51,0.53,0.5,0.51,35412089,62.34
2025-10-17,0.51,0.53,0.51,0.51,37099384,47.91
2025-10-20,0.52,0.53,0.46,0.48,78375261,66.95
2025-10-21,0.49,0.5,0.48,0.49,13620837,70.09
2025-10-22,0.49,0.5,0.48,0.49,13620837,70.09
2025-10-23,0.51,0.52,0.49,0.51,42617506,53.29
2025-10-24,0.52,0.53,0.51,0.51,31823524,44.27
2025-10-27,0.51,0.52,0.5,0.5,41532270,44.21
2025-10-28,0.5,0.51,0.5,0.5,21639744,74.84
2025-10-29,0.51,0.51,0.49,0.5,51238074,44.62
2025-10-30,0.51,0.53,0.5,0.5,46113925,49.51
2025-10-31,0.5,0.52,0.5,0.5,27727153,51.88
2025-11-03,0.5,0.51,0.49,0.49,28514904,55.43
2025-11-04,0.49,0.5,0.48,0.48,43068275,44.33
2025-11-05,0.49,0.5,0.48,0.48,43068275,44.33
2025-11-06,0.48,0.49,0.46,0.46,70608603,48.98
2025-11-07,0.47,0.47,0.44,0.46,84426039,56.77
2025-11-10,0.47,0.48,0.44,0.45,76432611,52.22
2025-11-11,0.45,0.46,0.44,0.44,41694607,69.85
2025-11-12,0.46,0.49,0.44,0.45,110376469,35.05
2025-11-13,0.46,0.46,0.44,0.44,61026285,54.02
2025-11-14,0.45,0.45,0.43,0.44,42473843,60.96
2025-11-17,0.45,0.45,0.43,0.43,92067207,38.2
2025-11-18,0.44,0.44,0.42,0.43,71449761,34.23
2025-11-19,0.43,0.44,0.41,0.41,81640069,43.41
2025-11-20,0.42,0.42,0.41,0.41,40178976,71.89
2025-11-21,0.41,0.41,0.39,0.4,59957512,66.85
2025-11-24,0.4,0.44,0.39,0.41,72807335,45.89
2025-11-25,0.41,0.41,0.39,0.4,46470147,57.76
2025-11-26,0.4,0.41,0.39,0.39,67826098,44.62
2025-11-27,0.39,0.4,0.38,0.39,64884832,46.09
2025-11-28,0.39,0.39,0.38,0.38,41795242,70.52
2025-12-01,0.38,0.39,0.37,0.37,73280107,44.32
2025-12-02,0.38,0.38,0.36,0.36,62374270,67.22
2025-12-03,0.37,0.37,0.35,0.35,63809282,67.73
2025-12-04,0.35,0.39,0.35,0.37,121711562,50.88
2025-12-05,0.38,0.44,0.38,0.42,286211459,26.51
2025-12-08,0.45,0.47,0.38,0.39,152359355,37.45
2025-12-09,0.38,0.44,0.37,0.42,119386029,45.3
2025-12-10,0.43,0.44,0.39,0.4,58557287,49.22
2025-12-11,0.4,0.41,0.37,0.38,79755971,53.23
2025-12-12,0.4,0.41,0.39,0.4,68337506,38.98
2025-12-15,0.4,0.4,0.39,0.39,16894938,72.78
2025-12-16,0.39,0.41,0.39,0.4,47668425,34.33
2025-12-17,0.4,0.42,0.39,0.39,44069457,34.62
2025-12-18,0.4,0.4,0.37,0.37,49204918,55.67
2025-12-19,0.38,0.39,0.37,0.38,102702097,34.55
2025-12-22,0.38,0.39,0.37,0.37,79284909,56.5
