DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,400.95,400.95,385.1,390.3,5483,73.28
2025-04-15,391.0,399.75,391.0,396.05,2047,42.79
2025-04-16,395.95,401.4,392.0,394.6,3046,67.73
2025-04-17,397.2,405.0,393.95,401.65,8218,82.37
2025-04-21,405.0,405.0,388.95,393.1,8653,60.72
2025-04-22,392.3,400.5,388.25,395.65,6504,70.0
2025-04-23,399.6,399.6,390.05,391.5,5047,71.96
2025-04-24,395.2,398.0,391.0,392.35,4492,69.86
2025-04-25,399.9,399.9,370.6,374.2,22053,56.72
2025-04-28,368.05,381.45,368.05,376.95,3339,62.11
2025-04-29,371.45,380.0,369.35,369.85,3860,65.16
2025-04-30,372.95,374.7,365.2,366.55,4446,82.16
2025-05-02,366.55,376.1,358.15,364.15,5847,64.43
2025-05-05,368.25,383.0,362.0,376.75,22497,82.82
2025-05-06,378.25,380.6,348.0,356.0,16572,51.17
2025-05-07,364.9,369.8,345.15,366.9,4836,62.14
2025-05-08,368.25,368.5,355.0,356.4,5899,79.08
2025-05-09,358.45,362.45,351.65,359.6,4660,76.65
2025-05-12,368.6,376.8,364.05,371.65,10663,54.0
2025-05-13,375.0,385.0,371.45,377.9,12897,87.21
2025-05-14,377.95,399.5,377.95,397.65,20498,79.83
2025-05-15,403.55,410.95,397.5,400.3,22408,78.67
2025-05-16,406.95,409.9,401.6,405.0,9292,89.43
2025-05-19,410.0,440.0,405.45,438.15,55865,75.61
2025-05-20,443.7,447.0,430.0,442.55,31601,81.78
2025-05-21,445.8,448.0,412.5,431.1,44310,71.61
2025-05-22,384.0,399.0,370.35,395.4,144344,46.09
2025-05-23,395.4,403.65,393.0,397.45,13909,63.16
2025-05-26,398.55,401.55,380.0,382.55,17118,60.71
2025-05-27,383.0,389.85,376.55,383.3,11297,58.13
2025-05-28,387.0,393.0,383.0,387.1,6362,62.32
2025-05-29,390.05,398.0,388.0,396.85,5670,71.73
2025-05-30,400.0,400.0,391.3,396.6,2535,66.07
2025-06-02,392.65,398.0,387.0,391.1,12750,77.35
2025-06-03,391.6,398.0,389.0,392.15,17531,81.02
2025-06-04,398.55,398.55,387.6,392.25,4671,68.94
2025-06-05,393.5,396.85,386.35,389.0,5805,69.68
2025-06-06,383.6,391.2,383.0,387.25,10058,69.86
2025-06-09,387.55,397.45,387.55,395.85,20311,52.52
2025-06-10,397.3,397.3,384.05,388.65,18615,60.43
2025-06-11,390.0,397.9,385.55,390.2,5336,41.92
2025-06-12,397.0,397.0,387.9,390.3,5628,59.65
2025-06-13,385.5,394.9,385.5,388.7,9208,33.83
2025-06-16,388.4,393.0,386.55,388.45,4793,44.79
2025-06-17,392.05,393.95,386.1,387.55,2821,39.63
2025-06-18,386.85,393.15,384.6,388.7,4008,36.4
2025-06-19,390.6,390.6,386.95,387.1,3049,83.04
2025-06-20,386.0,390.0,383.0,385.6,5580,63.67
2025-06-23,387.5,394.9,383.15,390.25,4883,33.48
2025-06-24,392.0,393.85,375.8,383.35,17561,52.54
2025-06-25,387.35,389.45,381.05,386.9,1597,49.15
2025-06-26,388.8,391.5,385.0,386.9,1542,57.98
2025-06-27,385.9,391.0,385.45,389.05,3619,60.82
2025-06-30,385.1,394.0,385.1,387.9,4205,68.68
2025-07-01,390.4,390.45,387.4,388.55,4312,46.24
2025-07-02,388.55,391.4,387.0,389.95,3425,67.77
2025-07-03,384.2,390.95,384.2,389.25,1059,55.24
2025-07-04,391.9,391.9,382.25,384.85,6403,73.01
2025-07-07,388.0,388.0,373.0,374.2,13408,83.74
2025-07-08,383.0,383.0,369.15,372.05,4163,60.27
2025-07-09,373.0,375.45,370.0,373.35,3230,70.28
2025-07-10,377.55,380.3,373.0,373.35,1702,54.11
2025-07-11,368.7,376.0,365.1,373.8,2508,56.38
2025-07-14,378.2,383.15,372.2,374.7,3059,41.71
2025-07-15,378.15,379.0,368.7,371.7,6000,45.63
2025-07-16,374.0,377.95,372.2,375.85,1701,78.25
2025-07-17,375.6,381.9,373.05,377.45,4554,74.02
2025-07-18,383.9,387.0,375.95,376.4,10769,83.26
2025-07-21,376.4,385.1,376.0,376.35,6998,79.35
2025-07-22,366.1,386.1,366.1,379.7,3450,30.41
2025-07-23,381.0,383.5,373.4,377.55,3794,44.39
2025-07-24,373.3,380.2,373.3,378.65,2376,42.76
2025-07-25,385.95,385.95,370.0,371.1,4140,56.55
2025-07-28,371.1,375.05,361.85,368.25,3189,39.82
2025-07-29,365.95,379.5,363.55,373.85,5229,56.49
2025-07-30,370.1,376.7,365.35,372.2,4436,20.06
2025-07-31,370.45,371.7,359.9,370.0,1985,62.37
2025-08-01,370.6,376.9,365.65,370.85,4318,52.52
2025-08-04,372.8,376.8,366.0,367.7,5918,31.95
2025-08-05,375.0,389.9,367.6,380.65,9627,44.36
2025-08-06,377.0,384.75,371.1,378.1,6876,57.08
2025-08-07,374.75,384.45,368.65,380.85,6722,66.71
2025-08-08,377.75,381.8,362.5,367.7,6193,60.57
2025-08-11,362.25,380.0,360.9,372.75,3894,51.23
2025-08-12,370.7,377.45,367.6,369.95,2002,64.14
2025-08-13,373.5,375.45,362.9,364.85,1438,55.84
2025-08-14,373.6,373.6,360.5,364.7,5044,73.12
2025-08-18,361.0,366.65,358.9,361.45,2992,61.3
2025-08-19,365.5,365.5,353.35,356.3,5770,51.68
2025-08-20,360.75,370.0,357.45,360.55,3305,58.58
2025-08-21,360.55,367.75,355.1,356.4,4138,72.96
2025-08-22,355.5,359.45,348.6,351.85,1714,70.65
2025-08-25,357.8,369.8,352.2,359.1,2933,51.41
2025-08-26,360.05,363.65,353.55,356.75,982,57.84
2025-08-28,357.05,364.0,349.9,359.7,2196,46.9
2025-08-29,356.8,364.3,350.0,353.05,2963,34.29
2025-09-01,358.95,364.9,355.9,361.55,5621,47.3
2025-09-02,372.0,372.5,358.4,370.3,8854,61.29
2025-09-03,372.5,389.0,367.45,386.95,18761,80.88
2025-09-04,390.25,393.9,378.6,385.2,11624,76.39
2025-09-05,382.4,386.95,379.65,384.3,3117,83.22
2025-09-08,393.9,393.9,380.25,385.4,7345,18.73
2025-09-09,379.95,390.8,377.45,384.85,4829,33.55
2025-09-10,384.3,387.3,374.0,376.0,4434,44.27
2025-09-11,376.0,383.3,375.25,381.4,3479,83.47
2025-09-12,385.35,385.35,376.85,380.55,8626,93.86
2025-09-15,381.0,381.2,378.1,378.5,1259,71.25
2025-09-16,387.95,388.0,375.8,379.85,3385,69.34
2025-09-17,373.1,388.05,373.1,383.05,2866,61.27
2025-09-18,378.35,386.0,373.8,377.0,1241,70.91
2025-09-19,381.9,385.0,370.35,377.2,2123,43.66
2025-09-22,374.95,375.7,366.35,368.8,7811,81.19
2025-09-23,374.5,376.9,365.75,369.45,3568,84.87
2025-09-24,370.9,385.9,370.9,379.25,8076,82.94
2025-09-25,370.0,384.95,370.0,373.25,1076,69.33
2025-09-26,382.6,382.6,360.0,363.0,2743,53.19
2025-09-29,369.75,372.9,363.2,366.85,1920,50.68
2025-09-30,366.85,366.9,356.35,359.45,3062,62.64
2025-10-01,363.55,363.55,359.85,361.9,236,63.14
2025-10-03,365.0,365.0,346.35,351.25,20432,78.69
2025-10-06,346.0,360.0,342.3,347.05,8853,67.94
2025-10-07,348.25,350.4,338.1,340.5,6601,63.63
2025-10-08,345.4,345.4,333.35,337.65,5381,63.93
2025-10-09,341.7,341.7,329.0,330.0,5810,65.2
2025-10-10,334.0,380.0,328.55,366.35,132978,19.15
2025-10-13,353.05,366.6,351.0,358.35,15085,28.8
2025-10-14,358.35,367.0,336.6,339.7,18894,50.6
2025-10-15,341.45,343.45,330.5,331.6,14938,55.74
2025-10-16,334.6,342.85,331.45,333.4,8192,46.77
2025-10-17,336.5,340.3,330.35,332.25,10109,57.13
2025-10-20,337.0,337.25,330.55,336.9,3712,70.74
2025-10-21,336.9,341.7,333.4,339.25,968,69.01
2025-10-22,336.9,341.7,333.4,339.25,968,69.01
2025-10-23,342.0,342.65,328.9,332.65,8022,57.62
2025-10-24,330.0,339.9,322.1,328.0,12323,63.06
2025-10-27,328.0,334.8,328.0,330.65,4713,64.33
2025-10-28,331.55,347.5,330.45,340.6,10767,66.8
2025-10-29,344.7,345.8,333.5,334.4,5905,82.05
2025-10-30,335.6,338.0,330.1,335.5,5108,78.29
2025-10-31,335.75,340.0,334.35,339.0,3448,74.16
2025-11-03,337.55,356.9,333.7,349.55,12526,65.83
2025-11-04,349.95,349.95,338.35,340.05,5718,63.71
2025-11-05,349.95,349.95,338.35,340.05,5718,63.71
2025-11-06,337.0,354.0,337.0,350.25,18434,64.62
2025-11-07,354.0,354.0,340.35,353.0,4988,57.14
2025-11-10,341.1,353.4,341.1,348.65,6877,64.97
