DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,76.48,80.0,74.42,78.85,147314,57.6
2025-04-15,79.0,81.6,78.84,80.11,162008,53.72
2025-04-16,80.88,81.44,78.7,78.96,81779,52.08
2025-04-17,79.8,81.29,79.08,80.56,94476,49.71
2025-04-21,81.63,84.19,81.3,82.82,159758,50.61
2025-04-22,82.41,84.86,82.41,83.88,93067,52.74
2025-04-23,85.0,87.8,84.48,86.72,233693,52.24
2025-04-24,85.1,87.49,84.07,84.64,96220,58.81
2025-04-25,84.11,85.83,80.32,81.12,103701,54.2
2025-04-28,81.12,82.48,80.5,81.87,162281,81.79
2025-04-29,82.5,83.67,79.67,80.82,75068,51.69
2025-04-30,80.0,81.09,79.01,79.32,66151,56.8
2025-05-02,78.11,82.5,78.11,81.45,95669,51.02
2025-05-05,81.51,90.1,80.11,87.87,1099398,21.83
2025-05-06,88.99,90.41,82.6,83.85,317922,50.27
2025-05-07,84.49,89.8,84.15,87.04,465035,40.28
2025-05-08,87.74,94.3,87.01,88.66,478106,32.47
2025-05-09,87.0,89.7,86.02,88.68,210944,42.47
2025-05-12,91.9,91.9,89.44,90.15,142570,53.27
2025-05-13,90.15,92.27,88.11,89.47,173703,49.06
2025-05-14,89.8,95.0,89.8,92.46,314237,57.55
2025-05-15,92.9,92.9,89.47,91.05,169781,54.92
2025-05-16,91.5,92.87,89.6,90.11,219671,57.16
2025-05-19,90.88,94.69,90.67,92.17,265032,49.12
2025-05-20,93.44,93.44,90.0,90.69,106980,53.21
2025-05-21,91.6,92.43,89.75,90.74,127601,46.93
2025-05-22,90.35,92.97,89.99,91.05,109992,48.7
2025-05-23,90.15,92.3,90.15,91.22,80817,58.29
2025-05-26,91.02,94.98,90.51,91.86,170975,50.58
2025-05-27,92.52,92.52,90.71,91.44,100601,55.87
2025-05-28,91.02,92.6,90.1,90.79,83412,53.51
2025-05-29,90.01,91.6,89.99,90.14,101352,59.56
2025-05-30,89.69,93.45,89.69,91.88,234250,49.84
2025-06-02,94.8,94.8,91.2,92.31,281130,58.24
2025-06-03,92.48,93.78,91.55,91.86,81179,63.38
2025-06-04,91.86,93.49,91.12,92.4,103718,56.13
2025-06-05,92.4,93.31,91.02,91.14,85232,59.02
2025-06-06,92.05,93.7,90.41,91.21,287275,57.18
2025-06-09,91.23,93.55,91.23,93.22,143596,54.92
2025-06-10,93.65,95.36,92.5,93.36,138199,47.3
2025-06-11,94.3,98.66,93.3,95.88,590466,47.74
2025-06-12,96.6,99.0,93.51,94.51,193953,49.63
2025-06-13,92.9,93.55,90.9,93.21,118168,43.16
2025-06-16,93.5,94.19,89.13,92.61,135709,45.59
2025-06-17,93.2,94.0,90.51,90.9,80581,47.43
2025-06-18,90.9,91.98,89.74,90.56,56626,45.5
2025-06-19,91.0,91.25,89.01,89.69,86057,52.52
2025-06-20,89.58,91.88,88.72,90.61,73630,48.27
2025-06-23,91.66,91.66,89.25,90.2,51281,51.11
2025-06-24,91.0,92.14,90.89,91.43,66803,59.63
2025-06-25,92.0,94.1,91.7,93.66,89847,67.26
2025-06-26,94.8,94.8,92.2,92.98,75588,47.39
2025-06-27,93.0,97.75,92.94,96.4,279318,59.07
2025-06-30,96.95,97.99,95.3,95.93,137908,57.18
2025-07-01,96.07,96.75,95.21,95.62,82145,62.19
2025-07-02,96.49,96.49,94.15,95.24,131998,68.83
2025-07-03,95.24,95.52,93.5,93.87,117892,54.29
2025-07-04,94.75,95.39,92.51,93.4,86853,48.68
2025-07-07,94.35,94.99,91.72,92.67,65724,51.0
2025-07-08,93.45,97.7,93.4,94.19,314315,32.56
2025-07-09,95.0,95.41,93.5,94.46,74149,56.04
2025-07-10,95.9,95.9,92.4,92.96,82699,50.74
2025-07-11,93.98,93.99,90.5,90.87,178831,66.32
2025-07-14,90.16,91.75,89.01,89.72,133384,55.82
2025-07-15,90.5,93.39,90.5,92.55,117664,57.82
2025-07-16,93.35,94.34,92.11,93.5,103108,60.06
2025-07-17,93.5,95.4,92.0,92.86,139895,58.17
2025-07-18,92.86,94.47,91.32,93.4,92681,49.89
2025-07-21,93.85,94.34,92.16,92.83,75476,62.26
2025-07-22,93.4,93.98,91.99,92.23,63504,62.74
2025-07-23,92.57,93.28,91.25,92.71,84483,53.5
2025-07-24,93.49,94.33,92.01,93.28,88448,54.72
2025-07-25,93.99,94.19,91.4,91.73,73294,65.29
2025-07-28,92.99,92.99,88.2,89.6,131255,51.95
2025-07-29,90.5,93.65,89.1,91.61,140189,27.86
2025-07-30,91.0,91.0,88.31,89.9,207230,56.36
2025-07-31,88.1,89.46,87.0,87.98,115747,66.2
2025-08-01,87.9,88.55,86.8,86.88,76005,70.82
2025-08-04,87.1,87.39,86.4,86.55,46454,69.28
2025-08-05,86.6,87.5,86.0,86.15,61285,55.47
2025-08-06,86.4,87.99,81.63,82.5,146340,52.88
2025-08-07,81.6,82.01,79.32,80.67,167721,55.27
2025-08-08,80.84,81.41,79.0,79.69,84096,58.45
2025-08-11,78.9,80.58,78.54,79.05,66658,58.77
2025-08-12,79.99,80.28,78.25,78.51,65410,64.86
2025-08-13,78.66,79.1,77.58,77.97,101996,69.81
2025-08-14,78.45,78.45,76.16,77.26,93936,56.11
2025-08-18,78.89,82.0,78.0,79.78,160143,62.57
2025-08-19,81.0,83.78,80.71,82.94,201607,53.76
2025-08-20,83.9,83.9,80.95,82.01,127846,63.62
2025-08-21,81.15,82.8,80.91,81.15,46155,52.48
