DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,60.12,61.7,60.12,61.29,522467,79.95
2025-04-15,60.7,61.5,60.7,61.11,526603,92.5
2025-04-16,61.16,61.36,61.11,61.29,241893,67.82
2025-04-17,61.3,61.55,61.15,61.45,207384,56.99
2025-04-21,62.4,63.3,61.21,61.55,291917,76.29
2025-04-22,61.55,61.66,61.49,61.6,317174,86.03
2025-04-23,61.6,61.69,61.51,61.59,209058,78.8
2025-04-24,61.45,61.84,61.44,61.55,357224,84.76
2025-04-25,61.57,61.76,61.56,61.71,318509,94.45
2025-04-28,61.71,61.72,61.26,61.41,758502,77.5
2025-04-29,61.45,61.81,61.42,61.55,234092,59.26
2025-04-30,61.46,61.86,61.46,61.74,141686,80.73
2025-05-02,61.78,61.97,61.64,61.77,202227,83.02
2025-05-05,61.77,61.89,61.56,61.76,182409,82.51
2025-05-06,61.77,61.89,61.61,61.77,358181,85.46
2025-05-07,61.77,62.35,61.65,61.84,177938,75.65
2025-05-08,62.59,62.59,61.7,61.8,412318,97.2
2025-05-09,61.9,61.9,61.51,61.75,76873,84.84
2025-05-12,61.89,62.35,61.61,61.87,385971,64.17
2025-05-13,61.65,61.96,61.65,61.83,234029,78.59
2025-05-14,61.83,61.99,61.83,61.89,207124,82.96
2025-05-15,61.89,61.99,61.86,61.97,506809,79.55
2025-05-16,62.27,62.27,61.9,62.07,320011,69.95
2025-05-19,61.86,62.24,61.81,62.17,150737,64.19
2025-05-20,62.23,62.37,62.18,62.32,403608,92.88
2025-05-21,62.44,62.48,62.22,62.37,260925,85.12
2025-05-22,62.36,62.5,62.32,62.39,328883,93.6
2025-05-23,62.44,62.53,62.13,62.4,446957,61.27
2025-05-26,62.54,62.54,62.21,62.4,449622,59.82
2025-05-27,62.47,62.52,62.28,62.46,203777,69.6
2025-05-28,62.53,62.53,62.4,62.44,258982,71.23
2025-05-29,62.46,62.64,62.45,62.52,142464,88.36
2025-05-30,62.52,62.64,62.44,62.59,267288,93.58
2025-06-02,62.64,62.65,62.47,62.52,504147,91.6
2025-06-03,62.64,62.64,62.46,62.51,190111,72.24
2025-06-04,62.74,62.74,62.39,62.54,678480,86.68
2025-06-05,62.69,62.69,62.47,62.58,245309,93.5
2025-06-06,62.62,62.87,62.62,62.81,237307,86.07
2025-06-09,63.44,63.44,62.51,62.63,403717,91.97
2025-06-10,62.84,62.84,62.5,62.5,671762,98.1
2025-06-11,62.55,62.62,62.4,62.43,1081313,99.48
2025-06-12,62.7,62.7,62.17,62.35,972374,97.4
2025-06-13,62.35,62.45,62.0,62.29,198375,83.48
2025-06-16,62.26,62.4,62.14,62.32,175923,72.75
2025-06-17,63.19,63.19,62.12,62.36,95465,74.15
2025-06-18,62.45,62.49,62.38,62.46,157769,81.13
2025-06-19,62.59,62.59,62.37,62.42,151440,95.05
2025-06-20,63.98,63.98,62.15,62.4,145187,68.1
2025-06-23,62.16,62.45,62.16,62.27,141301,73.4
2025-06-24,62.4,62.49,62.3,62.37,173844,68.57
2025-06-25,62.38,62.45,62.3,62.37,184273,92.52
2025-06-26,62.49,62.49,62.19,62.37,296565,67.41
2025-06-27,62.37,62.44,62.2,62.32,354526,80.5
2025-06-30,62.32,62.5,62.29,62.39,245475,90.72
2025-07-01,62.49,62.69,62.29,62.55,606157,84.51
2025-07-02,62.99,63.0,62.4,62.62,333256,88.07
2025-07-03,62.69,62.75,62.56,62.65,304175,69.76
2025-07-04,62.76,62.8,62.5,62.77,486686,95.24
2025-07-07,64.65,64.65,62.61,62.65,1035325,88.43
2025-07-08,62.79,62.79,62.62,62.67,423813,84.18
2025-07-09,62.68,62.72,62.61,62.62,459947,96.18
2025-07-10,62.75,62.75,62.61,62.66,636383,93.17
2025-07-11,62.78,62.78,62.57,62.74,295366,85.01
2025-07-14,62.8,62.8,62.59,62.66,519200,81.26
2025-07-15,62.76,62.76,62.6,62.64,575962,92.89
2025-07-16,62.69,62.7,62.62,62.64,273455,93.75
2025-07-17,62.64,62.74,62.59,62.69,275559,86.99
2025-07-18,62.88,62.88,62.6,62.73,245361,79.3
2025-07-21,63.8,63.8,62.71,62.75,419023,85.23
2025-07-22,62.86,62.89,62.67,62.73,228464,66.58
2025-07-23,62.9,62.96,62.74,62.78,178661,83.25
2025-07-24,62.89,62.89,62.71,62.75,452531,89.41
2025-07-25,62.73,62.85,62.62,62.65,216725,67.32
2025-07-28,62.85,62.85,62.6,62.63,209593,82.37
2025-07-29,62.72,62.72,62.58,62.64,145776,77.77
2025-07-30,62.64,62.75,62.61,62.72,221191,95.1
2025-07-31,62.73,62.73,62.64,62.67,129059,85.61
2025-08-01,62.88,62.89,62.62,62.7,308743,64.6
2025-08-04,63.63,63.63,62.61,62.83,246293,70.99
2025-08-05,62.92,62.92,62.8,62.81,124797,74.75
2025-08-06,62.82,62.84,62.7,62.74,269762,96.81
2025-08-07,62.75,62.79,62.63,62.68,309232,88.69
2025-08-08,62.78,62.78,62.63,62.66,141199,73.0
2025-08-11,62.67,62.78,62.54,62.62,244442,68.05
2025-08-12,62.69,62.69,62.52,62.53,334068,90.74
2025-08-13,62.57,62.59,62.43,62.44,357572,97.67
2025-08-14,62.45,62.59,62.43,62.53,142271,77.85
2025-08-18,62.41,62.69,62.4,62.48,242108,96.84
2025-08-19,62.59,62.6,62.25,62.39,464645,97.67
2025-08-20,62.59,62.59,62.38,62.47,139711,80.98
2025-08-21,62.65,62.65,62.37,62.39,601534,92.61
2025-08-22,62.4,62.49,62.38,62.38,93858,89.92
2025-08-25,62.59,62.59,62.36,62.4,135831,72.97
2025-08-26,62.38,62.45,62.31,62.35,238112,84.53
2025-08-28,62.35,62.42,62.26,62.3,271927,76.65
2025-08-29,62.31,62.49,62.3,62.41,349616,98.13
2025-09-01,62.59,62.59,62.27,62.36,325724,84.13
2025-09-02,62.55,62.56,62.27,62.29,350379,85.83
2025-09-03,62.59,62.6,62.27,62.36,219764,83.15
2025-09-04,62.6,62.6,62.38,62.46,161403,83.67
2025-09-05,62.6,62.6,62.35,62.48,200079,66.37
2025-09-08,62.66,62.67,62.48,62.55,213409,84.68
2025-09-09,62.67,62.67,62.47,62.57,3576783,99.76
2025-09-10,62.66,62.8,62.51,62.64,170865,73.72
2025-09-11,62.41,62.8,62.4,62.56,203738,79.52
2025-09-12,62.51,62.79,62.5,62.56,114251,78.47
2025-09-15,62.57,62.85,62.45,62.59,140110,84.54
