DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,45.6,46.49,45.0,45.31,34260,54.24
2025-04-15,46.0,47.14,45.59,46.99,46395,69.05
2025-04-16,47.99,49.06,47.55,47.91,54087,55.55
2025-04-17,45.82,49.0,45.82,48.64,53038,62.83
2025-04-21,49.55,50.0,48.12,49.82,48153,63.33
2025-04-22,49.5,56.88,48.83,54.71,149594,57.4
2025-04-23,55.59,60.0,55.59,59.59,252005,48.27
2025-04-24,60.51,65.35,58.21,64.44,185379,44.29
2025-04-25,64.9,64.94,58.65,59.49,157255,62.47
2025-04-28,58.1,62.41,57.81,61.79,75535,61.33
2025-04-29,63.95,63.95,60.56,60.86,45116,51.99
2025-04-30,61.1,61.1,56.3,57.59,33941,60.21
2025-05-02,57.42,59.51,57.42,59.15,43144,64.86
2025-05-05,60.36,60.36,58.4,58.74,18872,53.13
2025-05-06,59.7,59.74,54.0,55.17,69264,61.18
2025-05-07,53.0,55.37,53.0,54.9,37755,45.48
2025-05-08,54.91,58.8,52.4,53.37,89119,43.81
2025-05-09,50.06,54.85,50.06,53.71,48817,47.1
2025-05-12,56.9,58.88,56.9,57.7,63891,49.14
2025-05-13,58.48,61.39,57.83,58.06,98959,48.63
2025-05-14,58.62,61.0,58.31,60.57,96676,47.82
2025-05-15,61.92,64.4,60.88,63.39,115607,70.27
2025-05-16,62.55,67.2,62.55,65.79,136698,62.3
2025-05-19,64.0,64.0,57.7,59.65,396493,70.02
2025-05-20,59.65,59.65,57.25,57.59,86202,60.52
2025-05-21,58.83,60.91,57.9,59.99,119667,64.13
2025-05-22,59.97,60.45,59.21,59.68,55734,60.92
2025-05-23,59.21,60.94,58.86,60.54,52302,66.87
2025-05-26,60.84,60.98,59.01,59.99,42112,57.75
2025-05-27,60.92,60.92,59.81,59.9,25730,63.09
2025-05-28,59.91,62.8,59.91,62.21,87782,55.1
2025-05-29,62.38,62.38,60.86,61.12,47313,60.55
2025-05-30,60.01,61.11,60.0,60.76,23508,65.69
2025-06-02,60.0,62.87,60.0,62.37,54914,72.04
2025-06-03,63.89,63.89,61.11,61.88,57396,53.63
2025-06-04,62.0,63.85,60.21,63.0,77093,47.71
2025-06-05,63.9,64.49,61.31,61.83,64376,43.2
2025-06-06,61.15,63.47,61.15,61.94,62592,63.84
2025-06-09,63.94,66.5,62.0,66.18,180055,53.43
2025-06-10,67.0,67.83,64.81,65.64,92467,52.62
2025-06-11,65.2,65.97,62.91,64.05,61875,67.12
2025-06-12,65.0,65.0,63.34,64.28,39042,65.7
2025-06-13,61.8,63.0,61.71,62.43,45038,62.93
2025-06-16,62.0,68.99,62.0,66.12,160126,45.75
2025-06-17,65.15,66.69,63.5,64.06,58217,53.56
2025-06-18,64.5,66.5,62.8,62.92,43747,53.34
2025-06-19,63.0,64.27,61.09,62.72,55680,54.75
2025-06-20,63.0,64.0,62.05,62.21,55672,68.17
2025-06-23,62.17,62.93,60.73,61.51,40610,44.94
2025-06-24,61.61,63.8,61.61,62.21,45959,49.83
2025-06-25,63.89,63.89,62.3,62.63,31741,60.77
2025-06-26,64.49,64.49,62.0,62.32,18110,49.69
2025-06-27,62.33,63.5,61.9,63.33,31740,46.02
2025-06-30,63.0,63.88,62.51,62.99,26769,51.2
2025-07-01,63.5,63.5,62.25,62.95,26672,58.66
2025-10-06,68.0,73.5,63.9,64.53,143837,50.53
2025-10-07,64.56,65.9,62.5,63.11,64195,69.45
2025-10-08,62.5,64.51,61.0,62.34,112413,33.5
2025-10-09,62.6,62.87,61.51,61.68,24443,62.89
