DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-08-04,14.1,14.1,12.75,13.46,12103,85.88
2025-08-05,13.52,13.74,13.0,13.44,2560,80.7
2025-08-06,14.4,14.69,13.09,14.02,16601,65.0
2025-08-07,14.09,14.69,12.61,13.8,5566,67.62
2025-08-08,14.08,14.9,13.02,14.05,8592,52.01
2025-08-11,14.05,14.75,13.09,13.18,8698,82.65
2025-08-12,13.95,13.95,12.04,13.61,12636,77.83
2025-08-13,13.85,13.85,12.4,13.37,3673,68.2
2025-08-14,13.34,14.7,13.11,13.47,9775,65.64
2025-08-18,13.47,14.55,12.6,13.38,4133,62.81
2025-08-19,14.37,14.37,12.72,13.64,7935,51.59
2025-08-20,14.49,14.91,12.82,13.63,155293,25.06
2025-08-21,13.98,14.48,13.43,13.75,24558,49.79
2025-08-22,14.0,14.89,13.53,14.0,11164,65.52
2025-08-25,14.0,14.71,13.3,14.09,37516,75.45
2025-08-26,14.6,14.6,13.64,13.64,28533,97.55
2025-08-28,13.51,14.34,13.51,13.87,15053,60.16
2025-08-29,13.87,14.45,13.3,13.55,17498,89.56
2025-09-01,13.55,13.95,12.61,13.83,6109,80.65
2025-09-02,14.45,14.45,13.5,13.98,6055,56.85
2025-09-03,13.7,14.25,13.7,14.16,4311,72.09
2025-09-04,14.48,14.48,13.73,14.03,3518,80.24
2025-09-05,14.3,15.0,13.62,14.01,5855,68.39
2025-09-08,14.7,14.7,13.5,13.54,27135,69.33
2025-09-09,13.98,13.98,13.6,13.65,18848,84.83
2025-09-10,14.58,14.58,13.65,13.82,17727,88.16
2025-09-11,14.48,14.48,13.65,13.96,3727,64.23
2025-09-12,14.44,14.44,13.51,13.87,14789,96.54
2025-09-15,14.43,14.44,13.52,13.92,13030,76.64
2025-09-16,14.4,14.4,13.62,13.78,2723,71.91
2025-09-17,13.8,14.14,13.5,13.9,3296,98.27
2025-09-18,13.9,14.19,13.89,14.08,2023,53.83
2025-09-19,14.18,14.18,13.68,13.9,6136,72.13
2025-09-22,13.9,14.39,13.69,13.84,8838,75.79
2025-09-23,13.83,15.22,13.83,13.95,8848,60.24
2025-09-24,14.24,14.25,13.65,13.94,1691,71.44
2025-09-25,14.2,14.2,12.54,13.15,65806,63.61
2025-09-26,13.85,14.0,12.94,13.61,21374,39.65
2025-09-29,13.99,13.99,13.26,13.68,1846,41.12
2025-09-30,13.93,13.93,13.06,13.48,2819,48.92
2025-10-01,13.19,13.74,13.14,13.27,1586,70.68
2025-10-03,13.85,13.85,12.7,13.2,1428,66.32
2025-10-06,13.88,13.88,12.78,13.26,3543,60.37
2025-10-07,13.53,13.53,12.93,13.25,1012,36.36
2025-10-08,13.25,13.6,12.91,12.91,5773,55.78
2025-10-09,13.5,13.5,12.85,13.05,3192,59.24
2025-10-10,13.57,13.57,12.62,13.23,893,69.2
2025-10-13,13.23,13.48,12.04,13.19,6153,62.33
2025-10-14,13.19,13.43,12.04,12.72,11901,49.93
2025-10-15,12.78,13.63,12.51,12.55,3322,42.84
2025-10-16,12.4,13.58,12.4,12.98,1915,73.42
2025-10-17,13.25,13.25,12.55,13.2,1494,85.61
2025-10-20,13.26,13.54,12.61,13.16,9129,61.11
2025-10-21,13.16,13.96,13.16,13.61,3180,98.96
2025-10-22,13.16,13.96,13.16,13.61,3180,98.96
2025-10-23,13.88,13.88,13.03,13.45,3876,70.98
