DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,117.0,119.1,113.86,116.76,3808948,55.51
2025-04-15,124.89,135.0,122.01,131.86,8345426,30.88
2025-04-16,133.0,134.3,129.78,131.86,3294051,43.3
2025-04-17,132.45,136.37,130.0,134.13,4187406,46.15
2025-04-21,135.49,137.25,133.82,134.63,2144968,39.6
2025-04-22,135.05,141.01,131.72,136.25,4521099,41.45
2025-04-23,137.0,138.85,131.6,132.94,2841210,52.51
2025-04-24,132.43,135.0,131.7,132.37,1583261,41.83
2025-04-25,131.2,133.05,120.6,122.23,4321234,35.24
2025-04-28,121.1,124.92,119.95,121.76,2462627,39.09
2025-04-29,121.8,124.65,118.1,119.21,1153550,46.47
2025-04-30,119.3,119.8,112.9,113.46,1548841,44.25
2025-05-02,114.9,116.0,110.75,111.41,1876055,42.75
2025-05-05,112.48,116.8,111.12,115.4,1686010,46.25
2025-05-06,114.99,115.13,108.0,108.74,2037321,50.78
2025-05-07,105.94,111.27,105.52,110.48,1853923,40.91
2025-05-08,111.48,113.71,107.61,108.62,1479648,50.01
2025-05-09,105.6,106.99,102.51,105.25,2125102,45.46
2025-05-12,112.25,116.0,110.51,114.93,2270394,47.17
2025-05-13,115.5,116.76,113.0,114.2,1807105,52.9
2025-05-14,115.48,119.0,114.2,117.38,2242279,62.02
2025-05-15,119.0,124.95,119.0,121.03,3185718,43.49
2025-05-16,122.4,128.3,122.37,127.55,3116513,46.56
2025-05-19,128.5,129.89,123.6,125.77,1669545,52.18
2025-05-20,123.0,126.22,120.92,121.43,1930797,43.96
2025-05-21,121.56,122.31,116.15,117.48,2039310,58.14
2025-05-22,118.0,120.74,117.22,118.15,1136948,47.89
2025-05-23,119.34,120.64,116.6,118.71,1234192,44.35
2025-05-26,118.9,119.39,116.0,117.31,1638135,51.94
2025-05-27,117.31,117.79,115.5,115.87,1009836,54.78
2025-05-28,116.22,116.49,113.3,113.89,1508984,66.7
2025-05-29,114.48,116.87,112.57,115.85,1277629,52.96
2025-05-30,115.4,115.5,113.05,114.47,1215714,57.48
2025-06-02,114.28,114.89,112.5,112.94,1129069,62.0
2025-06-03,114.08,115.75,112.4,112.67,881951,55.69
2025-06-04,113.4,113.96,110.65,110.95,1447679,66.48
2025-06-05,112.0,113.34,110.56,111.01,1307830,56.39
2025-06-06,111.45,111.56,109.4,109.93,1295085,60.26
2025-06-09,110.14,115.5,110.14,112.8,2545290,50.84
2025-06-10,113.35,115.6,112.57,113.48,1784185,52.64
2025-06-11,114.02,115.6,111.3,111.82,1712776,58.3
2025-06-12,112.0,112.77,108.88,109.41,1155773,64.28
2025-06-13,101.31,108.5,101.31,107.01,1569528,51.48
2025-06-16,107.85,109.5,104.76,108.74,1353333,46.98
2025-06-17,109.48,109.48,105.5,106.12,830538,54.12
2025-06-18,106.45,107.42,104.58,105.8,839037,46.63
2025-06-19,105.8,106.55,103.0,103.45,868186,51.78
2025-06-20,103.99,108.0,102.0,103.63,4143727,58.15
2025-06-23,103.0,106.0,102.34,104.91,1109406,53.4
2025-06-24,106.89,106.91,103.57,104.47,1554262,57.72
2025-06-25,104.5,109.25,104.5,108.39,2005110,54.32
