DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,280.0,283.9,277.7,281.05,872765,51.5
2025-04-15,285.0,292.25,282.35,289.2,380906,40.19
2025-04-16,289.2,298.25,287.45,295.35,327084,40.08
2025-04-17,297.85,299.7,294.05,297.85,302927,37.82
2025-04-21,290.45,303.45,290.35,302.6,552996,40.52
2025-04-22,304.2,304.2,298.15,299.55,142535,52.37
2025-04-23,301.95,305.0,296.0,302.45,286108,43.6
2025-04-24,300.35,302.8,292.3,300.0,351882,41.4
2025-04-25,299.6,305.4,295.0,298.65,359347,32.43
2025-04-28,298.95,312.8,294.9,309.15,674853,35.85
2025-04-29,318.45,324.9,285.55,290.7,4804693,19.37
2025-04-30,288.0,293.05,279.8,285.6,1169811,28.45
2025-05-02,289.9,290.15,280.5,286.05,542113,26.36
2025-05-05,288.35,291.95,282.5,290.45,302452,31.5
2025-05-06,290.0,291.5,283.6,285.1,213846,37.56
2025-05-07,278.55,293.3,278.55,290.6,417221,44.37
2025-05-08,289.0,298.7,289.0,290.85,450262,49.78
2025-05-09,280.25,292.35,280.25,290.5,239057,26.46
2025-05-12,295.0,295.9,291.7,293.95,186804,38.91
2025-05-13,296.0,303.7,291.55,300.35,434614,49.17
2025-05-14,296.35,304.35,295.1,296.95,1005534,70.14
2025-05-15,296.95,299.35,294.5,295.9,212805,63.32
2025-05-16,299.55,304.8,293.7,299.55,738127,57.47
2025-05-19,300.85,306.2,294.65,303.6,819191,60.88
2025-05-20,305.5,305.7,299.5,304.05,652328,83.43
2025-05-21,306.2,339.5,303.05,328.6,12497844,15.36
2025-05-22,325.0,335.0,321.1,326.05,2061848,46.18
2025-05-23,322.55,327.35,318.7,323.7,630033,55.63
2025-05-26,326.85,332.8,323.1,326.6,417563,45.93
2025-05-27,329.0,336.9,328.2,330.7,1320916,41.22
2025-05-28,330.7,337.0,325.25,335.25,1875812,81.78
2025-05-29,336.8,339.5,333.2,334.4,390748,52.98
2025-05-30,335.5,347.8,333.0,345.0,3312956,76.59
2025-06-02,345.0,346.8,330.1,331.3,1983320,89.84
2025-06-03,331.45,338.0,329.55,331.05,738773,74.22
2025-06-04,333.9,338.15,331.2,335.0,1533783,87.27
2025-06-05,335.0,340.0,333.5,338.0,1564346,86.21
2025-06-06,339.4,354.85,331.3,351.25,2085012,35.52
2025-06-09,356.75,356.75,345.5,349.45,547436,39.57
2025-06-10,352.0,352.75,344.1,346.85,285871,57.07
2025-06-11,345.9,351.95,342.1,344.45,702861,56.2
2025-06-12,345.05,347.95,338.25,340.45,212106,41.55
2025-06-13,332.6,360.0,332.6,342.95,2863569,55.21
2025-06-16,342.95,347.5,336.8,342.95,279183,35.07
2025-06-17,344.0,344.9,339.65,340.15,179748,43.81
2025-06-18,343.1,349.8,336.75,344.9,3360479,80.82
2025-06-19,344.6,347.0,335.2,338.2,1351483,84.38
2025-06-20,338.0,361.9,333.45,356.2,3863090,35.03
2025-06-23,350.0,355.6,343.3,345.95,717329,26.37
2025-06-24,347.65,360.0,346.75,356.0,1306981,34.94
2025-06-25,356.05,359.85,352.15,355.2,248484,39.59
2025-06-26,355.0,355.25,347.05,354.45,275617,35.95
2025-06-27,355.0,364.65,351.65,361.8,690410,50.15
2025-06-30,361.55,361.95,353.0,360.0,249317,37.28
2025-07-01,359.1,361.9,340.2,341.65,1494963,62.0
2025-07-02,342.3,345.7,335.1,340.7,526328,50.51
2025-07-03,340.85,343.45,337.0,341.1,211227,35.35
2025-07-04,340.0,342.95,334.2,337.4,355002,30.95
2025-07-07,337.95,338.45,330.7,335.9,380668,62.87
2025-07-08,333.15,336.05,327.25,331.0,579217,75.3
2025-07-09,331.0,335.55,328.75,334.5,488003,74.69
2025-07-10,335.0,346.8,335.0,342.0,3021536,80.53
2025-07-11,342.0,343.85,340.75,342.05,226740,72.9
2025-07-14,342.0,354.7,340.0,352.15,3136093,86.21
2025-07-15,353.4,356.25,346.0,353.55,320841,40.21
2025-07-16,353.0,355.7,346.6,354.2,390672,46.04
2025-07-17,354.7,358.65,351.7,354.1,237481,40.8
2025-07-18,354.1,355.95,349.0,351.3,158602,45.38
2025-07-21,355.0,356.85,351.1,354.25,211505,44.32
2025-07-22,355.85,356.0,351.2,354.6,158242,41.96
2025-07-23,352.0,361.5,351.45,359.45,709007,63.27
2025-07-24,359.6,363.25,356.0,358.4,276309,47.86
2025-07-25,359.9,359.9,345.1,348.65,135663,48.21
2025-07-28,347.9,353.0,337.35,344.0,539932,71.54
2025-07-29,354.0,374.75,352.2,360.8,15881023,9.45
2025-07-30,362.65,376.0,356.85,371.1,1342966,32.96
2025-07-31,367.15,372.55,362.15,370.05,907131,35.29
2025-08-01,374.0,374.0,361.9,365.15,862464,32.37
2025-08-04,365.0,365.0,352.15,360.3,643965,56.29
2025-08-05,360.35,365.3,354.55,356.2,301264,36.89
2025-08-06,358.4,362.55,351.45,355.5,795719,63.43
2025-08-07,350.3,367.2,350.3,365.3,1063657,62.33
2025-08-08,364.9,368.0,352.2,356.05,235423,42.91
2025-08-11,356.45,362.95,355.35,358.4,177048,37.54
2025-08-12,360.15,365.0,358.0,361.35,212823,42.06
2025-08-13,365.8,369.75,353.8,356.8,627574,33.18
2025-08-14,358.2,360.45,353.1,355.35,135396,43.43
2025-08-18,362.0,371.5,358.25,364.5,1737049,76.14
2025-08-19,367.0,368.0,360.55,361.9,398721,72.5
2025-08-20,365.5,378.3,358.0,363.2,1382500,30.94
2025-08-21,363.5,374.7,363.5,372.35,885236,52.72
2025-08-22,372.35,374.15,366.75,368.1,456077,54.1
2025-08-25,371.9,375.5,368.0,370.45,908995,78.59
2025-08-26,370.2,378.0,355.05,370.95,2423996,67.05
2025-08-28,373.0,373.05,362.0,366.9,391872,46.16
2025-08-29,364.5,369.6,356.5,357.65,412728,55.25
2025-09-01,360.9,361.6,352.7,354.7,656547,75.86
2025-09-02,354.7,363.0,348.2,351.1,324525,46.03
2025-09-03,352.8,355.7,350.8,354.55,115171,41.85
2025-09-04,367.95,371.1,351.95,355.85,1004641,35.49
2025-09-05,358.75,359.4,350.3,354.05,172109,37.49
2025-09-08,351.0,355.0,343.45,351.9,350808,47.16
2025-09-09,352.1,356.0,348.5,349.8,748242,86.78
2025-09-10,354.0,360.3,352.4,356.5,433583,61.92
2025-09-11,356.05,360.9,352.6,358.0,510142,77.09
2025-09-12,358.65,360.8,352.75,359.45,246801,43.68
2025-09-15,357.7,359.0,352.0,355.45,166293,55.57
2025-09-16,354.05,359.0,350.6,351.7,311648,54.17
2025-09-17,355.05,355.05,349.0,353.9,207894,55.38
2025-09-18,359.0,360.0,351.0,352.0,250380,41.17
2025-09-19,353.9,354.3,347.6,349.3,568422,63.32
2025-09-22,347.05,358.75,347.05,356.95,414631,47.72
2025-09-23,356.0,362.85,351.55,355.95,1089680,69.17
2025-09-24,354.95,381.4,354.0,358.85,2147415,29.07
2025-09-25,357.0,357.05,349.7,350.5,225182,45.93
2025-09-26,350.25,354.25,345.0,350.85,281201,28.26
2025-09-29,350.05,352.8,337.05,341.55,286984,43.83
2025-09-30,341.7,353.4,337.0,346.05,320214,49.32
2025-10-01,346.05,346.05,341.0,343.7,296902,69.09
2025-10-03,343.05,346.9,334.85,338.6,520618,62.26
2025-10-06,338.6,354.75,336.2,350.1,2229512,67.71
2025-10-07,349.0,350.8,345.1,348.0,1177924,87.83
