DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,76.06,78.71,76.06,77.9,41882099,69.24
2025-04-15,78.5,78.5,77.6,77.66,22708774,68.11
2025-04-16,78.4,79.3,78.4,79.23,17435366,67.3
2025-04-17,80.25,80.28,79.31,79.53,22315842,69.98
2025-04-21,80.85,81.18,79.4,81.07,26060674,77.44
2025-04-22,82.52,83.56,82.52,82.9,30534897,69.14
2025-04-23,81.48,81.49,79.71,80.39,38573322,62.55
2025-04-24,80.39,80.74,80.11,80.51,15878472,63.49
2025-04-25,80.82,81.63,79.81,80.03,19337075,59.46
2025-04-28,80.8,80.8,79.01,79.05,22373797,60.13
2025-04-29,81.2,81.2,79.71,80.04,21952704,52.97
2025-04-30,79.99,80.2,78.88,79.09,21587869,71.76
2025-05-02,78.7,79.09,77.36,78.91,22021086,69.71
2025-05-05,78.95,79.83,78.22,79.58,15889122,65.59
2025-05-06,81.4,82.95,80.62,82.13,21861963,60.28
2025-05-07,83.0,83.33,81.12,81.28,20421792,65.92
2025-05-08,81.92,81.95,79.82,80.94,22056783,44.75
2025-05-09,80.48,81.15,80.02,80.8,17152718,62.18
2025-05-12,79.38,79.46,77.8,77.98,32647859,70.09
2025-05-13,78.03,79.88,78.03,79.07,15305982,59.1
2025-05-14,78.68,78.74,78.22,78.58,14223171,53.07
2025-05-15,77.14,77.28,76.36,77.04,33029222,59.83
2025-05-16,79.35,79.35,77.33,77.78,16345899,63.34
2025-05-19,78.42,78.49,77.8,78.32,13043842,59.13
2025-05-20,77.97,78.3,77.63,78.19,14843284,58.03
2025-05-21,80.17,80.17,79.28,79.5,39202827,87.31
2025-05-22,80.42,80.42,79.72,79.81,22193709,76.31
2025-05-23,79.97,79.97,79.43,79.51,37141110,78.98
2025-05-26,79.51,80.55,79.5,79.77,9375536,61.93
2025-05-27,80.52,80.52,77.38,79.56,10765565,60.0
2025-05-28,81.95,81.95,79.5,80.06,7535695,58.7
2025-05-29,79.74,79.74,78.98,79.1,13431765,64.21
2025-05-30,79.99,79.99,78.63,79.49,7156040,56.02
2025-06-02,80.9,80.9,79.42,80.52,13512153,66.42
2025-06-03,82.5,82.5,80.63,80.97,13059856,58.45
2025-06-04,81.77,82.47,80.97,81.31,15171863,71.31
2025-06-05,83.75,83.75,80.87,81.73,14131710,64.63
2025-06-06,81.95,81.95,79.9,81.23,12138184,61.38
2025-06-09,80.82,80.89,79.9,80.48,15146871,65.18
