DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,8.49,8.49,8.2,8.25,121743,71.39
2025-04-15,8.35,8.5,8.29,8.34,118547,80.78
2025-04-16,8.23,8.46,8.23,8.3,80963,75.57
2025-04-17,8.48,8.5,8.26,8.38,64251,70.34
2025-04-21,8.56,8.6,8.45,8.51,92423,74.41
2025-04-22,8.52,9.04,8.52,8.71,216094,62.55
2025-04-23,8.89,8.89,8.57,8.65,177004,72.54
2025-04-24,8.61,8.76,8.56,8.6,104977,61.69
2025-04-25,8.78,8.78,7.95,8.16,102216,79.5
2025-04-28,8.09,9.17,8.09,8.51,541417,34.83
2025-04-29,8.65,8.7,8.33,8.42,84334,40.51
2025-04-30,8.25,8.75,8.07,8.18,314098,49.52
2025-05-02,8.34,8.42,8.14,8.3,99927,68.47
2025-05-05,8.31,8.5,8.1,8.17,157330,70.6
2025-05-06,8.17,8.42,8.01,8.09,110119,65.32
2025-05-07,8.04,8.15,7.95,8.01,88402,66.91
2025-05-08,8.1,8.29,7.7,7.93,114587,67.14
2025-05-09,7.66,7.96,7.25,7.85,120268,64.58
2025-05-12,8.09,8.48,8.09,8.2,133007,73.82
2025-05-13,8.3,8.34,8.14,8.23,93444,62.47
2025-05-14,8.39,8.4,8.29,8.35,93487,64.06
2025-05-15,8.45,8.65,8.2,8.44,208542,73.04
2025-05-16,8.61,8.65,8.11,8.32,143207,57.5
2025-05-19,8.41,9.0,8.4,8.77,201606,55.35
2025-05-20,8.89,8.89,8.54,8.65,116743,58.08
2025-05-21,8.69,8.89,8.1,8.63,143286,67.98
2025-05-22,8.65,8.66,8.13,8.32,196785,62.45
2025-05-23,8.68,8.68,8.33,8.39,116917,42.78
2025-05-26,8.48,8.48,8.34,8.38,63719,77.03
2025-05-27,8.46,9.14,8.21,8.33,70066,54.72
2025-05-28,8.3,8.46,8.3,8.36,73932,64.63
2025-05-29,8.26,8.39,8.26,8.29,120166,74.82
2025-05-30,8.36,8.39,8.22,8.25,87400,75.43
2025-06-02,8.22,8.34,8.22,8.31,59800,82.05
2025-06-03,8.25,8.43,8.2,8.26,64664,65.4
2025-06-04,8.21,8.44,8.19,8.38,87299,61.33
2025-06-05,8.54,8.54,8.22,8.29,110721,77.02
2025-06-06,8.34,8.42,8.2,8.26,106782,76.06
2025-06-09,8.29,8.43,8.28,8.34,89750,80.66
2025-06-10,8.42,8.44,8.06,8.19,146353,61.67
2025-06-11,8.3,8.4,8.22,8.3,89320,78.9
2025-06-12,8.35,8.38,8.23,8.29,83413,69.6
2025-06-13,8.3,8.3,8.16,8.24,94412,67.77
2025-06-16,8.24,8.25,8.02,8.11,90823,67.67
2025-06-17,8.12,8.3,8.12,8.23,43131,65.47
2025-06-18,8.22,8.35,8.15,8.18,53492,65.67
2025-06-19,8.15,8.34,8.0,8.04,82716,70.32
2025-06-20,8.04,8.2,8.02,8.06,53661,51.09
2025-06-23,8.24,8.24,8.0,8.05,81812,71.94
2025-06-24,8.0,8.27,8.0,8.06,99458,51.36
2025-06-25,8.1,8.21,8.1,8.15,57585,67.89
2025-06-26,8.19,8.19,8.02,8.07,94912,63.82
2025-06-27,8.06,8.26,8.04,8.12,152961,77.71
2025-06-30,8.12,8.33,8.06,8.11,159246,65.09
2025-07-01,8.24,8.25,8.14,8.17,50050,69.52
2025-07-02,8.27,8.3,8.0,8.13,61320,63.5
2025-07-03,8.17,8.36,8.11,8.24,93348,65.64
2025-07-04,8.15,8.23,8.15,8.16,60500,61.89
2025-07-07,8.16,8.39,8.07,8.1,113388,63.13
2025-07-08,8.15,8.2,8.07,8.14,59766,62.73
2025-07-09,8.13,8.14,8.01,8.07,86235,75.97
2025-07-10,8.18,8.18,8.07,8.1,55974,76.62
2025-07-11,8.24,8.24,8.02,8.08,80371,69.88
2025-07-14,8.09,8.13,8.01,8.02,59322,83.43
2025-07-15,8.14,8.14,8.01,8.05,82682,84.1
2025-07-16,7.96,8.17,7.96,8.02,60478,77.11
2025-07-17,8.0,8.09,7.98,8.01,68638,63.56
2025-07-18,7.91,8.05,7.91,8.01,93506,69.8
2025-07-21,8.0,8.04,7.94,7.97,88115,80.76
2025-07-22,8.1,8.15,7.88,7.97,83230,70.13
2025-07-23,7.94,8.09,7.76,7.83,119611,66.18
2025-07-24,7.71,7.99,7.71,7.81,89493,74.49
2025-07-25,7.94,7.94,7.63,7.71,95029,66.51
2025-07-28,7.72,7.9,7.65,7.66,62679,60.21
2025-07-29,7.51,7.72,7.5,7.65,86812,76.37
2025-07-30,7.65,7.65,7.5,7.54,50456,75.53
2025-07-31,7.31,7.64,7.31,7.48,75356,55.32
2025-08-01,7.48,7.52,7.3,7.45,51662,70.82
2025-08-04,7.42,7.59,7.4,7.48,60103,67.26
2025-08-05,7.51,7.55,7.3,7.33,78431,71.54
2025-08-06,7.12,7.4,7.12,7.28,64201,65.22
2025-08-07,7.42,7.42,7.16,7.27,61833,66.94
2025-08-08,7.05,7.38,7.02,7.28,45810,73.54
2025-08-11,7.21,7.39,7.2,7.25,74796,60.71
2025-08-12,7.34,7.35,7.14,7.19,59613,55.28
2025-08-13,7.19,7.39,7.16,7.26,29971,70.45
2025-08-14,7.38,7.49,7.2,7.31,63473,70.6
2025-08-18,7.22,7.39,7.05,7.17,59802,77.91
2025-08-19,7.17,7.3,7.17,7.26,125400,92.82
2025-08-20,7.26,8.19,7.22,7.73,271393,79.74
2025-08-21,7.6,8.0,7.34,7.41,115287,48.96
2025-08-22,7.44,7.6,7.44,7.49,36051,75.77
2025-08-25,7.54,7.9,7.48,7.74,81712,83.09
2025-08-26,7.86,7.92,7.43,7.69,55765,66.51
2025-08-28,7.5,7.65,7.35,7.4,61344,56.72
2025-08-29,7.35,7.58,7.3,7.38,39211,69.87
2025-09-01,7.32,7.97,7.32,7.42,65737,54.99
2025-09-02,7.35,7.74,7.35,7.47,78301,58.74
2025-09-03,7.45,7.55,7.42,7.5,30080,79.72
2025-09-04,7.67,7.67,7.45,7.49,54451,79.15
2025-09-05,7.4,7.59,7.4,7.42,261373,92.75
2025-09-08,7.5,7.55,7.32,7.45,188052,91.24
2025-09-09,7.55,7.55,7.4,7.46,33417,65.31
2025-09-10,7.55,7.65,7.31,7.47,205056,92.83
2025-09-11,7.49,7.65,7.43,7.56,105837,73.95
2025-09-12,7.56,7.7,7.31,7.52,61726,72.63
2025-09-15,7.52,8.57,7.5,7.56,118418,73.14
2025-09-16,7.56,7.7,7.55,7.55,64927,69.85
2025-09-17,7.46,7.7,7.46,7.49,63738,74.66
2025-09-18,7.46,7.58,7.46,7.5,61115,88.13
2025-09-19,7.74,7.8,7.26,7.59,104942,73.34
2025-09-22,7.61,7.74,7.59,7.6,63769,72.49
2025-09-23,7.62,7.73,7.45,7.53,63879,79.35
2025-09-24,7.42,7.58,7.42,7.53,57142,75.67
2025-09-25,7.45,7.7,7.28,7.41,75145,59.79
2025-09-26,7.63,7.63,7.3,7.3,44505,78.51
2025-09-29,7.32,7.53,7.02,7.11,92529,71.57
2025-09-30,7.11,7.4,7.1,7.13,136012,65.27
2025-10-01,7.13,7.35,7.01,7.25,60035,74.64
2025-10-03,7.34,7.34,7.25,7.26,57456,88.02
2025-10-06,7.26,7.47,7.02,7.12,111238,61.35
2025-10-07,7.12,7.31,7.01,7.08,120116,80.53
2025-10-08,7.05,7.25,7.05,7.12,183197,91.63
2025-10-09,7.1,7.32,7.07,7.09,68314,86.39
2025-10-10,7.08,7.26,7.02,7.07,84839,84.29
2025-10-13,7.19,7.19,7.0,7.06,126164,78.22
2025-10-14,7.15,7.15,7.01,7.02,90983,80.49
2025-10-15,7.09,7.1,6.98,7.01,120308,91.81
2025-10-16,7.01,7.08,6.96,7.02,46948,82.16
2025-10-17,7.03,7.17,6.75,6.88,111358,82.41
2025-10-20,7.17,7.17,6.96,7.07,100452,81.64
2025-10-21,7.01,7.38,7.0,7.33,63493,93.84
2025-10-22,7.01,7.38,7.0,7.33,63493,93.84
2025-10-23,7.33,7.46,7.1,7.14,69235,77.83
2025-10-24,7.14,7.4,7.12,7.21,59020,84.62
2025-10-27,7.24,7.29,7.1,7.13,46775,78.28
2025-10-28,7.13,8.09,6.93,7.26,106373,69.45
2025-10-29,7.29,7.34,7.12,7.28,30144,76.81
2025-10-30,7.25,8.0,7.01,7.15,144520,37.54
2025-10-31,7.27,7.32,7.1,7.17,49908,73.13
2025-11-03,7.3,7.3,7.01,7.06,56657,82.09
2025-11-04,7.03,7.2,7.02,7.14,31233,78.7
2025-11-05,7.03,7.2,7.02,7.14,31233,78.7
2025-11-06,7.25,7.25,7.09,7.11,34683,82.16
2025-11-07,7.08,7.2,7.01,7.07,40684,84.09
2025-11-10,7.04,7.19,7.01,7.01,50006,80.09
2025-11-11,7.01,7.17,6.8,7.07,58123,74.73
2025-11-12,7.15,7.19,7.05,7.06,36136,75.04
2025-11-13,7.15,7.15,7.04,7.09,41807,56.63
2025-11-14,7.06,7.12,6.86,7.03,45142,71.48
2025-11-17,7.09,7.13,6.95,7.0,42557,59.87
