DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,282.0,291.05,280.0,286.45,429930,81.34
2025-04-15,289.45,290.75,284.8,287.4,418073,85.73
2025-04-16,289.85,296.5,287.8,295.45,121332,52.06
2025-04-17,296.8,297.95,291.0,291.65,55799,54.09
2025-04-21,291.65,310.0,290.3,299.85,175350,40.91
2025-04-22,299.85,304.15,294.5,301.05,214889,62.44
2025-04-23,304.0,304.3,296.0,298.75,80063,49.82
2025-04-24,300.5,303.6,298.6,300.95,84538,54.96
2025-04-25,304.0,304.0,288.85,293.6,98079,45.94
2025-04-28,294.95,297.75,286.65,288.05,154077,59.18
2025-04-29,290.0,309.35,290.0,300.95,676617,21.76
2025-04-30,302.95,304.0,288.0,290.4,161770,48.01
2025-05-02,289.1,293.5,281.0,282.25,163853,47.57
2025-05-05,283.65,285.25,277.15,279.35,443567,86.13
2025-05-06,282.4,284.3,269.3,270.5,128194,47.89
2025-05-07,265.0,271.8,265.0,268.15,112675,46.49
2025-05-08,271.8,275.85,267.0,268.55,75517,41.25
2025-05-09,262.0,265.0,257.3,263.6,134371,51.7
2025-05-12,268.05,283.25,268.05,281.65,159334,44.9
2025-05-13,283.0,286.25,277.25,284.25,105725,61.32
2025-05-14,285.05,290.25,283.95,288.55,158009,59.31
2025-05-15,291.0,299.0,288.05,289.05,119783,46.44
2025-05-16,289.05,294.5,287.0,288.9,149335,56.96
2025-05-19,288.9,309.0,288.9,308.05,413524,45.92
2025-05-20,308.0,310.6,300.05,302.65,155045,46.99
2025-05-21,302.65,309.0,297.55,307.95,212865,48.59
2025-05-22,304.85,309.45,304.15,306.2,57435,51.1
2025-05-23,309.6,317.4,308.55,311.65,270649,48.06
2025-05-26,314.0,317.2,311.25,313.75,128960,51.45
2025-05-27,310.8,319.2,308.15,317.75,127289,52.03
2025-05-28,319.5,322.35,317.25,320.35,233319,71.93
2025-05-29,322.0,322.9,315.4,321.5,64795,41.04
2025-05-30,321.0,325.9,318.95,323.55,97579,49.34
2025-06-02,326.9,331.9,322.0,327.25,162225,40.85
2025-06-03,330.5,330.5,317.9,319.25,92661,48.51
2025-06-04,319.25,323.4,315.0,320.7,72974,33.57
2025-06-05,320.0,322.55,314.0,315.0,64630,53.9
2025-06-06,314.05,317.15,305.35,307.5,97482,54.03
2025-06-09,308.0,312.05,306.0,307.4,154384,60.95
2025-06-10,307.95,314.5,307.95,312.35,137362,50.76
2025-06-11,312.9,318.5,309.8,316.55,104748,59.93
2025-06-12,320.0,338.0,318.5,329.9,635151,39.42
2025-06-13,320.5,335.8,315.55,333.4,250488,40.5
2025-06-16,334.1,335.65,320.6,325.5,308505,44.76
2025-06-17,323.8,331.6,320.0,321.3,109338,46.42
2025-06-18,320.3,323.5,312.65,314.65,81883,50.09
2025-06-19,316.25,317.75,307.05,309.3,51387,46.94
2025-06-20,309.95,320.45,306.8,316.6,72022,36.43
2025-06-23,314.9,316.0,310.2,312.0,46129,42.78
2025-06-24,315.0,321.1,313.4,315.8,83651,59.7
2025-06-25,315.8,319.95,313.3,317.85,52694,50.11
2025-06-26,317.85,321.5,315.6,317.4,271168,87.88
2025-06-27,317.4,317.45,313.05,314.65,95660,67.13
2025-06-30,319.0,320.05,313.05,313.65,100535,52.97
2025-07-01,316.8,320.2,312.4,317.75,161573,64.64
2025-07-02,319.5,321.65,314.0,315.95,108003,67.27
2025-07-03,319.95,321.15,316.0,316.65,70730,47.4
2025-07-04,318.3,319.6,313.05,315.05,44912,47.39
2025-07-07,318.1,318.1,309.0,309.6,77320,51.01
2025-07-08,308.05,309.9,303.1,303.95,84483,51.05
2025-07-09,307.0,309.8,305.0,307.6,65820,50.24
2025-07-10,310.0,311.0,306.6,308.8,40719,54.43
2025-07-11,303.3,308.95,301.0,302.55,68992,63.95
2025-07-14,302.35,304.8,299.0,302.85,111957,74.09
2025-07-15,301.35,307.0,301.35,304.5,91753,65.44
2025-07-16,307.55,323.7,305.35,320.2,675690,52.1
2025-07-17,323.9,332.0,320.25,329.7,494772,39.04
2025-07-18,329.9,333.0,326.0,329.8,132883,44.31
2025-07-21,331.3,333.0,324.95,326.6,136904,54.24
2025-07-22,326.35,349.0,323.8,341.85,486726,50.6
2025-07-23,343.5,345.55,337.0,339.4,152139,52.58
2025-07-24,341.0,351.95,338.8,341.3,376228,47.73
2025-07-25,341.3,343.55,330.05,331.75,138532,56.41
2025-07-28,330.0,342.8,324.15,330.25,228357,42.46
2025-07-29,331.0,339.25,323.65,332.8,387760,22.74
2025-07-30,330.75,349.0,328.65,330.75,215688,34.9
2025-07-31,330.75,330.75,317.05,322.4,229278,43.68
2025-08-01,325.6,332.0,315.0,316.55,155689,44.44
2025-08-04,319.0,320.7,313.4,316.35,70407,39.56
2025-08-05,316.25,317.9,310.6,311.5,43994,46.05
2025-08-06,311.5,311.55,301.0,302.25,81373,49.01
2025-08-07,300.1,315.0,298.7,312.45,113464,51.51
2025-08-08,312.45,312.9,305.45,309.3,69295,50.14
2025-08-11,310.05,311.8,305.3,311.05,40626,51.02
2025-08-12,311.95,314.2,307.95,310.65,47075,31.46
2025-08-13,308.1,310.9,303.2,307.2,67390,53.14
2025-08-14,309.2,310.7,305.85,307.05,42596,59.92
