DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-01-16,28.94,29.22,28.55,28.63,72431,85.99
2026-01-19,28.5,28.9,28.13,28.43,83879,78.55
2026-01-20,28.3,29.0,27.25,27.68,69942,68.92
2026-01-21,27.68,27.68,26.77,27.12,83634,84.95
2026-01-22,27.11,27.7,27.11,27.64,34874,65.61
2026-01-23,28.19,28.19,27.27,27.42,29861,69.04
2026-01-26,28.19,28.19,27.27,27.42,29861,69.04
2026-01-27,28.1,28.5,27.0,27.43,43408,66.71
2026-01-28,27.14,28.09,27.14,28.0,47438,72.68
2026-01-29,28.56,28.56,27.31,27.64,63153,69.79
2026-01-30,27.64,28.0,27.19,27.82,63027,41.64
2026-02-02,26.76,27.69,26.63,27.5,28764,71.67
2026-02-03,28.06,29.06,28.01,28.42,93309,67.05
2026-02-04,28.79,28.79,28.39,28.44,54071,79.67
2026-02-05,28.53,29.18,28.18,28.59,52284,57.67
2026-02-06,28.5,28.93,28.05,28.21,22865,74.38
2026-02-09,28.57,28.9,28.32,28.86,46076,88.61
2026-02-10,28.87,29.26,28.87,28.99,48027,72.29
2026-02-11,29.28,29.28,28.76,29.1,65812,78.31
2026-02-12,29.82,29.82,28.67,28.82,28320,62.35
2026-02-13,28.6,28.69,28.22,28.55,45379,86.25
2026-02-16,28.69,28.95,28.05,28.49,13431,58.6
2026-02-17,28.63,28.85,28.25,28.63,16854,64.91
2026-02-18,29.64,29.64,28.45,28.59,46277,86.26
2026-02-19,28.59,28.77,28.03,28.46,17959,58.97
2026-02-20,28.04,29.0,27.89,28.41,11219,76.92
2026-02-23,28.55,28.55,27.81,28.17,30373,60.61
2026-02-24,28.17,28.18,27.6,27.72,25821,84.09
2026-02-25,27.62,28.4,27.61,27.89,15797,74.98
2026-02-26,27.9,28.12,27.74,28.05,15289,61.47
2026-02-27,28.06,28.29,27.69,27.84,28168,58.19
2026-03-02,27.56,27.7,27.13,27.54,48451,76.19
2026-03-03,27.56,27.7,27.13,27.54,48451,76.19
2026-03-04,27.0,28.28,26.74,27.08,32711,82.72
2026-03-05,27.39,27.43,26.99,27.34,10345,64.3
2026-03-06,27.34,27.77,26.96,27.53,18899,50.52
2026-03-09,27.29,27.3,26.6,26.97,26284,78.71
2026-03-10,26.98,27.48,26.95,27.36,11487,81.29
2026-03-11,27.49,27.84,26.81,26.97,15039,81.34
2026-03-12,26.8,27.13,26.47,27.05,13680,72.95
2026-03-13,27.05,27.1,26.25,26.43,29365,91.4
2026-03-16,26.43,26.9,25.9,26.19,25051,52.33
2026-03-17,25.67,26.69,25.67,26.18,26017,40.77
2026-03-18,26.1,26.8,26.1,26.75,88680,14.79
2026-03-19,26.22,26.84,25.55,25.95,56668,37.06
2026-03-20,26.24,26.41,25.9,25.98,17545,47.35
2026-03-23,25.85,25.85,24.92,25.16,30144,79.17
2026-03-24,25.28,26.19,25.1,25.7,13717,69.44
2026-03-25,25.18,26.59,25.18,26.49,27946,61.84
2026-03-26,25.18,26.59,25.18,26.49,27946,61.84
2026-03-27,26.97,26.98,25.39,25.59,26753,59.68
2026-03-30,25.55,25.59,24.64,24.91,54049,63.14
2026-03-31,25.55,25.59,24.64,24.91,54049,63.14
