DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-06-17,10.13,10.14,10.01,10.04,163666,69.86
2025-06-18,10.24,10.5,9.0,10.0,169437,79.5
2025-06-19,10.0,10.37,9.8,9.97,172868,53.48
2025-06-20,10.17,10.17,9.7,9.98,99728,66.06
2025-06-23,9.88,10.25,9.83,9.98,108319,75.75
2025-06-24,10.18,10.35,9.7,10.05,81166,78.41
2025-06-25,10.3,10.3,9.85,10.13,76319,68.94
2025-06-26,10.3,11.5,9.95,10.6,115469,65.59
2025-06-27,10.5,10.5,10.1,10.43,357154,65.65
2025-06-30,10.5,10.5,10.21,10.25,417349,86.56
2025-07-01,10.5,10.5,10.2,10.24,119793,78.44
2025-07-02,10.38,10.38,10.16,10.2,77476,86.71
2025-07-03,10.2,10.3,10.15,10.17,130463,76.49
2025-07-04,10.42,10.42,10.16,10.2,104585,62.71
2025-07-07,10.2,10.35,10.15,10.2,56263,75.27
2025-07-08,10.24,10.25,10.1,10.19,81358,53.04
2025-07-09,10.17,10.32,10.1,10.21,192863,25.08
2025-07-10,10.29,10.29,10.13,10.16,51399,71.74
2025-07-11,10.11,10.2,10.05,10.12,51083,61.99
2025-07-14,10.34,10.35,10.0,10.07,65278,76.43
2025-07-15,10.04,10.28,10.0,10.16,51520,58.74
2025-07-16,10.17,10.22,10.0,10.15,113273,68.97
2025-07-17,10.27,10.28,10.13,10.13,44044,90.47
2025-07-18,10.1,10.22,10.0,10.12,130705,41.26
2025-07-21,10.01,10.35,10.0,10.08,74179,73.54
2025-07-22,10.3,10.3,10.0,10.1,67521,70.86
2025-07-23,10.21,10.22,10.05,10.11,37857,90.44
2025-07-24,10.15,10.3,10.05,10.06,48347,74.1
2025-07-25,10.25,10.25,9.96,10.01,106303,59.6
2025-07-28,9.96,10.1,9.82,9.95,77385,65.07
2025-07-29,10.09,10.1,9.83,9.98,50322,66.8
2025-07-30,10.04,10.05,9.94,9.98,52973,52.99
2025-07-31,9.78,10.0,9.72,9.96,36388,65.8
2025-08-01,10.0,10.04,9.8,9.88,42297,59.15
2025-08-04,9.81,9.97,9.8,9.95,30260,53.19
2025-08-05,10.09,10.1,9.82,9.94,22158,51.47
2025-08-06,9.98,10.1,9.82,9.83,31961,77.37
2025-08-07,9.83,9.92,9.77,9.87,33631,65.21
2025-08-08,9.85,10.09,9.79,9.83,187684,83.66
2025-08-11,9.87,10.05,9.77,9.82,35210,56.33
2025-08-12,9.82,10.05,9.82,9.84,15228,67.49
2025-08-13,9.84,10.05,9.65,9.92,26648,72.7
2025-08-14,9.93,9.97,9.75,9.92,31714,92.38
2025-08-18,10.09,10.23,9.92,10.15,228086,66.13
2025-08-19,10.23,10.23,10.01,10.17,65913,96.0
2025-08-20,10.16,10.25,10.16,10.21,107157,99.46
2025-08-21,10.2,10.4,10.2,10.25,54552,89.52
2025-08-22,10.3,10.39,10.04,10.2,33643,90.27
2025-08-25,10.2,10.4,10.05,10.23,29969,88.86
2025-08-26,10.23,10.24,10.1,10.19,48439,63.37
2025-08-28,10.25,10.33,10.09,10.11,25871,79.63
2025-08-29,10.1,10.18,10.01,10.09,26439,89.42
2025-09-01,10.29,10.31,9.92,10.2,37297,68.11
2025-09-02,10.11,10.3,10.0,10.23,65453,98.91
