DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,33.82,34.74,33.75,33.97,179854,56.96
2025-04-15,34.74,36.01,34.01,35.43,314391,75.03
2025-04-16,36.0,36.0,35.11,35.33,176162,62.27
2025-04-17,34.75,36.4,34.71,35.53,239701,59.75
2025-04-21,35.21,36.5,35.21,35.97,300489,67.03
2025-04-22,36.67,36.85,35.91,36.15,280866,39.32
2025-04-23,37.23,37.23,35.36,36.27,177929,64.04
2025-04-24,35.9,36.63,35.9,36.03,156588,72.1
2025-04-25,36.44,36.45,34.75,34.96,271220,61.86
2025-04-28,34.81,35.8,34.23,35.26,348315,46.23
2025-04-29,35.01,35.79,35.0,35.18,93414,62.02
2025-04-30,35.52,35.52,34.43,34.58,123033,78.44
2025-05-02,34.5,35.65,34.03,34.54,378956,47.72
2025-05-05,34.53,35.09,34.3,35.02,99897,66.58
2025-05-06,35.25,35.25,33.74,34.04,185147,78.65
2025-05-07,33.69,34.2,32.91,33.97,131266,62.2
2025-05-08,33.61,34.31,33.2,33.42,138249,61.93
2025-05-09,33.0,33.22,32.01,33.02,181084,60.15
2025-05-12,33.7,35.28,33.66,35.02,475113,54.45
2025-05-13,35.44,35.78,34.68,35.08,198871,57.4
2025-05-14,35.09,36.25,34.77,36.19,825813,80.33
2025-05-15,36.38,36.6,36.1,36.38,482904,80.51
2025-05-16,36.41,40.0,36.33,38.56,2316572,72.78
2025-05-19,39.11,43.66,39.0,39.12,3486063,66.91
2025-05-20,38.51,42.0,37.33,37.83,1764292,72.89
2025-05-21,38.39,38.99,37.63,38.32,1146614,53.76
2025-05-22,38.51,38.69,37.7,38.01,505698,72.76
2025-05-23,37.8,38.49,37.5,37.8,410457,71.93
2025-05-26,37.5,38.88,37.5,38.62,1103725,71.47
2025-05-27,38.99,39.1,38.2,38.69,1251896,58.35
2025-05-28,38.89,39.5,38.5,38.89,1225609,45.55
2025-05-29,39.1,39.38,38.6,38.81,513676,57.24
2025-05-30,39.17,39.19,38.3,38.43,809362,58.72
2025-06-02,38.62,38.85,38.0,38.53,598091,45.83
2025-06-03,39.09,39.09,38.33,38.4,453886,51.01
2025-06-04,38.83,40.5,37.94,39.96,4719779,52.83
2025-06-05,40.56,41.23,39.8,39.92,2261706,71.07
2025-06-06,40.52,40.58,39.39,40.13,1307798,68.21
2025-06-09,40.72,40.97,40.16,40.29,1357570,64.81
2025-06-10,40.79,40.8,39.89,40.06,886773,72.92
2025-06-11,40.26,40.49,39.68,39.92,1470276,64.73
2025-06-12,40.11,40.19,38.75,39.0,912502,75.13
2025-06-13,38.9,39.0,37.6,38.42,1177348,52.04
2025-06-16,38.62,38.87,37.73,38.75,691825,50.17
2025-06-17,38.38,39.1,38.38,38.49,486799,60.55
2025-06-18,38.91,38.91,38.01,38.14,340921,77.95
2025-06-19,38.15,38.48,37.02,37.19,688029,86.54
2025-06-20,37.6,38.11,37.01,37.75,556261,63.94
2025-06-23,38.16,38.16,37.33,38.05,439417,62.67
2025-06-24,38.62,38.94,38.01,38.33,461779,64.53
2025-06-25,38.33,38.75,38.17,38.47,433203,66.97
2025-06-26,38.88,38.88,38.14,38.48,287326,67.32
2025-06-27,38.73,39.1,38.11,38.72,613544,56.34
2025-06-30,39.15,39.15,38.5,38.77,879736,50.51
2025-07-01,39.2,39.26,38.5,38.66,363333,62.92
2025-07-02,39.04,39.04,38.28,38.43,333600,68.38
2025-07-03,38.41,38.76,38.4,38.51,206216,71.09
2025-07-04,38.7,38.92,38.14,38.52,193989,70.56
2025-07-07,38.89,38.99,38.18,38.47,187910,74.49
2025-07-08,38.53,38.54,38.12,38.34,183715,76.48
2025-07-09,38.02,38.74,38.02,38.4,229578,62.41
2025-07-10,38.46,38.8,38.36,38.41,269440,62.75
2025-07-11,38.71,38.71,38.0,38.11,199563,61.34
2025-07-14,38.44,38.44,37.5,37.89,419597,72.52
2025-07-15,38.83,38.83,37.72,38.15,254944,66.07
2025-07-16,38.0,38.44,37.9,38.14,297238,47.18
2025-07-17,38.52,38.52,37.83,38.12,104648,72.4
2025-07-18,38.37,38.37,37.5,37.75,192715,83.45
2025-07-21,38.16,38.16,37.5,37.8,203909,58.84
2025-07-22,37.79,38.09,37.37,37.44,204057,84.44
2025-07-23,37.49,37.83,37.31,37.55,221100,53.88
2025-07-24,37.73,37.8,37.5,37.54,224579,50.99
2025-07-25,37.5,37.59,36.78,36.86,331899,84.51
2025-07-28,37.2,37.21,36.2,36.26,283564,71.98
2025-07-29,36.57,36.67,35.43,36.54,209200,70.71
2025-07-30,36.28,36.87,35.9,36.42,105285,80.59
2025-07-31,35.9,36.45,35.3,35.82,230179,84.67
2025-08-01,36.18,36.18,35.25,35.34,202307,89.03
2025-08-04,35.51,36.07,35.3,35.95,158937,67.16
2025-08-05,36.1,36.47,35.6,35.8,111256,72.32
2025-08-06,35.51,36.14,35.3,35.4,137027,83.94
2025-08-07,35.4,35.4,34.4,35.11,507923,64.77
2025-08-08,35.25,35.4,34.77,34.86,111403,82.62
2025-08-11,34.87,35.33,34.55,35.03,158941,55.9
2025-08-12,35.35,35.36,34.5,34.68,177058,81.1
2025-08-13,34.69,35.34,34.4,34.79,154304,78.5
2025-08-14,34.8,35.1,34.5,34.54,192153,83.06
2025-08-18,35.32,35.32,34.03,34.39,809027,32.92
2025-08-19,34.72,35.09,34.36,35.01,271380,74.81
2025-08-20,35.34,35.58,34.79,35.13,1126055,81.83
2025-08-21,35.3,35.78,34.74,34.95,516260,90.37
2025-08-22,35.29,35.8,34.58,34.72,219011,71.33
2025-08-25,35.01,35.48,34.3,34.57,753497,38.33
2025-08-26,34.5,34.79,33.85,33.88,531452,91.68
2025-08-28,33.99,34.0,33.33,33.38,300687,87.99
2025-08-29,34.21,34.21,32.85,33.15,309667,89.18
2025-09-01,33.45,34.0,33.03,33.86,263955,62.83
2025-09-02,34.02,35.09,33.86,34.69,611458,65.82
2025-09-03,34.6,35.16,34.5,34.75,338686,54.96
2025-09-04,34.93,35.39,34.26,34.33,288665,71.94
2025-09-05,34.5,34.69,34.12,34.43,160706,61.87
2025-09-08,34.8,34.94,34.42,34.53,219518,66.95
2025-09-09,34.91,34.93,34.48,34.68,190215,72.24
2025-09-10,34.94,35.14,34.57,34.98,253604,77.02
2025-09-11,34.99,35.36,34.98,35.02,171374,69.23
2025-09-12,35.26,35.5,35.07,35.34,1091231,89.22
2025-09-15,35.52,36.2,35.42,35.86,1841158,77.14
2025-09-16,36.17,36.49,35.65,36.15,668191,77.1
2025-09-17,36.1,36.65,36.0,36.31,662774,62.85
2025-09-18,36.72,36.73,36.09,36.27,600120,77.6
2025-09-19,36.62,36.62,36.15,36.4,451005,69.13
2025-09-22,36.41,36.68,35.96,36.09,611827,77.03
2025-09-23,36.39,36.39,35.63,35.83,390054,74.94
2025-09-24,35.9,35.9,35.3,35.36,302475,85.74
2025-09-25,35.53,35.74,35.07,35.2,278536,58.23
2025-09-26,34.91,35.46,34.57,34.68,405709,73.52
2025-09-29,34.98,35.15,34.69,34.89,204103,68.65
2025-09-30,35.06,35.23,34.61,34.83,191676,74.8
2025-10-01,34.56,35.15,34.33,34.84,334836,38.61
2025-10-03,35.02,35.55,34.95,35.5,217181,73.54
2025-10-06,35.69,35.85,35.16,35.38,385359,75.01
2025-10-07,35.55,36.18,34.9,35.82,1639286,80.1
2025-10-08,35.99,36.35,35.05,35.22,440708,82.83
2025-10-09,35.56,35.56,35.11,35.4,246128,76.77
2025-10-10,35.45,35.98,35.4,35.61,227356,76.13
2025-10-13,35.85,35.85,35.0,35.21,356607,71.49
2025-10-14,35.44,35.45,34.69,34.88,307569,77.89
2025-10-15,35.05,35.58,34.72,35.25,1254369,79.68
2025-10-16,35.42,35.54,35.1,35.23,181302,74.93
2025-10-17,35.4,35.4,34.89,35.03,256970,84.38
2025-10-20,35.15,35.35,35.03,35.19,1033072,96.51
2025-10-21,35.36,35.55,35.0,35.29,373953,94.53
2025-10-22,35.36,35.55,35.0,35.29,373953,94.53
2025-10-23,35.46,35.5,35.0,35.13,236305,73.35
2025-10-24,35.13,35.38,35.03,35.16,261286,59.59
2025-10-27,35.45,35.45,35.0,35.14,244698,64.7
2025-10-28,35.15,35.31,34.98,35.05,208249,73.81
2025-10-29,35.22,35.76,35.02,35.69,1072568,63.84
2025-10-30,35.86,35.89,35.31,35.43,149338,73.7
2025-10-31,35.6,35.91,35.15,35.24,562856,56.52
