DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-08-20,27.5,27.5,27.13,27.2,73,100.0
2026-08-21,27.13,27.13,26.9,26.9,13,100.0
2026-08-24,26.9,26.9,26.85,26.86,262,100.0
2026-08-25,26.93,26.93,26.91,26.91,31,100.0
2026-08-26,26.9,26.9,26.9,26.9,29,100.0
2026-08-27,26.82,26.82,26.82,26.82,1650000,100.0
2026-08-28,26.66,26.89,26.66,26.89,11,100.0
2026-08-31,26.83,26.83,26.51,26.51,1245,74.62
2026-09-01,26.64,26.64,26.49,26.49,185,100.0
2026-09-04,26.79,26.79,26.48,26.79,42,52.38
2026-09-07,26.79,26.81,26.75,26.81,11,100.0
2026-09-08,26.81,26.83,26.47,26.83,520,99.04
2026-09-09,26.8,26.8,26.8,26.8,6,100.0
2026-09-10,26.48,26.83,26.48,26.83,377,98.41
2026-09-11,26.46,27.85,26.46,27.0,4,50.0
