DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,28.67,28.9,28.61,28.68,66695,58.4
2025-04-15,28.9,28.9,28.65,28.77,174118,52.63
2025-04-16,28.63,28.85,28.63,28.82,6850,80.42
2025-04-17,28.84,28.97,28.81,28.83,17218,92.03
2025-04-21,28.84,29.0,28.76,28.94,203229,47.95
2025-04-22,28.95,29.14,28.9,28.96,106768,67.17
2025-04-23,28.96,29.14,28.8,28.94,17131,51.67
2025-04-24,29.08,29.1,28.91,28.92,29155,56.76
2025-04-25,29.06,29.12,28.89,28.91,29415,55.46
2025-04-28,29.93,29.93,28.86,28.89,41367,60.03
2025-04-29,29.09,29.14,28.83,28.92,170378,58.73
2025-04-30,29.0,29.09,28.95,28.96,9430,75.77
2025-05-02,29.0,29.03,28.97,28.98,6264,97.17
2025-05-05,29.02,29.03,28.96,28.99,8433,99.43
2025-05-06,29.02,29.19,28.91,29.04,179408,98.81
2025-05-07,29.03,29.18,28.97,29.04,68426,84.62
2025-05-08,28.88,29.2,28.88,28.94,84613,55.91
2025-05-09,29.04,29.12,28.81,28.95,15532,71.37
2025-05-12,29.09,29.09,28.86,28.89,22963,65.32
2025-05-13,28.91,29.15,28.9,29.0,35236,99.3
2025-05-14,29.09,29.15,29.0,29.07,76653,83.21
2025-05-15,29.1,29.22,29.08,29.13,32114,44.47
2025-05-16,29.27,29.32,29.02,29.12,17009,59.75
2025-05-19,29.06,29.27,29.05,29.2,58372,64.81
2025-05-20,29.21,29.23,29.15,29.16,33425,75.93
2025-05-21,29.24,29.42,29.2,29.28,5232,89.66
2025-05-22,29.43,29.43,29.24,29.28,46088,73.41
2025-05-23,29.39,29.39,29.15,29.28,100068,53.72
2025-05-26,29.35,29.35,29.22,29.29,37876,88.98
2025-05-27,29.27,29.37,29.23,29.3,143368,51.15
2025-05-28,29.35,29.35,29.25,29.35,4753,66.17
2025-05-29,29.35,29.39,29.26,29.3,5198,59.95
2025-05-30,29.44,29.45,29.15,29.31,13942,44.52
