DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,61.09,61.5,60.76,61.41,8007,77.88
2025-04-15,61.49,61.49,60.73,61.07,9758,65.07
2025-04-16,61.09,61.35,61.09,61.24,741,56.55
2025-04-17,61.75,61.83,61.03,61.78,5447,79.47
2025-04-21,61.78,61.79,61.0,61.67,7617,77.08
2025-04-22,61.68,61.92,61.37,61.61,10328,69.97
2025-04-23,61.78,61.78,61.48,61.49,1363,55.76
2025-04-24,61.51,61.99,61.51,61.88,1058,99.72
2025-04-25,61.89,61.89,61.51,61.74,1275,68.55
2025-04-28,61.92,61.92,61.42,61.47,5936,52.06
2025-04-29,61.49,61.87,61.41,61.46,1275,85.49
2025-04-30,61.88,61.88,61.44,61.59,850,81.76
2025-05-02,62.1,62.15,61.58,61.58,4889,69.05
2025-05-05,61.99,62.15,61.53,61.65,3606,55.77
2025-05-06,61.96,62.2,61.7,62.17,14002,50.45
2025-05-07,62.04,62.09,61.62,62.02,41125,53.71
2025-05-08,61.97,61.98,61.5,61.51,8286,41.91
2025-05-09,61.52,62.14,61.51,61.6,1233,80.7
2025-05-12,62.12,62.14,61.64,61.76,13355,90.22
2025-05-13,62.0,62.12,61.71,61.71,4211,61.13
2025-05-14,61.93,62.08,61.79,62.05,21387,73.13
2025-05-15,62.19,62.19,62.01,62.19,4145,74.21
2025-05-16,62.25,62.3,61.9,62.27,758,89.05
2025-05-19,62.4,62.45,61.83,62.09,27516,52.55
2025-05-20,62.39,62.6,62.16,62.33,3744,67.79
2025-05-21,62.09,62.62,62.09,62.37,6058,71.24
2025-05-22,62.59,62.59,62.18,62.47,178,93.26
2025-05-23,62.47,62.67,62.25,62.64,1500,97.93
2025-05-26,62.75,62.75,62.21,62.48,7031,57.26
2025-05-27,62.78,62.85,62.19,62.34,5735,53.06
2025-05-28,62.66,62.76,62.33,62.47,1498,76.84
2025-05-29,62.55,62.76,62.51,62.54,2842,63.86
2025-05-30,62.79,62.79,62.55,62.6,734,68.26
2025-06-02,62.46,63.99,62.41,62.66,24857,62.85
2025-06-03,62.74,62.75,62.44,62.58,11391,95.42
2025-06-04,62.58,62.74,62.58,62.67,241,92.12
2025-06-05,62.47,62.74,62.47,62.6,4239,48.03
2025-06-06,62.65,62.99,62.51,62.93,8034,57.37
2025-06-09,63.24,63.24,62.42,62.87,716,92.46
2025-06-10,62.86,62.94,62.43,62.64,8360,53.67
2025-06-11,62.64,62.69,62.5,62.69,687,100.0
2025-06-12,62.68,62.69,62.38,62.41,10016,51.49
2025-06-13,62.41,62.69,62.4,62.6,2912,99.66
2025-06-16,62.59,62.72,62.24,62.57,380586,99.88
2025-06-17,62.75,62.75,62.57,62.6,20547,55.66
2025-06-18,62.76,62.76,62.52,62.68,337,98.52
2025-06-19,62.68,62.68,62.31,62.67,50,100.0
2025-06-20,62.41,62.79,62.41,62.78,6497,99.17
2025-06-23,62.78,62.78,62.41,62.43,13588,63.11
2025-06-24,62.79,62.79,62.42,62.63,6968,74.94
2025-06-25,62.53,62.74,62.43,62.69,1759251,99.8
2025-06-26,63.51,63.51,62.44,62.53,4159,66.77
2025-06-27,62.79,62.79,62.42,62.68,13078,40.63
2025-06-30,62.75,62.75,62.42,62.44,474,99.37
2025-07-01,62.5,62.67,62.5,62.6,3239,78.67
