DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,106.05,108.99,106.05,108.12,19199,37.49
2025-04-15,109.5,112.29,109.5,111.62,52291,35.54
2025-04-16,112.0,115.66,111.62,113.17,89160,35.12
2025-04-17,112.05,115.02,108.75,112.78,122934,24.43
2025-04-21,114.89,114.89,112.5,112.98,66328,42.58
2025-04-22,113.8,113.8,112.16,112.8,25784,44.95
2025-04-23,113.6,115.8,111.2,112.59,52596,26.0
2025-04-24,113.5,114.37,112.6,113.06,26876,31.97
2025-04-25,113.8,113.8,108.5,109.11,28715,57.52
2025-04-28,109.11,109.77,106.01,106.36,67917,59.56
2025-04-29,106.5,107.99,106.2,106.66,30531,58.74
2025-04-30,106.8,106.8,104.52,105.0,30959,59.34
2025-05-02,105.1,106.19,104.32,105.15,32240,52.94
2025-05-05,106.1,108.19,105.6,106.64,26638,47.57
2025-05-06,107.55,107.55,105.0,105.31,20632,49.01
2025-05-07,105.0,106.66,103.0,104.09,68848,81.98
2025-05-08,103.0,105.9,102.35,102.86,25025,53.21
2025-05-09,102.33,103.53,100.75,102.89,21027,44.31
2025-05-12,103.6,108.61,103.6,106.95,28020,49.95
2025-05-13,106.9,108.0,105.03,106.38,24994,51.18
2025-05-14,107.06,108.95,106.5,106.85,33288,57.8
2025-05-15,107.6,107.71,106.41,106.87,54114,71.88
2025-05-16,107.7,110.16,106.86,107.55,61754,59.25
2025-05-19,108.4,111.9,107.74,110.62,53860,56.77
2025-05-20,109.5,112.5,107.5,108.42,42435,48.37
2025-05-21,108.95,109.5,106.83,108.26,21250,40.64
2025-05-22,109.0,110.95,107.6,108.36,21865,39.35
2025-05-23,108.9,109.95,107.91,109.32,14154,46.83
2025-05-26,110.0,110.72,109.05,109.54,17173,74.85
2025-05-27,110.0,110.89,109.52,110.54,21068,68.57
2025-05-28,111.3,111.5,110.05,110.63,19081,61.47
2025-05-29,110.0,112.08,109.5,111.43,21535,56.78
2025-05-30,111.7,115.4,110.66,112.47,86920,34.17
2025-06-02,112.47,112.78,110.5,111.69,27148,51.88
2025-06-03,112.4,113.35,111.01,112.07,29577,43.65
2025-06-04,112.79,112.79,110.25,110.62,17032,57.6
2025-06-05,110.66,112.9,110.5,111.14,15697,61.0
2025-06-06,112.0,112.0,111.0,111.12,12592,53.38
2025-06-09,111.9,112.0,109.94,110.58,30217,55.88
2025-06-10,110.69,122.15,107.29,117.45,465799,30.26
2025-06-11,117.9,118.65,113.91,117.09,67779,56.64
2025-06-12,117.15,125.0,115.69,118.76,194269,40.16
2025-06-13,117.0,118.75,114.0,115.24,38651,51.04
2025-06-16,116.2,121.5,115.24,119.08,65182,41.3
