DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,610.0,618.95,596.4,602.4,43603,40.4
2025-04-15,606.75,620.0,601.95,617.85,39203,41.41
2025-04-16,625.1,649.0,625.1,642.5,153402,22.03
2025-04-17,652.15,656.8,631.0,636.3,62982,22.63
2025-04-21,641.0,651.0,633.6,647.25,42806,43.93
2025-04-22,654.65,669.15,643.55,662.45,102324,33.17
2025-04-23,667.3,669.7,636.1,638.2,94732,50.03
2025-04-24,642.95,649.8,634.5,641.3,60501,31.87
2025-04-25,645.95,646.2,613.55,622.9,54815,29.81
2025-04-28,622.55,640.15,613.0,628.0,54102,38.57
2025-04-29,632.5,635.15,620.55,625.95,28480,36.42
2025-04-30,627.95,628.5,604.0,605.7,41463,58.1
2025-05-02,609.0,617.15,595.05,611.8,40446,37.04
2025-05-05,611.8,614.5,607.1,612.5,17403,40.02
2025-05-06,613.0,615.8,587.1,590.4,41051,45.75
2025-05-07,585.0,632.9,578.1,625.1,80571,37.43
2025-05-08,630.1,638.0,603.0,633.05,137699,66.92
2025-05-09,629.0,629.0,601.35,609.9,42067,25.04
2025-05-12,625.0,634.85,618.85,632.05,33145,39.98
2025-05-13,629.95,639.0,622.1,636.25,25935,38.35
2025-05-14,636.25,646.2,635.05,643.5,28482,43.29
2025-05-15,642.9,655.0,638.1,651.25,62250,48.43
2025-05-16,654.0,658.9,646.0,652.35,39083,49.89
2025-05-19,667.95,684.35,653.05,657.25,227648,37.61
2025-05-20,657.25,657.25,626.0,634.3,137774,52.53
2025-05-21,630.0,637.05,610.5,613.0,147890,60.08
2025-05-22,609.8,611.05,592.2,597.3,181159,53.39
2025-05-23,600.0,601.7,592.9,597.9,50885,40.89
2025-05-26,600.0,612.0,597.95,605.95,59434,50.49
2025-05-27,605.0,609.2,596.7,602.3,37426,59.97
2025-05-28,602.3,608.65,586.7,588.55,146974,62.97
2025-05-29,593.0,593.0,581.0,583.6,61926,60.15
2025-05-30,583.0,585.9,562.5,574.0,375629,56.63
2025-06-02,577.1,593.3,574.1,591.5,67225,43.76
2025-06-03,592.0,597.0,577.65,581.75,59024,41.28
2025-06-04,584.8,590.9,580.45,589.3,47375,52.0
2025-06-05,592.95,592.95,582.1,587.0,38743,51.84
2025-06-06,590.2,599.05,585.0,589.4,71420,44.5
2025-06-09,594.1,599.8,591.6,593.75,44658,41.33
2025-06-10,596.9,599.5,589.5,595.9,53020,42.71
2025-06-11,598.8,605.9,592.4,597.85,90162,42.91
2025-06-12,598.0,605.85,582.0,585.2,67582,38.79
2025-06-13,578.55,597.0,576.0,591.3,37045,54.19
2025-06-16,594.5,594.5,579.95,589.35,28899,43.98
2025-06-17,585.3,594.95,585.1,585.95,26608,42.08
2025-06-18,586.5,588.95,579.55,581.4,23542,48.06
2025-06-19,581.4,583.7,567.85,573.1,30627,51.43
2025-06-20,575.6,578.8,568.0,570.2,29434,44.94
2025-06-23,565.0,575.0,563.45,573.4,23258,44.66
2025-06-24,575.9,584.0,575.6,578.05,29893,45.13
2025-06-25,575.15,593.35,575.15,590.95,42585,44.62
2025-06-26,595.0,615.0,588.0,609.25,256648,37.48
2025-06-27,613.5,613.9,604.45,606.45,54154,42.85
2025-06-30,606.45,614.35,597.5,599.65,49311,49.75
2025-07-01,603.9,618.0,603.9,610.8,70009,43.15
2025-07-02,612.0,614.9,588.2,589.75,80526,64.64
2025-07-03,589.2,596.0,587.0,589.3,42624,58.75
2025-07-04,589.3,592.0,577.9,579.7,96969,71.6
2025-07-07,583.9,588.9,570.55,575.05,55381,48.78
2025-07-08,576.8,586.0,576.0,578.1,40941,35.35
2025-07-09,578.7,587.9,577.35,586.95,41949,53.87
2025-07-10,584.55,599.95,584.55,595.95,62793,61.97
2025-07-11,595.95,595.95,587.3,591.5,31580,49.77
2025-07-14,590.0,591.85,583.0,586.45,27825,45.56
2025-07-15,587.35,594.8,587.35,591.5,27227,53.01
2025-07-16,591.5,601.4,590.05,596.25,47619,54.86
2025-07-17,599.4,600.45,591.3,594.1,15945,52.24
2025-07-18,596.0,596.2,586.4,590.1,17460,49.31
2025-07-21,594.6,594.6,585.05,588.4,28453,54.15
2025-07-22,594.3,617.0,591.75,600.15,486538,67.29
2025-07-23,604.95,609.0,595.25,598.75,319717,87.49
2025-07-24,601.7,612.2,596.75,601.15,246082,71.53
2025-07-25,601.15,605.8,590.55,594.1,103901,71.46
2025-07-28,594.1,597.25,572.15,575.6,46627,49.9
2025-07-29,575.0,579.8,572.05,574.9,53973,60.01
2025-07-30,575.6,577.5,571.9,573.4,44351,70.34
2025-07-31,573.4,593.5,568.6,581.6,64823,46.89
2025-08-01,585.8,590.7,572.2,573.25,41750,52.73
2025-08-04,573.7,583.8,569.0,579.85,25925,40.47
2025-08-05,579.85,587.0,574.5,583.15,23802,54.16
2025-08-06,580.0,584.8,575.5,581.05,14929,55.3
2025-08-07,581.0,581.0,564.0,574.95,38825,55.26
2025-08-08,570.0,581.0,570.0,578.65,19220,64.61
2025-08-11,565.0,570.0,553.8,559.25,60416,48.48
2025-08-12,563.3,566.8,557.3,560.1,21320,47.21
2025-08-13,560.9,563.95,550.0,552.0,38038,54.21
2025-08-14,552.0,559.45,548.1,550.35,25784,36.21
2025-08-18,551.0,560.2,544.5,547.95,43019,54.6
2025-08-19,551.9,563.0,549.15,559.6,24943,53.98
2025-08-20,563.7,572.0,558.25,565.15,28153,49.1
2025-08-21,565.0,575.1,565.0,568.95,25325,56.03
2025-08-22,572.0,588.85,562.2,574.55,43445,42.0
2025-08-25,577.0,579.0,569.5,570.55,21362,53.54
2025-08-26,570.05,570.05,563.35,565.25,16539,54.04
2025-08-28,565.25,571.5,561.45,564.1,20281,48.34
2025-08-29,564.1,569.7,559.45,564.3,15480,46.1
2025-09-01,567.3,577.8,564.0,576.1,23900,61.3
2025-09-02,579.2,590.85,576.0,587.85,190896,72.19
2025-09-03,587.85,595.95,586.3,594.55,42045,64.97
2025-09-04,597.75,607.9,589.7,593.75,73707,56.04
2025-09-05,592.5,603.7,586.0,587.8,66287,47.95
2025-09-08,588.6,598.6,585.1,593.9,39759,49.49
2025-09-09,593.9,600.3,591.55,592.3,36440,64.05
2025-09-10,592.3,602.7,592.3,600.4,42314,69.13
2025-09-11,600.4,612.4,600.4,608.05,73543,59.65
2025-09-12,608.1,611.3,603.05,608.6,44497,58.84
2025-09-15,609.0,621.8,609.0,610.9,84763,54.87
2025-09-16,615.0,617.9,612.0,613.95,63635,56.28
2025-09-17,618.0,619.25,612.05,615.15,96593,65.13
2025-09-18,616.5,618.0,610.25,614.95,93298,63.11
2025-09-19,593.0,598.0,590.45,594.5,57069,41.16
2025-09-22,594.0,597.2,585.0,594.55,64225,50.55
2025-09-23,594.55,594.55,584.4,586.2,26707,53.07
2025-09-24,589.0,589.0,579.0,580.6,32062,63.98
2025-09-25,580.0,580.85,563.7,567.25,38007,52.37
2025-09-26,561.0,569.15,551.1,559.6,49817,52.17
2025-09-29,555.0,557.9,534.8,543.95,70404,53.7
2025-09-30,543.95,549.3,540.5,546.55,31545,54.66
2025-10-01,549.4,556.0,541.5,552.7,23199,51.58
2025-10-03,552.7,563.7,552.7,561.6,35235,47.27
2025-10-06,565.6,565.7,556.65,561.5,20320,52.09
2025-10-07,562.0,563.0,552.05,555.65,26626,53.27
2025-10-08,555.45,563.55,549.0,552.95,50301,37.67
2025-10-09,553.0,562.5,550.8,560.45,20329,59.93
2025-10-10,560.45,570.5,558.0,566.55,28901,51.14
2025-10-13,566.55,566.55,556.0,560.6,19741,45.69
2025-10-14,560.0,563.05,539.85,546.65,61186,66.75
2025-10-15,549.5,556.0,543.7,553.4,22359,61.8
2025-10-16,553.4,563.3,553.4,559.5,25351,57.22
2025-10-17,560.0,561.0,543.9,545.65,31374,63.8
2025-10-20,549.7,553.0,542.0,551.15,25923,52.37
2025-10-21,540.25,555.1,540.25,552.6,11547,55.46
2025-10-22,540.25,555.1,540.25,552.6,11547,55.46
2025-10-23,552.6,559.0,550.2,557.15,18130,53.02
2025-10-24,560.0,562.0,553.25,560.15,12980,63.71
2025-10-27,560.15,560.3,552.8,556.65,34019,50.88
2025-10-28,556.65,559.6,552.15,558.55,18454,49.89
2025-10-29,558.0,577.0,555.7,573.6,62674,60.29
2025-10-30,577.8,577.9,564.0,574.6,43205,52.63
2025-10-31,574.6,574.6,566.95,572.05,18297,59.74
2025-11-03,572.05,572.05,561.0,562.45,45244,69.6
2025-11-04,562.0,568.0,559.65,563.85,20900,66.13
2025-11-05,562.0,568.0,559.65,563.85,20900,66.13
2025-11-06,566.8,579.9,550.35,558.05,51100,51.36
2025-11-07,562.0,562.3,548.1,558.0,27837,50.46
2025-11-10,558.55,566.65,552.25,557.15,39040,37.8
2025-11-11,558.0,560.1,542.9,549.95,41980,65.89
2025-11-12,552.8,554.0,549.6,552.55,10797,59.2
2025-11-13,555.0,555.5,541.0,548.85,35179,63.4
2025-11-14,543.0,565.3,543.0,553.5,22791,43.55
2025-11-17,553.5,557.6,550.6,555.65,33690,76.82
2025-11-18,554.6,555.95,549.0,554.9,16600,71.9
2025-11-19,554.9,558.0,547.55,555.1,17913,56.76
2025-11-20,555.0,557.35,549.1,555.05,22122,53.86
2025-11-21,555.05,555.05,545.0,545.75,13209,57.3
2025-11-24,544.0,548.6,514.1,525.95,43146,50.75
2025-11-25,531.55,542.0,525.0,530.95,46847,33.61
2025-11-26,531.0,539.0,530.25,533.75,15881,52.28
2025-11-27,536.5,537.9,528.0,530.35,15840,49.08
2025-11-28,533.1,534.0,526.5,530.5,14068,57.29
2025-12-01,533.3,533.3,522.45,525.15,15280,61.75
2025-12-02,525.15,525.15,516.1,520.75,20679,64.46
2025-12-03,520.75,532.0,519.35,523.5,49308,59.47
2025-12-04,525.0,527.3,516.2,521.5,13859,47.9
2025-12-05,517.7,522.25,516.0,516.8,15021,56.91
2025-12-08,516.3,516.3,501.4,506.05,18842,60.83
2025-12-09,506.9,512.4,495.0,511.05,27520,57.81
2025-12-10,506.8,514.55,505.1,507.0,15745,50.9
2025-12-11,507.0,507.95,500.1,507.05,12613,49.09
2025-12-12,507.05,510.7,504.0,507.2,13851,57.16
2025-12-15,506.0,515.0,503.75,514.15,12328,48.62
2025-12-16,517.8,517.8,500.4,504.45,18851,60.07
2025-12-17,505.1,509.0,500.15,505.65,15321,52.44
2025-12-18,508.2,508.2,497.0,500.75,11068,51.35
2025-12-19,500.75,510.1,498.0,503.85,13719,52.81
2025-12-22,506.0,509.6,501.0,505.0,16020,66.92
2025-12-23,507.6,509.9,500.65,508.3,27278,64.58
2025-12-24,509.95,513.75,505.0,507.65,12523,54.65
2025-12-25,509.95,513.75,505.0,507.65,12523,54.65
2025-12-26,509.95,510.45,499.7,501.9,24181,71.24
2025-12-29,505.5,506.8,486.3,493.2,56230,56.7
2025-12-30,493.2,497.0,488.0,494.7,24490,59.07
2025-12-31,495.1,508.0,493.8,504.25,20743,55.21
2026-01-01,506.75,507.0,494.7,500.95,20633,57.53
2026-01-02,496.1,507.9,495.5,504.65,38740,72.03
2026-01-05,500.0,507.05,500.0,502.95,11283,63.76
