DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,10.18,10.87,9.76,9.89,29040,74.01
2025-04-15,9.69,10.5,9.69,10.05,37148,53.06
2025-04-16,10.31,10.39,9.92,9.98,46212,68.71
2025-04-17,9.95,10.39,9.91,10.32,22944,69.25
2025-04-21,10.48,10.5,10.01,10.37,44488,62.14
2025-04-22,10.1,10.49,10.0,10.14,28083,86.59
2025-04-23,10.24,10.29,9.95,10.18,26070,69.28
2025-04-24,10.3,10.45,10.13,10.34,33440,84.47
2025-04-25,10.5,10.5,10.02,10.13,44572,79.61
2025-04-28,10.02,10.24,9.7,10.0,14586,85.71
2025-04-29,10.16,10.44,9.9,10.02,12282,76.8
2025-04-30,10.0,10.01,9.7,9.91,9711,79.88
2025-05-02,10.23,10.3,9.7,9.91,11879,70.33
2025-05-05,10.11,10.3,9.9,9.99,15576,52.17
2025-05-06,9.8,10.27,9.6,9.75,45114,71.02
2025-05-07,9.69,9.69,9.21,9.29,20810,77.63
2025-05-08,9.3,9.75,9.3,9.59,23620,63.41
2025-05-09,9.5,9.5,8.66,9.11,40046,69.3
2025-05-12,9.39,9.99,9.39,9.63,60614,68.67
2025-05-13,9.83,9.99,9.18,9.83,56542,49.49
2025-05-14,9.83,10.1,9.21,9.95,77142,58.98
2025-05-15,10.02,10.05,9.8,9.94,37363,84.26
2025-05-16,10.06,10.06,9.5,9.74,46322,77.98
2025-05-19,9.68,10.0,9.68,9.95,44277,65.19
2025-05-20,10.5,10.5,9.77,10.06,13245,58.51
2025-05-21,10.06,10.4,9.5,9.87,44688,59.01
2025-05-22,9.99,10.18,9.85,9.96,27499,77.35
2025-05-23,9.56,10.22,9.56,9.94,17523,64.82
2025-05-26,10.0,10.16,9.83,9.96,31661,77.25
2025-05-27,9.96,9.96,9.72,9.84,46523,86.45
2025-05-28,9.99,10.1,9.6,9.86,145759,93.43
2025-05-29,10.1,10.1,9.69,9.77,15532,73.86
2025-05-30,9.98,10.74,9.75,9.93,115595,60.44
2025-06-02,10.13,10.65,10.08,10.19,35688,53.64
2025-06-03,10.32,10.32,10.01,10.09,46884,80.36
2025-06-04,10.09,10.31,9.97,10.12,42060,81.82
2025-06-05,10.22,10.39,9.85,9.95,49127,73.59
2025-06-06,9.9,10.24,9.85,9.93,14181,77.74
2025-06-09,10.14,10.14,9.9,9.99,61951,91.2
2025-06-10,10.0,10.13,9.81,9.91,36087,84.97
2025-06-11,10.08,10.08,9.84,9.93,31199,80.15
2025-06-12,10.12,10.12,9.87,9.88,20128,76.83
2025-06-13,10.0,10.14,9.75,9.97,26728,74.91
2025-06-16,10.0,10.0,9.81,9.88,20458,69.04
2025-06-17,9.99,9.99,9.5,9.68,26498,72.68
2025-06-18,9.86,9.99,9.84,9.94,18688,70.83
2025-06-19,10.0,10.22,9.95,10.05,34102,84.58
2025-06-20,10.44,10.44,10.0,10.05,34394,64.1
2025-06-23,10.05,10.22,9.81,9.95,18871,67.36
2025-06-24,10.23,10.23,10.0,10.06,33052,75.81
2025-06-25,10.4,10.4,9.36,10.29,123876,73.23
2025-06-26,10.3,10.44,10.03,10.18,62276,52.85
2025-06-27,10.32,11.19,10.32,11.19,305103,92.09
2025-06-30,11.75,12.0,11.16,11.3,490960,49.76
2025-07-01,11.3,11.3,10.5,10.61,113977,65.08
2025-07-02,10.9,10.9,9.95,10.11,131909,68.1
2025-07-03,10.11,11.12,10.11,11.12,790801,45.64
2025-07-04,11.56,11.85,11.08,11.19,531354,50.15
2025-07-07,11.18,11.18,10.51,10.72,127917,57.19
2025-07-08,10.71,10.72,10.32,10.37,55257,82.81
2025-07-09,10.34,11.14,10.32,10.89,178378,55.36
2025-07-10,11.24,11.24,10.51,10.66,78453,58.68
2025-07-11,10.75,11.56,10.62,10.86,116272,69.14
2025-07-14,10.86,11.28,10.45,10.51,200990,69.75
2025-07-15,10.7,10.83,10.45,10.63,54358,62.34
2025-07-16,10.6,11.0,10.2,10.27,258657,61.37
2025-07-17,10.58,10.89,10.42,10.59,159501,68.8
2025-07-18,10.77,10.94,10.3,10.45,147807,58.45
2025-07-21,10.56,10.56,10.38,10.52,46821,71.99
2025-07-22,10.72,10.72,10.2,10.24,32015,64.31
2025-07-23,10.02,10.59,10.02,10.17,32057,72.11
2025-07-24,10.0,11.18,10.0,10.97,419310,83.74
2025-07-25,11.09,11.09,10.12,10.37,88921,55.51
2025-07-28,10.56,10.86,10.25,10.41,75320,32.81
2025-07-29,10.41,10.69,10.11,10.2,73254,82.36
2025-07-30,10.11,10.55,9.8,9.87,166173,47.51
2025-07-31,10.66,10.85,10.01,10.29,1037205,20.51
2025-08-01,10.78,11.15,10.6,10.73,628306,51.87
2025-08-04,10.8,11.39,10.13,10.25,551834,51.21
2025-08-05,10.16,10.79,10.16,10.51,260826,45.27
2025-08-06,10.66,10.66,9.45,9.46,3258425,76.01
2025-08-07,9.74,9.74,8.64,9.04,1957533,84.02
2025-08-08,9.0,9.93,8.99,9.81,488032,84.74
2025-08-11,10.16,10.59,10.08,10.41,348077,57.78
2025-08-12,10.4,11.39,10.0,10.68,200231,51.72
2025-08-13,10.69,10.98,9.61,10.01,646239,43.71
2025-08-14,10.1,10.44,9.9,9.92,47728,51.03
2025-08-18,9.99,10.36,9.86,10.11,61889,68.5
