DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,378.0,378.0,366.25,368.4,106311,38.42
2025-04-15,383.65,392.55,374.9,388.7,126780,53.23
2025-04-16,388.7,392.85,385.0,386.9,150616,48.23
2025-04-17,386.9,394.9,384.0,387.45,144809,34.17
2025-04-21,388.25,404.0,385.6,393.45,255064,57.62
2025-04-22,397.8,401.0,393.6,399.45,197597,57.53
2025-04-23,402.0,406.5,386.35,398.75,133562,44.73
2025-04-24,398.0,412.9,395.8,403.55,230123,32.94
2025-04-25,404.75,404.75,380.0,381.65,165302,38.76
2025-04-28,380.0,403.3,377.8,394.0,78990,47.14
2025-04-29,397.5,401.95,377.05,379.4,145509,41.55
2025-04-30,380.0,382.45,366.05,368.9,70436,47.48
2025-05-02,370.0,378.0,367.05,374.25,54040,39.1
2025-05-05,374.25,385.45,374.25,381.15,48380,41.29
2025-05-06,381.2,383.0,365.1,368.4,59865,64.17
2025-05-07,361.25,371.45,361.0,368.25,80638,45.69
2025-05-08,372.0,394.7,372.0,383.65,245220,39.71
2025-05-09,368.0,394.75,368.0,389.8,131578,50.58
2025-05-12,391.95,415.45,374.1,377.5,717940,54.98
2025-05-13,379.0,380.05,370.1,371.9,269597,46.3
2025-05-14,374.25,380.0,374.1,378.3,160351,51.81
2025-05-15,380.65,382.7,373.9,380.1,144191,59.82
2025-05-16,383.05,394.45,380.75,388.35,176355,46.41
2025-05-19,388.3,399.9,385.9,395.25,231946,57.51
2025-05-20,395.9,399.0,379.1,381.85,158334,49.6
2025-05-21,381.25,381.25,372.4,374.3,132029,52.35
2025-05-22,374.6,390.0,371.6,381.8,238735,36.35
2025-05-23,384.7,400.0,376.7,397.75,473874,45.03
2025-05-26,402.0,408.5,394.0,396.8,307991,49.22
2025-05-27,398.75,399.75,386.65,387.95,165204,53.32
2025-05-28,388.2,391.0,381.1,383.25,118987,54.73
2025-05-29,383.25,394.8,379.95,386.9,195783,38.48
2025-05-30,387.95,393.8,383.2,389.15,125451,47.09
2025-06-02,384.25,399.0,381.5,387.8,262994,35.86
2025-06-03,390.85,398.4,385.55,386.3,200695,53.49
2025-06-04,389.0,389.0,379.9,383.85,125839,53.73
2025-06-05,386.0,440.0,386.0,434.35,1892728,24.56
2025-06-06,434.0,435.6,419.9,424.3,383863,47.35
2025-06-09,427.2,436.0,422.9,432.0,242912,45.83
2025-06-10,433.9,433.9,423.7,426.1,154488,45.71
2025-06-11,426.15,438.9,420.25,426.2,370882,33.13
2025-06-12,429.15,443.8,406.1,409.45,499711,32.48
2025-06-13,399.35,410.0,395.95,399.45,250923,50.36
2025-06-16,399.45,404.0,390.0,399.45,178910,42.22
2025-06-17,402.4,404.75,392.05,394.4,154838,50.91
2025-06-18,395.5,407.2,392.9,399.65,284765,17.92
2025-06-19,395.8,399.0,382.5,385.05,132763,44.19
