DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,378.55,379.0,372.0,373.65,32115,44.08
2025-04-15,377.45,390.0,375.4,385.95,79180,54.03
2025-04-16,386.0,398.7,382.9,395.1,67936,50.16
2025-04-17,395.0,399.9,388.3,395.3,40885,43.93
2025-04-21,396.0,405.0,388.05,401.4,150699,63.67
2025-04-22,406.0,406.95,395.2,397.8,48044,49.12
2025-04-23,398.05,402.7,391.6,393.7,24796,39.81
2025-04-24,393.7,398.95,390.95,394.75,36530,57.14
2025-04-25,392.65,395.85,383.2,386.25,28202,48.63
2025-04-28,389.45,393.2,384.05,385.7,43692,44.53
2025-04-29,388.6,391.1,380.6,381.3,44463,55.72
2025-04-30,381.3,384.2,374.65,375.7,44498,43.6
2025-05-02,380.0,382.3,370.25,374.55,33447,36.16
2025-05-05,376.4,417.0,371.1,396.6,191970,19.48
2025-05-06,396.0,396.65,373.7,376.35,67954,48.92
2025-05-07,374.5,378.75,368.35,371.0,93565,50.1
2025-05-08,373.0,385.95,355.0,373.75,480140,18.31
2025-05-09,354.0,366.2,354.0,356.7,110082,42.31
2025-05-12,365.6,374.8,364.05,370.45,76794,35.62
2025-05-13,374.8,375.0,366.05,371.75,53966,44.78
2025-05-14,375.8,376.5,371.6,374.85,43813,53.09
2025-05-15,379.0,382.0,374.0,378.85,83172,48.25
2025-05-16,381.0,387.95,380.0,384.05,91406,46.88
2025-05-19,387.9,390.95,383.1,386.25,84900,48.4
2025-05-20,388.95,389.8,378.0,380.0,53793,36.24
2025-05-21,383.95,385.25,380.05,381.6,23426,41.04
2025-05-22,383.1,383.95,377.45,379.25,127908,87.11
2025-05-23,380.55,404.95,377.65,389.3,639600,74.14
2025-05-26,391.55,404.0,388.45,390.0,460848,75.29
2025-05-27,391.0,391.9,386.4,388.35,39167,36.2
2025-05-28,389.9,397.35,377.5,381.7,936030,54.45
2025-05-29,383.3,385.3,377.9,379.3,563643,91.26
2025-05-30,385.95,403.8,380.1,394.45,346249,31.43
2025-06-02,393.0,397.3,388.8,390.1,97048,51.84
2025-06-03,394.95,394.95,380.6,383.55,561272,82.97
2025-06-04,387.95,394.6,378.55,389.5,209018,57.99
2025-06-05,391.35,432.75,386.95,418.2,1183314,37.46
2025-06-06,437.0,451.85,433.1,437.45,931283,19.78
2025-06-09,437.9,439.05,426.55,429.15,116783,45.06
2025-06-10,426.55,446.55,426.3,431.1,309228,19.13
2025-06-11,439.0,439.0,393.8,397.95,1634765,66.55
2025-06-12,401.15,405.0,388.0,390.25,645724,32.53
2025-06-13,382.1,391.95,381.25,389.25,338134,46.5
2025-06-16,389.25,393.95,381.2,388.0,177102,44.4
2025-06-17,389.0,395.35,384.3,386.5,131480,37.98
2025-06-18,388.0,393.0,385.2,387.45,80675,36.62
2025-06-19,391.0,396.0,382.05,384.1,156725,38.44
2025-06-20,385.0,391.75,382.8,384.85,72382,33.67
2025-06-23,385.35,389.85,384.05,386.4,65576,40.26
2025-06-24,392.0,392.95,384.2,386.55,64981,42.81
2025-06-25,390.95,395.85,388.05,394.55,94912,56.78
2025-06-26,396.1,408.7,394.55,404.8,379878,69.28
2025-06-27,407.7,417.0,403.0,412.95,242536,57.63
2025-06-30,410.0,427.0,409.5,424.3,251241,45.86
2025-07-01,426.3,427.85,412.0,413.05,80276,38.57
2025-07-02,416.0,416.0,405.0,408.0,61709,44.22
2025-07-03,412.1,412.1,404.3,407.15,60137,65.02
2025-07-04,407.05,412.95,405.0,407.15,56362,35.61
2025-07-07,407.9,409.95,404.1,405.5,49631,55.94
