DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-08-17,60.79,63.0,55.05,62.99,878,71.98
2026-08-18,59.0,62.99,58.0,60.94,2387,69.25
2026-08-19,60.5,62.9,59.75,60.0,894,98.77
2026-08-20,61.79,62.0,60.05,61.92,1183,91.55
2026-08-21,62.0,63.99,61.15,61.71,3660,71.09
2026-08-24,63.35,63.35,61.5,62.0,226,95.13
2026-08-25,62.7,62.7,60.66,60.74,250,90.0
2026-08-26,48.6,63.49,48.6,58.31,1311,68.8
2026-08-27,62.89,62.89,59.1,59.5,662,100.0
2026-08-28,61.99,61.99,56.45,61.79,479,93.95
2026-08-31,63.8,65.0,60.0,60.46,1196,56.27
2026-09-01,58.91,61.5,58.91,59.99,1424,96.14
2026-09-02,59.99,60.0,58.05,59.99,515,98.06
2026-09-03,60.0,60.0,59.25,59.66,1673,100.0
