DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-07-03,165.47,167.88,165.47,167.43,8632,89.93
2026-07-06,168.26,169.35,166.34,167.69,42310,87.19
2026-07-07,167.63,168.59,166.2,166.42,2439,61.75
2026-07-08,167.97,168.24,163.42,163.97,14877,74.48
2026-07-09,163.0,167.53,163.0,166.64,12124,91.97
2026-07-10,165.1,166.55,164.68,165.89,5047,69.67
2026-07-13,165.89,166.91,164.7,166.43,3286,38.47
2026-07-14,166.89,167.64,166.89,167.11,2690,86.36
2026-07-15,167.16,169.0,166.61,168.03,3017,69.34
2026-07-16,168.14,168.85,167.27,168.11,2108,50.71
2026-07-17,168.62,168.62,165.03,165.47,4260,81.5
2026-07-20,167.12,168.45,166.2,167.48,5158,56.69
2026-07-21,167.3,168.44,167.12,168.3,5777,51.95
2026-07-22,166.49,169.0,165.53,166.1,10501,57.32
2026-07-23,169.0,169.0,164.9,165.62,11824,50.32
2026-07-24,166.98,166.98,164.49,165.1,13795,58.33
2026-07-27,166.12,167.72,166.12,167.19,2047,84.51
2026-07-28,168.0,168.5,165.58,167.67,7431,50.4
2026-07-29,168.6,169.98,168.5,169.58,9868,57.15
2026-07-30,169.58,171.11,169.56,169.83,6063,59.39
2026-07-31,170.84,171.6,170.25,170.6,4312,74.05
2026-08-03,170.6,172.3,168.63,170.26,8530,53.09
2026-08-04,169.0,173.72,169.0,170.08,4574,49.45
2026-08-05,173.16,173.16,168.93,169.55,43189,64.07
2026-08-07,171.59,171.59,169.0,169.44,2812,76.32
2026-08-10,170.93,171.35,169.01,169.57,8608,76.93
