DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-08-28,91.99,96.8,88.01,94.1,1874584,44.49
2025-08-29,95.4,96.65,94.2,95.09,1005359,50.44
2025-09-01,96.5,97.5,93.01,95.82,1420485,41.69
2025-09-02,97.0,98.68,93.7,94.37,1307732,41.84
2025-09-03,95.11,96.0,93.06,93.99,779405,37.27
2025-09-04,96.05,97.0,92.21,93.0,640089,46.42
2025-09-05,93.8,93.81,90.52,90.77,596078,56.09
2025-09-08,90.77,91.47,85.0,85.71,2341089,48.72
2025-09-09,86.0,91.7,84.26,87.97,1903585,25.14
2025-09-10,88.7,89.0,87.16,88.14,653630,37.39
2025-09-11,91.25,91.25,87.0,87.78,1344933,32.85
2025-09-12,88.44,88.84,86.6,86.99,473424,41.71
2025-09-15,86.0,88.08,86.0,87.13,405780,36.13
2025-09-16,88.0,88.24,86.36,86.69,432963,47.31
2025-09-17,86.69,87.74,85.0,85.32,835686,63.25
2025-09-18,85.49,91.3,85.0,90.45,1864712,44.99
2025-09-19,90.37,90.37,87.0,87.52,711715,56.04
2025-09-22,87.75,87.75,86.05,86.52,351540,59.53
2025-09-23,86.85,87.2,85.6,85.81,316402,54.62
2025-09-24,86.0,86.58,84.25,84.83,332399,55.65
2025-09-25,85.4,85.86,82.5,83.44,339380,45.79
2025-09-26,83.4,83.44,80.0,80.66,514812,44.08
2025-09-29,82.7,82.7,79.57,80.88,345093,37.58
2025-09-30,80.7,82.37,79.1,79.6,332757,41.29
2025-10-01,80.39,80.95,78.46,80.15,463744,38.83
2025-10-03,80.78,81.46,79.4,80.06,276064,42.18
2025-10-06,81.25,86.35,81.25,83.39,1099576,24.44
2025-10-07,84.3,84.3,81.24,82.01,242426,47.91
2025-10-08,82.01,82.79,79.82,80.25,279447,55.55
2025-10-09,80.59,80.84,79.6,80.09,230838,44.4
2025-10-10,80.11,81.43,79.9,80.08,209065,44.72
2025-10-13,80.0,80.88,79.33,80.29,199588,53.61
2025-10-14,82.94,83.49,75.86,78.61,675457,33.51
2025-10-15,78.61,80.74,78.61,79.57,273917,35.68
2025-10-16,79.6,80.7,78.1,79.33,188797,54.89
2025-10-17,78.9,79.41,75.5,77.06,350441,57.28
2025-10-20,77.06,78.8,76.5,77.89,229888,38.76
2025-10-21,79.6,80.0,78.6,78.96,77256,68.2
2025-10-22,79.6,80.0,78.6,78.96,77256,68.2
2025-10-23,78.96,80.0,78.3,79.1,225458,43.96
2025-10-24,80.0,80.0,78.0,78.11,239402,52.93
2025-10-27,78.3,78.82,77.01,77.21,209000,56.52
2025-10-28,77.43,77.79,76.56,77.11,159525,54.26
2025-10-29,77.48,78.6,77.2,78.24,209478,59.77
2025-10-30,78.98,82.88,78.41,78.66,800409,31.66
2025-10-31,78.66,78.66,77.61,77.84,151963,56.73
2025-11-03,79.0,79.0,77.11,77.54,149771,48.37
2025-11-04,77.96,78.59,77.0,77.23,120817,52.18
2025-11-05,77.96,78.59,77.0,77.23,120817,52.18
2025-11-06,76.0,77.43,73.6,73.95,482819,61.09
2025-11-07,75.0,75.35,73.0,73.4,497667,39.2
2025-11-10,73.49,73.84,71.5,71.61,270344,54.94
2025-11-11,71.95,72.11,69.7,69.9,502325,46.79
