DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,66.5,67.21,65.34,65.92,111945,57.48
2025-04-15,67.1,69.5,67.0,68.7,98762,48.99
2025-04-16,68.95,72.0,66.1,66.89,486146,52.88
2025-04-17,67.49,68.15,65.81,67.3,189722,46.46
2025-04-21,66.99,68.52,65.0,66.4,411550,54.49
2025-04-22,66.8,69.32,66.58,67.92,206092,52.72
2025-04-23,68.6,68.6,67.01,67.77,120282,55.6
2025-04-24,68.09,69.0,67.77,68.14,97057,61.31
2025-04-25,68.65,68.65,62.8,63.36,423168,50.86
2025-04-28,63.69,66.5,63.0,64.79,113226,59.14
2025-04-29,64.95,65.5,63.84,64.3,62450,63.54
2025-04-30,64.63,64.67,62.4,62.8,71561,57.69
2025-05-02,63.27,64.34,62.49,63.12,66296,47.78
2025-05-05,63.22,63.79,62.02,63.11,45285,50.27
2025-05-06,63.69,63.69,58.0,58.21,308001,60.65
2025-05-07,59.0,60.28,56.9,59.24,105715,44.48
2025-05-08,60.0,60.2,55.0,55.88,194789,70.58
2025-05-09,54.83,55.01,51.2,53.2,219904,55.59
2025-05-12,54.9,63.84,54.9,61.39,744797,34.03
2025-05-13,61.34,63.8,60.21,62.68,146855,51.96
2025-05-14,62.7,68.0,62.67,67.31,336797,53.16
2025-05-15,67.48,72.38,67.47,71.73,613757,46.52
2025-05-16,71.73,75.9,71.73,73.84,370530,58.34
2025-05-19,73.4,78.0,71.89,76.61,369647,73.36
2025-05-20,77.99,84.2,75.0,81.07,847919,59.19
2025-05-21,80.4,83.13,78.9,79.3,229273,53.38
2025-05-22,79.45,84.02,77.63,80.4,300259,50.17
2025-05-23,80.6,81.88,79.6,80.24,79621,48.6
2025-05-26,80.64,81.5,78.75,79.43,68280,49.17
2025-05-27,79.01,79.54,77.83,78.32,41128,60.93
2025-05-28,78.5,78.75,75.1,75.51,75831,68.05
2025-09-09,52.22,54.29,52.22,52.7,45864,84.18
2025-09-10,52.7,53.95,52.05,52.89,33386,65.42
2025-09-11,52.89,55.51,52.36,54.48,101781,59.03
2025-09-12,53.85,56.65,53.85,54.3,56327,55.51
2025-09-15,55.0,55.0,53.91,54.81,34749,57.21
2025-09-16,55.0,55.5,53.22,54.16,81834,65.46
2025-09-17,55.23,55.86,54.11,54.5,87866,63.91
2025-09-18,55.4,55.4,53.86,54.34,42683,66.08
2025-09-19,54.05,55.65,53.5,53.88,53039,50.25
2025-09-22,54.2,54.39,51.5,51.67,379162,69.64
2025-09-23,52.98,53.27,51.75,52.24,97448,60.23
2025-09-24,52.5,53.25,51.5,51.75,69888,63.82
2025-09-25,52.29,52.39,50.32,50.6,72332,63.86
2025-09-26,50.6,52.29,48.66,49.03,153249,61.3
2025-09-29,50.64,50.64,46.57,47.04,124302,60.91
2025-09-30,47.5,47.84,44.68,44.78,161309,72.03
2025-10-01,44.8,45.43,44.0,45.01,116829,61.99
2025-10-03,45.0,46.75,44.91,45.97,195923,80.34
2025-10-06,45.99,46.5,45.44,45.72,36404,56.66
2025-10-07,45.44,45.95,44.47,44.67,77488,70.25
2025-10-08,44.67,45.06,43.6,43.71,111152,68.43
2025-10-09,43.74,44.51,42.65,43.29,86859,67.45
2025-10-10,43.0,43.25,42.05,42.33,100422,55.09
2025-10-13,42.12,42.44,41.0,41.53,79912,70.63
2025-10-14,42.0,45.68,41.0,44.98,518811,49.78
2025-10-15,45.0,49.47,44.1,47.23,735228,30.43
2025-10-16,48.0,48.0,45.1,45.68,131128,63.41
2025-10-17,45.94,46.49,45.0,45.43,61182,58.08
2025-10-20,47.0,47.24,45.74,45.97,35127,71.89
2025-10-21,47.95,47.95,45.23,47.01,18964,67.7
2025-10-22,47.95,47.95,45.23,47.01,18964,67.7
2025-10-23,48.27,48.98,43.82,44.79,165427,61.14
2025-10-24,45.4,45.78,44.5,45.53,53232,71.67
2025-10-27,45.65,45.65,44.75,44.82,21902,75.66
2025-10-28,44.76,45.6,44.71,45.05,43264,81.23
2025-10-29,45.23,45.78,45.19,45.49,13740,68.86
2025-10-30,45.45,45.47,44.0,44.64,54309,82.75
2025-10-31,44.82,45.27,44.5,44.87,42088,81.88
2025-11-03,44.8,46.3,44.72,45.11,62803,65.02
2025-11-04,45.02,46.5,44.11,44.55,60663,62.14
2025-11-05,45.02,46.5,44.11,44.55,60663,62.14
2025-11-06,45.25,45.25,42.3,42.91,69749,70.29
2025-11-07,43.48,44.19,42.9,43.82,36991,72.05
2025-11-10,43.35,43.81,42.5,42.78,42184,56.85
2025-11-11,43.35,43.35,41.36,41.8,104536,66.3
2025-11-12,42.03,43.0,41.75,41.92,40391,67.05
2025-11-13,42.01,42.73,40.6,41.46,37504,58.4
2025-11-14,45.6,45.6,45.6,45.6,48414,100.0
2025-11-17,50.16,50.16,46.2,46.86,1097516,36.81
2025-11-18,47.54,47.54,44.97,45.22,66987,58.21
2025-11-19,45.12,45.36,44.11,44.4,42338,65.0
2025-11-20,44.4,45.84,42.87,43.72,86718,49.35
