DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-08-17,335.55,335.55,335.55,335.55,6463,100.0
2026-08-18,372.9,402.65,361.0,385.45,246790,24.26
2026-08-19,389.4,394.0,366.55,369.95,30491,57.44
2026-08-20,372.65,373.95,342.0,351.0,20039,55.6
2026-08-21,350.15,360.7,350.15,354.45,5244,60.76
2026-08-24,354.5,360.95,353.7,356.05,4674,71.76
2026-08-25,360.3,360.3,349.55,352.6,4266,64.06
2026-08-26,354.25,365.45,350.05,353.9,3516,56.06
2026-08-27,359.0,359.0,349.05,350.4,2720,66.1
2026-08-28,352.7,355.4,344.0,349.05,1895,71.5
2026-08-31,348.45,353.8,347.0,347.8,1233,68.78
2026-09-01,348.05,357.45,345.0,346.1,2683,71.56
2026-09-02,348.9,365.0,347.9,359.5,2619,81.21
2026-09-03,365.0,374.0,359.5,370.85,2354,79.86
2026-09-04,383.75,383.75,363.25,370.9,517,95.74
2026-09-07,377.9,377.9,353.05,361.25,1441,65.37
2026-09-08,357.75,372.65,357.75,363.7,744,77.15
2026-09-09,363.7,374.45,357.0,367.2,1390,81.58
2026-09-10,365.0,372.75,362.0,365.3,1601,85.07
2026-09-11,365.3,370.9,345.25,369.1,3185,97.14
2026-09-14,365.3,370.9,345.25,369.1,3185,97.14
2026-09-15,369.1,376.0,354.1,371.95,5611,93.48
2026-09-16,384.0,384.0,364.0,378.45,3121,86.96
2026-09-17,384.95,384.95,370.45,376.8,1555,89.9
2026-09-18,376.0,379.7,372.0,374.9,2455,91.77
