DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,2394.6,2394.85,2344.35,2366.15,3836083,76.76
2025-04-15,2400.0,2400.0,2345.2,2361.5,3042779,74.59
2025-04-16,2351.0,2376.0,2351.0,2366.6,1131979,64.05
2025-04-17,2357.1,2379.9,2343.1,2375.0,1962402,60.15
2025-04-21,2368.1,2372.4,2348.8,2351.0,1478430,69.3
2025-04-22,2370.0,2406.0,2355.1,2398.7,2352346,61.54
2025-04-23,2410.0,2438.0,2393.4,2423.8,2226066,64.62
2025-04-24,2423.8,2487.4,2317.1,2325.3,7065430,46.62
2025-04-25,2331.9,2341.9,2294.4,2332.2,2859858,59.06
2025-04-28,2345.0,2349.0,2315.0,2318.6,1555660,67.67
2025-04-29,2328.0,2332.5,2312.6,2321.7,1896387,66.0
2025-04-30,2320.0,2352.5,2316.0,2342.1,2083807,65.12
2025-05-02,2334.1,2345.0,2310.0,2323.9,1953078,69.43
2025-05-05,2324.1,2354.9,2319.1,2348.6,2074103,73.55
2025-05-06,2340.2,2390.1,2340.2,2381.8,1888125,65.98
2025-05-07,2369.0,2386.9,2355.3,2370.8,1610400,71.27
2025-05-08,2361.7,2371.9,2341.0,2354.9,2323073,63.22
2025-05-09,2330.0,2342.7,2302.3,2332.9,1805685,71.87
2025-05-12,2360.0,2387.0,2346.1,2382.5,1274873,68.21
2025-05-13,2375.6,2398.0,2352.8,2360.0,1929665,55.07
2025-05-14,2370.0,2370.0,2338.5,2350.5,1568111,66.37
2025-05-15,2351.6,2369.9,2340.0,2355.2,3236681,65.18
2025-05-16,2360.0,2387.0,2349.0,2381.4,1473000,65.29
2025-05-19,2375.0,2405.0,2375.0,2382.7,936655,62.9
2025-05-20,2394.6,2394.6,2338.5,2341.1,1617408,63.88
2025-05-21,2346.0,2375.7,2345.0,2363.9,1570754,69.5
2025-05-22,2355.0,2363.1,2313.1,2330.7,2423653,61.49
2025-05-23,2336.9,2364.5,2329.6,2359.2,844118,60.45
2025-05-26,2368.0,2397.3,2364.1,2394.1,892618,61.7
2025-05-27,2394.1,2409.5,2360.3,2380.2,1865258,47.47
2025-05-28,2388.0,2388.0,2352.0,2362.0,897517,61.7
2025-05-29,2369.0,2376.0,2355.5,2366.7,1111275,59.53
2025-05-30,2360.0,2374.9,2343.5,2348.3,3288892,69.15
2025-06-02,2347.9,2384.0,2343.6,2371.6,1178205,67.76
2025-06-03,2365.1,2379.5,2342.6,2352.3,1643913,62.12
2025-06-04,2359.5,2367.6,2342.1,2364.5,3287896,84.85
2025-06-05,2364.5,2380.0,2348.9,2376.4,1787978,68.78
2025-06-06,2373.3,2396.5,2370.1,2389.8,997488,61.03
2025-06-09,2394.0,2399.0,2378.3,2393.2,1293622,68.24
2025-06-10,2393.4,2400.2,2378.4,2395.2,1778782,69.8
2025-06-11,2395.2,2402.9,2371.3,2376.4,1977707,80.39
2025-06-12,2386.9,2388.0,2324.1,2332.7,3339584,61.67
2025-06-13,2305.0,2324.9,2302.0,2319.0,1740682,71.51
2025-06-16,2320.0,2336.6,2313.1,2327.4,1105297,74.16
2025-06-17,2320.0,2333.1,2313.1,2328.6,1119284,63.49
2025-06-18,2327.7,2331.4,2285.5,2297.3,2056563,69.07
2025-06-19,2300.1,2307.8,2290.3,2294.2,1214549,49.51
2025-06-20,2295.0,2313.0,2292.4,2306.2,2685864,80.62
2025-06-23,2283.4,2286.0,2258.7,2275.1,842856,52.3
2025-06-24,2295.0,2301.0,2260.3,2263.1,2440747,67.09
2025-06-25,2279.0,2290.5,2271.4,2278.7,1047270,68.28
2025-06-26,2288.9,2291.0,2271.6,2280.8,1874722,60.1
2025-06-27,2280.8,2310.5,2279.3,2306.9,1050745,70.42
2025-06-30,2309.9,2317.0,2288.0,2294.6,1403754,69.15
2025-07-01,2300.0,2302.6,2286.6,2295.5,759914,64.81
2025-07-02,2295.0,2309.0,2287.6,2307.1,1128034,71.5
2025-07-03,2310.0,2326.9,2304.0,2313.4,1060039,59.78
2025-07-04,2318.0,2341.4,2310.3,2339.3,1242346,68.26
2025-07-07,2341.0,2415.7,2341.0,2410.4,2701583,51.1
2025-07-08,2405.4,2418.5,2386.0,2392.7,1471046,68.67
2025-07-09,2399.0,2439.7,2397.1,2423.4,1741690,59.24
2025-07-10,2423.4,2434.0,2397.6,2408.4,1053695,66.29
2025-07-11,2500.0,2530.0,2461.0,2519.6,7242235,57.74
2025-07-14,2500.0,2532.5,2490.0,2516.6,2427712,74.17
2025-07-15,2520.7,2529.9,2510.0,2526.9,1700294,71.57
2025-07-16,2526.3,2532.9,2507.5,2517.6,1284379,73.6
2025-07-17,2513.0,2525.4,2506.2,2509.8,807474,62.39
2025-07-18,2514.9,2514.9,2481.5,2489.6,771112,69.23
2025-07-21,2490.9,2493.6,2455.4,2464.9,1169960,68.72
2025-07-22,2470.0,2485.0,2452.6,2479.7,861632,70.8
2025-07-23,2481.0,2487.0,2442.0,2450.4,1320795,75.43
2025-07-24,2455.9,2466.0,2421.0,2437.8,693984,54.53
2025-07-25,2426.1,2428.6,2405.4,2415.4,769388,66.01
2025-07-28,2415.4,2448.3,2412.3,2441.6,987995,69.75
2025-07-29,2444.8,2457.5,2429.7,2453.6,732282,56.26
2025-07-30,2442.0,2452.9,2398.5,2437.4,1224146,49.17
2025-07-31,2420.1,2549.0,2420.1,2521.2,5505507,33.56
2025-08-01,2550.0,2727.5,2536.9,2553.7,4259653,34.96
2025-08-04,2547.0,2583.2,2535.1,2543.7,1293028,59.81
2025-08-05,2537.5,2553.0,2517.3,2534.7,756361,48.66
2025-08-06,2538.7,2563.1,2526.6,2535.6,885487,49.65
2025-08-07,2535.7,2544.0,2495.0,2517.5,847151,58.78
2025-08-08,2516.0,2529.9,2486.6,2498.6,839794,62.91
2025-08-11,2490.1,2524.5,2478.5,2518.4,992436,62.98
2025-08-12,2518.0,2536.6,2480.1,2483.8,1406211,64.08
2025-08-13,2485.0,2501.5,2473.4,2495.1,969803,66.72
2025-08-14,2498.9,2509.0,2473.2,2480.6,1104362,70.78
2025-08-18,2539.0,2597.0,2521.3,2568.1,3089136,62.11
2025-08-19,2572.2,2615.0,2558.4,2604.8,1400717,72.28
2025-08-20,2599.0,2680.0,2588.5,2669.8,3156954,65.91
2025-08-21,2667.1,2667.1,2627.3,2648.0,2235686,64.18
2025-08-22,2647.0,2658.5,2619.0,2629.9,1223445,64.99
2025-08-25,2643.0,2643.0,2615.2,2631.6,667598,68.59
2025-08-26,2624.6,2705.0,2624.6,2692.6,4348648,67.86
2025-08-28,2748.0,2748.0,2646.8,2654.4,3198743,55.0
2025-08-29,2664.8,2723.0,2641.4,2659.8,1972773,53.57
2025-09-01,2659.8,2673.3,2639.3,2649.5,1096729,52.88
2025-09-02,2649.0,2692.4,2645.1,2677.0,1525106,60.35
2025-09-03,2681.0,2686.9,2658.3,2664.7,1010692,70.13
2025-09-04,2750.0,2750.0,2655.5,2666.6,2494678,39.91
2025-09-05,2667.6,2672.9,2623.8,2633.4,944879,57.06
2025-09-08,2630.0,2644.6,2618.8,2623.9,903410,57.26
2025-09-09,2637.0,2646.2,2611.3,2642.0,1610956,55.33
2025-09-10,2642.0,2652.9,2619.0,2643.5,1031486,65.65
2025-09-11,2643.8,2657.7,2614.0,2622.0,1212707,43.5
2025-09-12,2625.0,2628.9,2569.0,2580.5,1368380,58.49
2025-09-15,2580.5,2593.4,2568.4,2581.0,752745,62.52
2025-09-16,2588.2,2590.0,2572.6,2580.9,1040928,49.47
2025-09-17,2587.0,2591.1,2566.5,2569.7,970247,69.74
2025-09-18,2570.9,2609.9,2570.9,2586.8,1550153,53.01
2025-09-19,2600.0,2604.7,2554.8,2559.6,2214708,74.14
2025-09-22,2569.0,2587.2,2560.2,2572.2,1174161,63.54
2025-09-23,2568.9,2575.3,2518.2,2522.2,1430474,67.92
2025-09-24,2522.2,2576.0,2510.0,2549.5,1882881,57.04
2025-09-25,2546.0,2567.5,2531.8,2538.3,1624258,56.46
2025-09-26,2535.0,2545.4,2499.4,2511.8,885612,60.17
2025-09-29,2495.0,2517.4,2443.0,2497.9,2403556,54.17
2025-09-30,2497.9,2526.3,2491.6,2514.4,1678088,61.22
2025-10-01,2515.4,2550.0,2497.9,2536.2,1483899,65.8
2025-10-03,2536.2,2548.6,2508.3,2544.9,1242611,74.88
2025-10-06,2535.2,2549.6,2520.2,2541.8,818923,62.14
2025-10-07,2540.0,2559.4,2508.3,2517.2,1291750,53.05
2025-10-08,2511.0,2525.0,2486.1,2500.1,1225128,65.4
2025-10-09,2501.0,2523.0,2498.3,2517.6,1259173,60.47
2025-10-10,2510.0,2534.9,2506.5,2528.9,1018875,67.87
2025-10-13,2519.2,2531.6,2485.4,2492.8,1114750,56.36
2025-10-14,2493.0,2509.2,2482.3,2502.3,1461017,55.67
2025-10-15,2502.6,2531.8,2502.6,2519.0,881070,62.75
2025-10-16,2517.8,2568.5,2507.1,2561.5,1446646,48.49
2025-10-17,2565.5,2615.0,2560.0,2603.7,2050690,60.55
2025-10-20,2609.0,2624.7,2585.6,2594.4,1011485,49.68
2025-10-21,2594.0,2606.7,2585.1,2591.7,82020,47.4
2025-10-22,2594.0,2606.7,2585.1,2591.7,82020,47.4
2025-10-23,2601.0,2667.2,2596.1,2601.6,3386744,33.33
2025-10-24,2584.0,2584.0,2474.5,2516.4,3110800,48.87
2025-10-27,2516.4,2525.0,2506.0,2511.8,2127832,76.55
2025-10-28,2519.0,2526.0,2481.9,2497.1,2294976,50.28
2025-10-29,2512.6,2513.6,2484.0,2488.1,1870143,79.0
2025-10-30,2491.0,2497.0,2454.9,2469.6,1195631,55.38
2025-10-31,2469.0,2479.5,2452.9,2465.5,1401937,74.18
2025-11-03,2456.1,2474.9,2440.3,2460.0,1049185,53.92
2025-11-04,2460.0,2463.3,2441.3,2445.7,1251588,53.36
2025-11-05,2460.0,2463.3,2441.3,2445.7,1251588,53.36
