DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,200.0,201.6,196.23,197.51,72164,38.14
2025-04-15,198.5,203.0,195.55,197.41,241093,72.44
2025-04-16,198.57,201.9,197.0,200.86,124732,68.35
2025-04-17,201.7,205.0,197.29,203.74,94560,55.95
2025-04-21,203.74,204.84,199.24,200.0,153742,67.48
2025-04-22,201.5,206.26,199.9,202.91,144415,54.74
2025-04-23,204.78,204.78,198.45,199.97,127823,61.05
2025-04-24,200.0,204.97,199.11,199.86,165889,50.71
2025-04-25,201.36,201.36,192.05,194.72,149154,50.64
2025-04-28,195.69,201.37,191.12,199.64,139973,56.9
2025-04-29,200.14,204.7,199.64,200.89,80309,40.9
2025-04-30,200.89,202.0,195.51,199.39,105159,63.3
2025-05-02,199.64,204.0,196.83,198.4,61527,51.32
2025-05-05,197.0,198.52,195.0,196.32,54475,49.14
2025-05-06,197.3,198.29,192.31,194.99,73720,50.55
2025-05-07,193.0,195.0,190.39,193.64,42565,45.07
2025-05-08,195.1,199.39,184.5,185.52,190863,66.24
2025-05-09,183.69,187.0,180.88,184.97,102631,48.55
2025-05-12,187.51,196.99,187.51,194.76,109051,37.26
2025-05-13,197.0,200.8,193.07,197.69,160310,53.66
2025-05-14,199.21,208.95,199.21,202.14,234752,60.05
2025-05-15,203.76,208.0,201.8,203.91,148740,58.76
2025-05-16,203.05,207.06,200.42,205.34,199485,55.19
2025-05-19,206.99,228.84,204.0,223.68,917131,53.14
2025-05-20,225.25,229.15,216.97,225.5,256899,55.2
2025-05-21,224.09,239.4,223.0,223.68,681626,63.91
2025-05-22,223.21,230.4,222.41,228.19,179139,48.14
2025-05-23,225.9,232.0,219.8,226.12,244527,45.55
2025-05-26,222.0,246.9,218.88,241.24,713633,46.88
2025-05-27,238.85,255.38,234.92,252.98,388294,53.22
2025-05-28,254.24,259.0,248.0,253.98,288759,36.2
2025-05-29,253.0,256.9,250.93,255.18,166418,52.92
2025-05-30,252.0,273.39,251.02,270.6,404007,53.8
2025-06-02,265.85,274.0,265.05,272.4,204753,55.36
2025-06-03,270.25,277.7,270.0,273.8,143274,56.86
2025-06-04,270.0,283.25,265.0,281.1,153961,63.98
2025-06-05,281.95,283.45,275.0,278.85,97867,51.37
2025-06-06,277.95,277.95,272.0,274.0,51085,52.12
2025-06-09,274.0,285.8,271.0,284.3,338817,76.81
2025-06-10,285.0,292.0,285.0,287.9,142519,64.79
2025-06-11,287.9,296.9,286.2,292.8,214758,58.06
2025-06-12,290.0,291.9,280.1,282.7,179547,72.53
2025-06-13,280.1,287.45,274.0,286.1,179857,52.89
2025-06-16,282.0,295.45,282.0,292.35,212282,65.32
2025-06-17,292.0,302.0,290.0,291.85,196419,61.36
2025-06-18,293.0,298.45,285.6,288.15,149077,72.1
2025-06-19,288.15,296.5,282.0,283.35,138889,62.74
2025-06-20,278.0,290.9,278.0,288.6,152975,68.7
2025-06-23,288.0,295.0,283.25,289.8,74050,62.04
2025-06-24,295.0,295.0,286.35,292.45,43890,64.6
