DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,12.25,12.64,12.25,12.52,669068,45.62
2025-04-15,12.55,12.98,12.55,12.84,969722,57.6
2025-04-16,12.9,13.18,12.76,13.0,736998,52.39
2025-04-17,13.0,13.2,12.88,12.97,577824,51.6
2025-04-21,13.02,13.4,12.91,13.18,1335237,57.01
2025-04-22,13.19,13.75,13.06,13.28,2432191,66.44
2025-04-23,13.39,13.55,12.9,13.16,1071060,50.43
2025-04-24,13.23,13.5,13.11,13.17,1231109,48.96
2025-04-25,13.24,13.26,12.43,12.76,1414884,46.71
2025-04-28,12.69,12.83,12.5,12.65,561329,56.96
2025-04-29,12.7,12.98,12.66,12.74,406057,38.28
2025-04-30,12.7,12.8,12.35,12.38,715004,53.56
2025-05-02,12.44,12.69,12.23,12.48,702939,48.71
2025-05-05,12.48,12.62,12.37,12.41,558048,57.9
2025-05-06,12.47,12.5,12.0,12.03,673192,55.73
2025-05-07,11.75,12.12,11.7,12.04,622159,49.0
2025-05-08,12.25,12.37,11.94,12.01,500439,51.73
2025-05-09,11.56,11.75,11.4,11.6,800703,48.45
2025-05-12,12.0,13.4,12.0,12.6,1021780,55.98
2025-05-13,12.6,13.25,12.48,13.02,1243464,54.23
2025-05-14,13.05,13.35,12.96,13.18,876948,63.18
2025-05-15,13.35,13.61,13.19,13.48,877664,58.71
2025-05-16,13.54,14.13,13.34,13.82,1563601,49.7
2025-05-19,13.99,14.25,13.8,13.89,1066067,51.83
2025-05-20,13.97,14.06,13.06,13.39,1169566,50.79
2025-05-21,13.39,13.71,13.23,13.62,955994,51.91
2025-05-22,13.78,13.98,13.25,13.32,1535795,49.96
2025-05-23,13.6,14.38,13.35,13.81,3501169,41.89
2025-05-26,13.92,14.6,13.82,14.09,1826541,57.06
2025-05-27,14.13,14.17,13.74,13.83,1231287,50.38
2025-05-28,13.89,14.22,13.8,13.93,1235393,54.49
2025-05-29,14.0,14.12,13.56,13.78,971344,61.59
2025-05-30,13.78,14.08,13.56,13.85,876556,47.17
2025-06-02,13.69,14.5,13.65,14.03,1815036,42.42
2025-06-03,14.08,14.24,13.85,13.9,652953,46.18
2025-06-04,13.9,13.96,13.73,13.88,465454,56.24
2025-06-05,13.95,14.28,13.73,13.79,895938,49.5
2025-06-06,13.7,13.98,13.65,13.69,540670,51.67
2025-06-09,13.8,15.75,13.79,14.64,5257998,35.34
