DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,414.9,434.0,411.6,431.05,299996,30.99
2025-04-15,440.0,451.0,436.85,439.95,189481,38.62
2025-04-16,440.0,447.95,435.1,439.8,168154,37.61
2025-04-17,440.95,452.95,436.7,444.6,199293,40.61
2025-04-21,442.0,454.0,438.35,450.55,306860,37.35
2025-04-22,449.9,456.0,442.35,445.75,161267,42.51
2025-04-23,446.45,457.1,437.35,447.25,150148,35.9
2025-04-24,442.8,450.0,435.55,439.45,180208,49.82
2025-04-25,436.05,441.85,412.15,418.1,212301,38.36
2025-04-28,417.0,422.6,409.85,417.05,147064,32.83
2025-04-29,422.9,435.15,415.6,417.45,177311,40.47
2025-04-30,419.55,420.6,401.25,403.25,181534,43.78
2025-05-02,408.0,413.55,403.0,403.9,121602,38.83
2025-05-05,407.95,417.0,406.0,415.05,95054,39.2
2025-05-06,420.0,420.0,392.8,397.3,107608,50.2
2025-05-07,391.0,403.5,386.0,399.05,139076,34.12
2025-05-08,404.8,409.5,390.0,393.7,124854,35.63
2025-05-09,380.0,393.8,378.0,391.1,150946,39.66
2025-05-12,404.0,423.95,401.0,420.55,190360,49.45
2025-05-13,418.1,434.0,415.2,427.95,199394,39.04
2025-05-14,432.5,441.9,423.65,437.8,218851,47.53
2025-05-15,437.8,442.0,436.85,438.15,118995,48.78
2025-05-16,438.15,445.0,438.15,442.55,138570,53.63
2025-05-19,446.4,462.9,440.95,454.0,404409,39.41
2025-05-20,459.9,492.45,448.1,479.85,1076315,30.78
2025-05-21,479.0,482.7,470.0,477.8,203590,43.76
2025-05-22,477.0,489.75,477.0,484.85,462188,25.57
2025-05-23,540.95,563.95,537.2,548.5,4511535,17.92
2025-05-26,573.0,573.0,546.0,548.25,1223328,26.1
2025-05-27,550.0,553.0,540.0,544.2,298943,41.69
2025-05-28,550.0,567.0,545.0,555.15,395044,34.23
2025-05-29,559.8,598.4,555.55,580.15,1224292,28.94
2025-05-30,583.0,583.85,567.05,573.05,357774,47.37
2025-06-02,577.65,594.0,562.1,572.9,449628,43.0
2025-06-03,574.55,583.0,562.1,568.35,206987,42.13
2025-06-04,570.05,601.0,568.55,595.8,641190,46.03
2025-06-05,600.0,613.65,572.1,576.55,615299,48.56
2025-06-06,576.55,579.5,560.25,569.15,201436,44.56
2025-06-09,571.45,578.8,565.0,567.3,177930,47.66
2025-06-10,569.4,578.65,563.2,569.45,234519,39.43
2025-06-11,570.1,598.0,551.0,568.1,658866,31.98
2025-06-12,568.0,572.05,550.05,553.6,208228,50.74
2025-06-13,530.0,550.0,530.0,544.4,243188,40.58
2025-06-16,540.0,547.0,523.65,545.4,174706,35.28
2025-06-17,549.9,551.15,531.6,536.0,118383,47.2
2025-06-18,535.0,541.9,527.55,532.95,122376,40.44
2025-06-19,530.1,535.9,510.0,514.7,217496,48.69
2025-06-20,514.0,533.95,508.0,531.55,200042,34.6
2025-06-23,525.0,529.75,520.45,525.35,111785,49.81
2025-06-24,535.35,552.3,535.05,544.65,327593,34.03
2025-06-25,545.15,557.9,543.4,548.3,159671,39.02
2025-06-26,551.0,557.8,538.25,540.9,163494,41.3
2025-06-27,543.9,548.75,538.55,540.1,108305,40.58
2025-06-30,542.9,570.85,540.3,568.6,567014,40.61
2025-07-01,572.9,579.0,560.4,575.35,347996,41.46
2025-07-02,574.05,580.0,562.55,573.95,267974,34.27
2025-07-03,574.0,589.0,566.65,581.7,642951,36.46
2025-07-04,581.5,593.55,572.8,578.05,413085,36.32
2025-07-07,585.0,588.25,560.0,562.25,267750,43.66
2025-07-08,566.7,574.8,555.6,568.1,219024,32.34
2025-07-09,576.0,612.0,572.0,587.85,1876479,21.84
2025-07-10,587.6,620.0,583.55,615.4,1156372,37.66
2025-07-11,619.4,619.4,588.65,599.95,885225,34.31
2025-07-14,599.9,632.0,586.0,626.1,1575367,26.59
2025-07-15,628.0,639.9,621.2,625.85,616980,37.99
2025-07-16,625.0,634.0,615.35,629.5,433609,35.52
2025-07-17,631.75,638.8,611.35,616.25,409098,38.28
2025-07-18,618.0,625.8,603.25,607.0,408991,37.02
2025-07-21,609.3,616.7,589.1,594.3,359969,44.89
2025-07-22,596.8,609.75,590.0,594.8,469322,33.84
2025-07-23,595.0,597.15,558.75,582.45,524014,32.2
2025-07-24,564.15,584.05,564.15,566.25,258538,41.3
2025-07-25,566.1,573.35,551.4,556.3,257450,43.32
2025-07-28,556.3,564.0,537.4,549.2,304287,30.18
2025-07-29,549.0,559.95,542.05,556.8,254481,26.25
2025-07-30,558.0,562.75,550.5,555.0,100446,37.63
2025-07-31,545.0,574.0,544.95,571.55,358795,33.35
2025-08-01,572.0,579.2,565.85,573.2,189329,40.31
2025-08-04,567.05,590.0,562.65,584.7,312924,33.61
2025-08-05,590.0,607.45,587.85,595.6,447104,31.11
2025-08-06,593.65,593.65,566.5,572.65,301033,34.54
2025-08-07,570.0,588.5,561.0,572.8,238588,26.22
2025-08-08,574.9,579.05,561.35,566.05,135954,37.26
2025-08-11,570.0,577.4,556.0,566.9,289544,29.26
2025-08-12,565.0,592.0,565.0,582.5,388626,30.98
2025-08-13,590.0,597.65,576.2,592.65,293026,42.95
2025-08-14,545.1,548.0,476.0,483.5,2186108,35.73
2025-08-18,484.95,491.0,472.0,486.95,619000,24.31
2025-08-19,490.75,502.45,487.1,499.55,308819,36.46
2025-08-20,499.5,517.75,496.9,512.15,317621,30.39
2025-08-21,516.7,516.7,495.8,497.3,228074,44.18
2025-08-22,497.0,500.0,490.0,490.9,139263,48.28
2025-08-25,494.85,496.0,475.0,479.1,187755,53.55
2025-08-26,480.0,482.85,467.6,471.55,148310,44.51
2025-08-28,471.35,471.5,457.0,461.5,199809,44.31
2025-08-29,461.45,479.0,459.05,465.7,194346,25.21
2025-09-01,471.9,478.4,467.05,471.15,107352,44.76
2025-09-02,474.9,481.05,469.4,473.2,111264,44.32
2025-09-03,473.0,481.8,471.65,473.9,84520,40.9
2025-09-04,481.95,484.95,465.0,468.1,109616,38.83
2025-09-05,468.1,473.45,463.95,465.6,75181,34.89
2025-09-08,461.25,473.95,461.25,465.95,121888,42.2
2025-09-09,479.0,479.0,465.0,466.85,97289,37.15
2025-09-10,467.0,475.0,467.0,470.85,100909,43.69
2025-09-11,472.1,477.45,470.05,473.05,96237,44.77
2025-09-12,473.05,495.0,472.5,490.8,302381,45.6
2025-09-15,493.75,507.9,489.9,497.0,211759,35.6
2025-09-16,498.65,500.45,486.6,490.2,124126,47.06
2025-09-17,492.65,497.85,487.05,488.5,68818,48.99
2025-09-18,492.2,495.8,474.95,482.4,120686,50.24
2025-09-19,480.0,488.95,480.0,484.05,114699,49.8
2025-09-22,483.95,488.95,470.8,474.45,143256,53.79
2025-09-23,477.1,478.15,469.4,472.95,106883,44.6
2025-09-24,477.0,479.3,465.0,467.2,133659,55.32
2025-09-25,467.2,505.0,464.05,478.75,166055,31.27
2025-09-26,479.95,482.5,460.1,463.55,165624,38.34
2025-09-29,467.2,468.0,452.0,453.7,99848,42.48
2025-09-30,453.7,459.45,450.3,456.15,66628,39.97
2025-10-01,456.7,474.9,453.25,461.0,86702,39.11
2025-10-03,465.3,470.95,461.55,468.65,77868,48.48
2025-10-06,472.7,472.7,458.45,459.65,75796,54.36
2025-10-07,461.45,465.6,458.05,459.1,63722,37.54
2025-10-08,460.0,464.0,452.75,453.95,72373,46.47
2025-10-09,458.0,462.0,441.05,444.6,243749,33.09
2025-10-10,444.9,454.75,441.4,445.55,126217,45.78
2025-10-13,445.0,445.55,435.2,438.5,106415,54.15
2025-10-14,437.15,441.65,428.55,430.65,102507,47.82
2025-10-15,434.55,437.0,427.95,433.5,78027,43.12
2025-10-16,435.65,455.0,434.3,452.5,169061,40.55
2025-10-17,452.5,452.5,441.2,442.9,115324,48.28
2025-10-20,442.9,451.9,438.55,448.35,74471,47.35
2025-10-21,449.1,457.65,449.0,450.8,37907,54.98
2025-10-22,449.1,457.65,449.0,450.8,37907,54.98
2025-10-23,458.8,458.8,441.35,443.0,88886,53.45
2025-10-24,443.0,449.75,439.5,445.1,63752,45.65
2025-10-27,445.8,447.0,433.5,439.15,183473,49.84
2025-10-28,440.0,442.5,436.1,437.45,60478,46.98
2025-10-29,437.0,451.35,435.05,447.05,133718,44.9
2025-10-30,447.05,449.6,439.9,441.4,68731,48.14
2025-10-31,444.7,444.7,438.0,439.2,72078,52.9
2025-11-03,439.95,445.0,438.0,440.6,61246,57.5
2025-11-04,439.25,445.0,432.8,435.3,62844,58.17
2025-11-05,439.25,445.0,432.8,435.3,62844,58.17
2025-11-06,436.2,438.95,422.75,425.55,102804,57.63
2025-11-07,428.9,428.9,413.6,421.1,137329,43.25
2025-11-10,432.85,469.0,432.85,457.05,879356,23.35
2025-11-11,451.0,460.8,443.15,455.75,189922,33.64
2025-11-12,454.1,460.0,451.3,453.9,82023,53.25
2025-11-13,454.95,457.75,448.15,449.25,68410,44.64
2025-11-14,451.95,458.9,448.0,457.25,122494,45.77
2025-11-17,465.6,479.9,461.0,465.4,873282,22.45
2025-11-18,465.95,466.8,450.6,452.8,130342,40.53
2025-11-19,450.0,453.2,442.2,448.15,135553,41.57
2025-11-20,444.0,453.0,440.0,441.2,111937,50.41
2025-11-21,440.0,441.0,431.6,433.35,74783,52.02
2025-11-24,433.0,434.85,414.8,415.45,130727,62.24
2025-11-25,418.2,424.0,414.25,420.45,79773,40.04
2025-11-26,422.95,425.0,418.85,420.95,64802,49.33
2025-11-27,425.0,425.85,419.7,421.5,72874,46.61
2025-11-28,421.5,423.0,407.05,413.95,132685,49.27
2025-12-01,416.7,419.65,402.4,405.25,144387,52.16
2025-12-02,409.85,409.85,393.0,396.35,167171,53.69
2025-12-03,396.35,399.05,391.25,393.45,104645,51.69
2025-12-04,394.5,401.0,392.0,393.6,83240,39.72
2025-12-05,393.6,400.4,387.0,390.75,98959,52.65
2025-12-08,390.0,390.75,374.0,378.3,107958,50.77
2025-12-09,374.0,388.0,369.2,386.05,126747,42.03
2025-12-10,386.1,392.8,384.25,387.25,58079,49.49
2025-12-11,385.0,391.05,380.3,389.9,53033,45.25
2025-12-12,389.95,395.0,388.0,392.2,61728,40.36
2025-12-15,391.25,396.55,386.3,394.85,59300,50.39
2025-12-16,393.9,394.2,388.75,389.8,41584,53.63
2025-12-17,388.0,390.2,380.1,382.0,68209,50.03
2025-12-18,382.25,382.45,376.0,377.2,54560,47.04
2025-12-19,378.5,387.0,377.0,385.45,43342,47.85
2025-12-22,385.45,407.95,385.45,402.35,158916,37.71
2025-12-23,408.9,416.4,401.0,413.25,163014,36.87
2025-12-24,414.9,416.5,408.15,411.95,73462,41.01
2025-12-25,414.9,416.5,408.15,411.95,73462,41.01
2025-12-26,410.0,412.0,397.25,402.45,105465,51.13
2025-12-29,403.0,406.5,394.7,401.1,91124,40.4
2025-12-30,401.1,408.0,394.05,403.25,54643,49.16
2025-12-31,403.0,415.0,402.0,407.5,53782,44.83
2026-01-01,407.95,411.6,401.0,405.7,41190,38.74
2026-01-02,405.7,411.9,400.1,407.6,64582,44.71
2026-01-05,407.6,408.3,396.0,397.8,93549,56.51
2026-01-06,401.0,401.0,390.25,392.55,65583,54.34
2026-01-07,392.4,396.35,390.9,393.7,42133,42.03
2026-01-08,393.0,397.0,387.0,390.1,62576,44.94
2026-01-09,385.0,390.1,377.0,378.2,87460,44.15
2026-01-12,381.0,381.0,355.25,362.35,409987,52.32
2026-01-13,365.95,370.0,355.0,357.0,94886,39.26
2026-01-14,361.0,361.75,352.7,354.4,71024,47.97
2026-01-15,361.0,361.75,352.7,354.4,71024,47.97
2026-01-16,354.4,357.95,345.0,346.6,123341,48.4
2026-01-19,342.25,346.0,339.0,340.4,105109,50.6
2026-01-20,340.4,344.65,320.35,324.1,184954,54.32
2026-01-21,324.1,329.15,315.7,317.65,156204,39.44
2026-01-22,322.0,328.5,318.65,323.7,106625,44.56
2026-01-23,328.3,329.7,314.1,316.9,100039,51.09
2026-01-26,328.3,329.7,314.1,316.9,100039,51.09
2026-01-27,319.0,321.65,307.9,311.6,114178,44.73
2026-01-28,312.9,329.8,312.2,328.25,128324,39.88
2026-01-29,328.95,331.4,316.6,321.1,88540,43.77
2026-01-30,318.0,334.5,314.7,331.4,119401,43.29
2026-02-02,329.75,332.95,315.45,326.55,87363,36.02
2026-02-03,334.3,334.3,307.9,318.85,522658,49.33
2026-02-04,323.3,333.0,318.0,330.55,207303,46.66
2026-02-05,330.55,332.8,320.15,321.9,154621,54.7
2026-02-06,324.0,324.0,309.05,315.5,217689,43.71
2026-02-09,316.95,353.0,316.95,345.8,933006,25.21
2026-02-10,347.5,374.35,343.6,360.95,694824,29.16
2026-02-11,361.1,367.4,351.4,359.1,468023,29.43
2026-02-12,360.0,368.9,353.05,363.2,398640,27.1
2026-02-13,359.95,365.0,352.1,353.7,165629,40.34
2026-02-16,350.2,351.9,341.0,343.6,107558,41.51
2026-02-17,344.0,356.9,342.55,354.45,127265,34.8
2026-02-18,352.25,376.4,347.1,366.65,541676,23.92
2026-02-19,366.2,376.25,354.55,365.3,456163,20.76
2026-02-20,361.55,370.15,356.0,358.95,192093,30.49
2026-02-23,360.0,370.0,351.0,352.8,143008,33.14
2026-02-24,352.0,352.75,338.25,346.0,150813,33.05
2026-02-25,349.65,354.05,343.05,346.95,134680,22.03
2026-02-26,346.95,351.85,344.6,348.9,79877,30.77
2026-02-27,348.9,349.0,339.0,340.0,80639,46.7
2026-03-02,315.95,333.1,311.0,323.85,229810,44.07
2026-03-03,315.95,333.1,311.0,323.85,229810,44.07
2026-03-04,317.4,319.0,308.2,310.4,162323,47.82
2026-03-05,311.0,319.45,306.05,314.35,170554,41.32
2026-03-06,317.0,322.0,313.45,317.35,106558,41.94
2026-03-09,313.0,315.0,299.95,305.55,181579,48.05
2026-03-10,311.6,335.0,310.0,321.1,142322,46.4
2026-03-11,322.75,336.45,320.65,322.4,276192,29.64
2026-03-12,320.5,327.0,307.0,322.1,147259,35.01
2026-03-13,325.0,325.0,310.05,312.3,114004,43.39
2026-03-16,297.0,297.0,266.4,273.45,1840695,25.51
2026-03-17,276.9,280.65,271.95,275.15,337364,33.9
2026-03-18,281.0,298.0,277.0,296.2,763710,30.0
2026-03-19,292.0,295.0,283.0,284.4,204572,42.21
2026-03-20,286.0,293.35,282.05,283.55,240785,42.08
2026-03-23,283.5,283.55,265.45,269.15,290191,44.05
2026-03-24,276.7,283.4,269.0,280.75,246103,34.26
2026-03-25,290.0,297.0,285.45,288.6,242220,42.44
2026-03-26,290.0,297.0,285.45,288.6,242220,42.44
2026-03-27,285.0,288.7,271.15,273.75,385343,46.72
2026-03-30,266.1,270.95,255.55,257.1,422989,47.23
2026-03-31,266.1,270.95,255.55,257.1,422989,47.23
