DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,41.45,41.45,40.11,40.55,4378482,34.71
2025-04-15,41.36,43.09,41.05,42.81,5949912,37.23
2025-04-16,42.9,44.15,42.76,43.62,6164184,32.4
2025-04-17,43.54,44.9,43.33,43.77,6615613,28.48
2025-04-21,43.77,45.75,43.4,45.48,9370304,37.24
2025-04-22,45.7,46.22,44.93,45.53,6401365,33.43
2025-04-23,45.85,46.28,44.58,46.0,7121817,32.75
2025-04-24,46.07,47.61,45.59,45.77,8398976,31.51
2025-04-25,46.0,46.22,43.15,43.63,7144450,37.07
2025-04-28,43.45,44.35,42.81,43.98,4349588,30.88
2025-04-29,44.48,44.99,43.56,43.8,3695851,31.56
2025-04-30,43.7,43.9,42.0,42.27,3778913,44.38
2025-05-02,42.2,43.09,41.85,42.08,4706158,29.55
2025-05-05,42.16,42.97,41.95,42.77,3380550,35.92
2025-05-06,42.78,43.1,40.2,40.58,4641161,46.82
2025-05-07,39.65,40.9,39.63,40.71,5623148,30.1
2025-05-08,40.71,41.73,39.53,39.88,4976386,38.17
2025-05-09,39.4,39.6,38.15,39.24,7660011,31.04
2025-05-12,42.0,44.34,41.41,43.3,20646862,18.64
2025-05-13,43.0,43.84,42.52,43.41,6998058,33.06
2025-05-14,44.0,45.1,43.26,44.29,8503651,38.07
2025-05-15,44.77,45.25,44.11,44.75,6540807,38.56
2025-05-16,44.75,52.78,44.75,51.77,83779268,16.45
2025-05-19,52.25,54.17,51.4,52.02,28553054,32.24
2025-05-20,52.4,52.4,49.32,49.58,9792287,42.35
2025-05-21,49.52,50.79,48.65,50.42,8786538,25.44
2025-05-22,50.16,50.5,49.33,49.92,6363922,29.98
2025-05-23,50.0,56.3,49.26,55.26,114020115,16.18
2025-05-26,55.7,59.71,54.45,58.45,108375588,14.72
2025-05-27,58.66,61.45,57.87,61.06,71972971,18.71
2025-05-28,61.38,72.0,60.34,70.31,284352908,14.2
2025-05-29,71.4,74.5,70.46,71.76,150616113,18.29
2025-05-30,72.0,72.16,66.6,67.42,57567109,27.72
2025-06-02,67.65,69.69,66.12,67.78,50135476,24.52
2025-06-03,68.01,68.06,65.32,65.81,21767984,32.87
2025-06-04,65.82,68.34,64.75,67.49,31447354,23.21
2025-06-05,67.69,69.24,66.5,67.75,22984748,25.07
2025-06-06,67.93,68.0,65.61,66.03,12632459,36.38
2025-06-09,67.0,68.6,66.54,67.22,19129484,32.32
2025-06-10,67.61,69.3,66.25,66.63,23411113,31.48
2025-06-11,66.99,67.1,64.0,64.59,17511851,39.1
2025-06-12,64.85,64.89,62.05,62.33,11994543,37.64
2025-06-13,60.68,62.7,60.12,61.57,12707677,30.71
2025-06-16,61.53,63.15,58.7,62.37,15012818,24.19
2025-06-17,62.77,62.77,60.22,60.65,8699654,32.5
2025-06-18,60.4,61.38,59.6,59.93,7728372,28.36
2025-06-19,59.92,60.78,57.0,57.46,10579587,33.71
2025-06-20,57.4,60.6,57.4,59.96,22185566,24.11
2025-06-23,60.0,63.1,59.78,61.65,21695616,26.21
2025-06-24,62.79,63.14,60.9,61.61,13450938,29.31
2025-06-25,61.9,65.5,61.26,63.68,37589086,24.98
2025-06-26,63.75,63.99,62.72,63.11,9391419,31.76
2025-06-27,63.35,65.15,62.65,64.49,18881905,30.53
2025-06-30,64.8,66.1,64.22,65.17,16704416,29.15
2025-07-01,65.5,65.6,63.72,64.85,11025880,28.33
2025-07-02,65.25,65.34,63.59,63.98,8776761,36.49
2025-07-03,64.4,64.4,63.0,63.16,5967972,38.97
2025-07-04,63.34,64.0,62.32,62.58,5618159,35.59
2025-07-07,62.75,62.88,61.9,62.03,4474935,44.01
2025-07-08,61.85,62.36,60.67,61.25,6638733,39.46
2025-07-09,61.4,63.6,61.4,61.74,10419028,29.09
2025-07-10,61.77,62.16,60.9,61.42,4200440,39.22
2025-07-11,61.4,61.42,60.21,60.72,4174962,47.49
2025-07-14,60.72,66.33,59.88,62.91,31664649,23.3
2025-07-15,63.0,64.4,62.55,62.98,9387749,35.55
2025-07-16,63.0,63.19,62.15,62.35,4537021,43.6
2025-07-17,62.5,62.69,61.76,62.05,3141835,41.52
2025-07-18,62.09,62.42,61.01,61.18,3460351,46.48
2025-07-21,61.15,61.7,60.7,60.88,2877073,38.56
2025-07-22,60.68,61.2,60.1,60.24,2922789,46.44
2025-07-23,60.44,62.38,60.06,61.81,7721588,33.37
2025-07-24,62.0,62.59,60.55,60.76,4544933,39.3
2025-07-25,60.75,60.8,58.39,58.63,4543362,53.42
2025-07-28,58.63,59.99,57.81,58.15,4732113,35.33
2025-07-29,57.95,59.85,57.12,59.0,6863221,25.78
2025-07-30,59.2,59.6,58.1,58.49,3276055,37.62
2025-07-31,57.01,58.26,56.9,57.16,4414282,46.28
2025-08-01,57.0,58.7,57.0,57.96,5274216,32.66
2025-08-04,58.19,58.39,57.2,57.58,2929703,44.72
2025-08-05,57.5,58.31,56.7,57.09,2371989,41.72
2025-08-06,57.08,57.25,54.61,55.59,4659220,32.87
2025-08-07,54.75,55.29,53.2,54.54,5680309,37.28
2025-08-08,54.6,54.88,52.61,53.03,3916819,40.63
2025-08-11,53.2,54.64,51.88,53.18,9576923,33.16
2025-08-12,53.1,53.58,52.41,52.78,2892417,39.9
2025-08-13,52.95,53.87,52.51,53.37,3345088,43.33
2025-08-14,53.65,53.69,52.63,52.8,1835973,46.24
2025-08-18,53.15,54.27,53.1,53.45,3440673,44.15
2025-08-19,53.71,55.2,53.11,54.82,4423584,40.72
2025-08-20,54.83,55.34,54.1,54.6,2786370,41.91
2025-08-21,54.92,56.38,54.54,54.76,6560964,40.36
2025-08-22,54.61,54.89,53.82,54.04,2088618,52.47
2025-08-25,54.17,54.39,53.3,53.49,1969710,51.63
2025-08-26,53.4,53.48,51.8,51.98,2571873,56.59
2025-08-28,51.97,52.4,51.13,51.56,2896687,35.1
2025-08-29,51.9,52.04,51.0,51.08,2494094,32.09
2025-09-01,51.25,53.49,51.25,52.52,4616174,31.53
2025-09-02,52.69,54.4,52.26,53.11,4296327,33.09
2025-09-03,53.15,54.05,53.1,53.38,2574099,40.38
2025-09-04,54.1,54.4,52.0,52.16,3388820,44.62
2025-09-05,52.25,53.3,52.05,52.43,2378977,32.94
2025-09-08,52.9,53.98,52.76,53.13,3663131,32.92
