DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,325.15,330.5,315.55,323.75,2181346,29.49
2025-04-15,325.4,334.8,325.4,332.4,1088019,46.47
2025-04-16,334.5,337.5,330.0,333.1,868851,28.52
2025-04-17,333.45,340.45,329.7,334.4,1095405,30.52
2025-04-21,335.0,349.7,334.85,347.35,2063203,38.45
2025-04-22,350.0,375.0,343.8,367.2,7949601,21.15
2025-04-23,372.0,383.2,358.15,380.15,3755823,22.04
2025-04-24,375.0,381.5,366.0,373.95,2649973,23.44
2025-04-25,375.45,375.8,355.5,366.2,2300780,28.54
2025-04-28,365.0,372.75,362.3,367.0,2235619,42.76
2025-04-29,365.55,374.95,362.85,365.8,1651019,39.77
2025-04-30,365.0,365.7,357.6,359.2,1073971,54.31
2025-05-02,360.0,364.3,350.45,353.4,673364,30.13
2025-05-05,355.15,362.0,352.0,359.45,511198,30.64
2025-05-06,362.0,362.0,342.05,344.35,1198939,44.23
2025-05-07,337.0,370.4,337.0,367.8,3764971,16.47
2025-05-08,374.05,379.1,356.2,360.8,2515629,18.93
2025-05-09,346.2,378.0,346.2,372.5,5637015,10.79
2025-05-12,386.0,393.1,383.0,388.15,2192803,29.87
2025-05-13,398.1,411.8,394.15,405.45,8622783,15.63
2025-05-14,407.0,417.9,406.2,413.05,2358063,29.99
2025-05-15,413.0,416.85,408.75,411.55,1570444,38.11
2025-05-16,411.9,416.25,407.6,413.95,920570,26.63
2025-05-19,414.9,417.8,406.05,413.0,1140279,38.33
2025-05-20,414.0,416.9,403.75,406.7,693197,34.78
2025-05-21,404.05,415.0,400.95,413.15,643375,35.12
2025-05-22,410.0,416.0,408.1,413.95,581861,35.41
2025-05-23,413.95,417.7,410.6,415.3,827655,42.15
2025-05-26,419.2,426.8,412.6,416.5,2140730,35.6
2025-05-27,418.4,423.0,414.3,417.35,865213,24.32
2025-05-28,417.0,428.75,415.4,421.5,1238228,36.48
2025-05-29,423.45,430.75,420.35,427.65,1459788,37.4
2025-05-30,425.0,439.6,423.4,435.85,2098031,43.71
2025-06-02,435.4,435.4,426.05,429.8,595711,37.98
2025-06-03,433.0,433.0,424.1,425.0,810288,58.21
2025-06-04,425.0,429.9,422.5,428.0,488502,46.91
2025-06-05,428.0,433.15,422.3,429.2,1563588,42.62
2025-06-06,434.05,453.35,428.55,451.05,5261950,48.73
2025-06-09,458.0,490.0,457.75,487.45,10404725,19.35
2025-06-10,491.0,491.95,480.0,481.3,2492072,32.1
2025-06-11,482.95,495.5,480.25,483.8,2501531,30.17
2025-06-12,484.4,486.45,474.6,476.0,1432791,40.87
2025-06-13,466.5,476.15,464.25,469.05,1337373,40.73
2025-06-16,469.0,486.55,460.45,484.85,2383245,49.82
2025-06-17,486.0,494.8,482.05,487.65,2451064,39.59
2025-06-18,480.0,491.5,480.0,485.05,1437940,36.88
2025-06-19,482.5,488.4,471.0,474.45,1655917,38.49
2025-06-20,474.9,480.2,471.0,474.7,6147875,74.82
2025-06-23,471.8,483.6,467.75,480.0,1376459,40.96
2025-06-24,489.0,489.05,475.0,478.8,983092,34.16
2025-06-25,480.45,487.0,477.05,481.85,3844435,67.05
2025-06-26,483.0,485.8,470.45,477.95,4189486,56.62
2025-06-27,480.0,480.25,469.5,470.75,1402730,66.33
2025-06-30,471.0,477.9,470.15,472.75,1637351,73.62
2025-07-01,474.0,477.5,462.35,469.35,3113842,58.7
2025-07-02,469.35,472.55,458.85,462.35,1623966,51.47
2025-07-03,468.0,468.35,460.55,463.5,1438739,48.04
2025-07-04,460.75,476.6,458.1,474.85,4174789,65.31
2025-07-07,475.15,495.5,475.15,487.2,5969585,17.3
2025-07-08,488.0,507.6,485.4,501.25,5491661,32.89
2025-07-09,503.1,510.0,499.4,508.55,2748611,54.12
2025-07-10,507.0,522.5,505.25,520.9,4601660,53.47
2025-07-11,516.15,521.8,514.5,519.75,1676451,49.68
2025-07-14,519.75,525.4,518.0,523.55,1986292,54.13
2025-07-15,525.0,531.0,521.95,525.0,1064910,42.6
2025-07-16,525.0,529.95,523.55,526.75,770404,44.67
2025-07-17,529.2,531.0,523.1,527.0,1172703,59.99
2025-07-18,527.0,537.1,526.0,532.95,1878734,50.17
2025-07-21,533.0,538.15,531.1,536.45,897587,52.86
2025-07-22,534.05,536.4,527.15,529.8,1277909,61.37
2025-07-23,530.0,536.5,523.1,533.85,801217,38.52
2025-07-24,534.0,537.85,527.9,529.15,819155,54.01
2025-07-25,528.0,528.1,511.35,516.85,2126397,59.69
2025-07-28,506.3,521.5,492.8,496.25,2245993,50.21
2025-07-29,497.0,520.0,495.0,514.9,1698933,46.72
2025-07-30,514.9,521.5,501.9,503.85,934305,23.77
2025-07-31,490.0,496.75,470.1,477.95,3135193,45.07
2025-08-01,472.6,472.6,418.1,427.2,7363414,34.02
2025-08-04,423.0,451.15,419.75,449.6,3552231,31.06
2025-08-05,447.0,448.3,434.1,437.35,2059791,32.48
2025-08-06,438.4,456.5,436.25,452.25,3539104,16.52
2025-08-07,452.0,455.4,441.1,454.45,1488749,40.21
2025-08-08,451.9,454.35,445.75,448.9,982938,39.88
2025-08-11,445.0,453.0,444.0,450.1,1073847,43.82
2025-08-12,454.0,462.25,446.85,449.4,913298,25.35
2025-08-13,452.0,452.05,443.5,445.75,561081,44.41
2025-08-14,445.75,454.8,440.55,441.7,901508,33.25
2025-08-18,445.05,451.35,443.1,449.0,938340,46.68
2025-08-19,448.95,473.25,446.55,471.9,2263754,29.46
2025-08-20,473.85,475.5,468.05,471.5,982479,37.18
2025-08-21,471.5,472.75,458.4,459.75,655133,40.14
2025-08-22,459.2,463.1,449.85,451.1,662832,42.85
2025-08-25,455.75,465.0,453.0,458.5,979736,44.87
2025-08-26,458.05,458.05,446.1,450.35,1309754,60.44
2025-08-28,446.0,449.95,431.55,436.2,650392,45.47
2025-08-29,436.0,440.45,425.9,427.6,1027543,45.38
2025-09-01,431.85,440.65,431.4,439.0,487491,36.05
2025-09-02,442.0,447.5,437.05,438.2,677438,42.58
2025-09-03,442.75,444.45,434.15,437.0,1476024,48.29
2025-09-04,440.0,443.95,431.5,432.25,476234,37.33
2025-09-05,433.5,438.3,430.5,435.0,300203,33.57
2025-09-08,436.0,453.5,432.65,447.4,1044570,31.74
2025-09-09,449.6,450.45,439.0,440.45,339505,36.7
2025-09-10,441.0,450.2,439.0,447.5,557687,44.45
2025-09-11,447.4,449.15,437.55,438.65,799411,45.46
2025-09-12,439.95,442.2,433.85,434.55,424533,47.18
2025-09-15,434.95,443.0,434.0,439.55,675673,51.21
2025-09-16,441.55,455.1,440.3,446.7,994300,31.57
2025-09-17,447.0,448.65,441.6,443.3,646686,38.11
2025-09-18,444.9,456.15,444.9,449.5,1467832,38.09
2025-09-19,451.5,458.5,450.0,454.05,1218013,36.63
2025-09-22,455.0,458.7,448.8,450.1,1356319,54.89
2025-09-23,452.0,454.1,442.0,451.0,929925,45.79
2025-09-24,450.0,452.55,440.1,441.75,528922,49.38
2025-09-25,441.0,445.0,434.75,436.2,731726,47.16
2025-09-26,432.0,433.9,417.95,419.35,1781857,55.51
2025-09-29,420.0,440.4,419.6,438.8,1458037,31.28
2025-09-30,438.8,455.5,438.0,451.9,2039861,39.18
2025-10-01,450.75,454.3,442.15,452.2,1059014,44.02
2025-10-03,450.2,468.6,450.1,457.2,2139174,27.98
2025-10-06,459.0,472.4,455.05,469.5,1323283,43.13
2025-10-07,472.0,486.55,470.75,475.5,2894727,28.34
2025-10-08,475.55,492.5,470.5,489.45,2728202,28.81
2025-10-09,497.0,503.35,489.9,495.15,3729652,24.1
2025-10-10,495.1,496.95,486.95,490.0,986505,39.99
2025-10-13,488.3,493.95,484.0,491.25,897777,45.8
2025-10-14,496.0,497.95,482.35,485.25,950373,39.14
2025-10-15,488.95,508.5,485.25,506.25,2376538,35.56
2025-10-16,508.2,509.8,498.0,499.9,1142761,54.42
2025-10-17,503.0,505.85,491.65,498.55,1162766,39.92
2025-10-20,499.95,502.9,489.85,499.7,751053,37.0
2025-10-21,501.75,504.0,494.5,499.65,187200,47.61
2025-10-22,501.75,504.0,494.5,499.65,187200,47.61
2025-10-23,502.9,502.9,489.05,491.4,801557,38.64
2025-10-24,493.0,495.4,487.9,489.8,492929,41.98
2025-10-27,492.15,506.75,491.0,505.35,1658725,39.25
2025-10-28,506.0,520.0,505.85,513.8,2383613,38.71
2025-10-29,513.0,524.85,499.0,523.0,1453962,31.85
2025-10-30,521.0,549.3,521.0,541.65,6046891,28.03
2025-10-31,540.0,551.95,525.6,534.6,6221248,24.02
2025-11-03,540.05,559.75,537.1,540.45,3579789,24.83
2025-11-04,543.0,546.0,536.25,539.25,1236065,37.43
2025-11-05,543.0,546.0,536.25,539.25,1236065,37.43
2025-11-06,539.25,539.4,518.25,520.75,1351016,38.33
2025-11-07,520.0,535.05,516.25,526.3,1484837,45.19
2025-11-10,529.0,544.0,524.5,541.9,1627548,30.03
2025-11-11,544.0,548.7,538.05,540.75,1213563,42.88
2025-11-12,543.9,544.8,534.2,540.35,566485,39.03
2025-11-13,541.0,543.8,536.4,537.65,396119,35.56
2025-11-14,540.0,558.0,539.95,547.3,3473801,32.26
2025-11-17,551.0,562.65,545.3,561.6,2078258,36.14
2025-11-18,561.9,567.0,550.8,565.15,2048417,35.51
2025-11-19,565.9,565.9,556.4,557.55,864945,39.77
2025-11-20,557.1,559.1,542.2,544.75,1182228,39.48
2025-11-21,546.0,548.5,538.2,540.0,875800,39.9
2025-11-24,541.0,551.1,532.35,536.8,1049730,46.36
2025-11-25,538.0,559.2,538.0,557.4,2234817,37.3
2025-11-26,560.0,577.5,557.05,570.75,3045743,37.71
2025-11-27,572.5,576.3,565.3,568.8,871320,31.73
2025-11-28,570.8,581.1,568.15,578.7,1817250,45.34
2025-12-01,581.05,592.8,579.0,587.45,2050694,27.59
2025-12-02,587.0,587.45,578.05,580.75,697398,39.63
2025-12-03,580.75,582.25,567.45,574.4,1191236,44.62
2025-12-04,571.9,579.5,565.05,566.35,438498,35.2
2025-12-05,561.0,571.55,558.55,569.35,746311,40.32
2025-12-08,571.95,571.95,549.9,554.65,664864,41.44
2025-12-09,552.05,569.15,546.35,567.25,962048,33.71
2025-12-10,566.0,577.0,560.35,563.15,1174675,50.65
2025-12-11,564.8,577.55,561.8,568.2,992062,32.93
2025-12-12,570.0,582.25,566.45,581.0,831174,33.12
2025-12-15,581.0,581.0,570.65,575.2,639544,29.98
2025-12-16,573.6,575.25,562.65,566.7,496565,38.14
2025-12-17,569.25,574.1,561.0,563.1,368303,27.08
2025-12-18,566.7,570.0,554.95,560.5,776247,29.45
2025-12-19,565.35,569.4,558.6,564.6,619576,46.46
2025-12-22,566.55,582.0,562.15,569.35,917665,29.06
2025-12-23,573.45,578.45,567.5,572.75,667423,30.72
2025-12-24,574.0,605.8,570.85,602.15,5216175,26.03
2025-12-25,574.0,605.8,570.85,602.15,5216175,26.03
2025-12-26,605.8,607.55,595.0,599.25,1606505,34.43
2025-12-29,595.5,603.8,591.6,593.95,898715,35.14
2025-12-30,591.2,605.9,590.0,603.15,2238714,58.65
2025-12-31,601.9,613.9,597.95,610.5,1350728,42.94
2026-01-01,611.0,621.95,609.45,620.45,1008135,34.8
2026-01-02,623.5,650.0,619.0,641.4,2441538,32.09
2026-01-05,645.0,649.1,638.15,645.45,1101439,40.59
2026-01-06,649.8,675.0,645.65,665.15,3802351,29.88
2026-01-07,665.05,665.5,648.4,656.95,2403638,54.46
2026-01-08,656.95,657.0,639.85,647.55,1240235,44.12
2026-01-09,647.9,656.7,638.65,649.3,1846485,53.41
2026-01-12,649.55,653.9,627.35,641.75,1521908,45.13
2026-01-13,644.0,650.7,630.65,637.55,802349,31.32
2026-01-14,640.0,640.85,629.4,635.35,674117,41.87
2026-01-15,640.0,640.85,629.4,635.35,674117,41.87
2026-01-16,635.35,641.35,626.75,633.65,931932,46.78
2026-01-19,632.0,654.45,630.0,651.8,1970220,32.0
