DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,989.15,989.2,977.0,988.45,1116,64.43
2025-04-15,988.45,1024.45,988.45,1003.4,2514,65.19
2025-04-16,1012.0,1029.0,1005.05,1022.35,2089,78.22
2025-04-17,1018.75,1033.0,994.0,1004.6,4365,80.69
2025-04-21,1014.0,1014.0,980.0,1005.55,4886,56.86
2025-04-22,1006.1,1025.0,1001.1,1015.0,3196,79.72
2025-04-23,1017.65,1025.5,996.05,1007.95,2464,72.73
2025-04-24,1013.15,1018.9,1007.05,1015.75,1684,82.66
2025-04-25,1021.6,1021.65,982.05,997.1,2253,63.25
2025-04-28,1007.0,1007.0,987.1,1002.5,1184,56.93
2025-04-29,1010.4,1020.45,994.05,1005.2,1599,57.97
2025-04-30,1014.0,1014.0,978.95,993.55,2118,60.53
2025-05-02,993.55,1002.0,976.6,989.45,4447,80.59
2025-05-05,985.0,1009.0,981.0,995.5,1460,64.73
2025-05-06,1004.0,1004.0,985.65,992.05,954,81.24
2025-05-07,990.0,995.4,972.0,991.4,1501,74.55
2025-05-08,992.9,1003.95,973.0,984.6,845,71.24
2025-05-09,979.55,986.85,968.1,979.2,1071,68.72
2025-05-12,987.9,1019.65,986.55,1014.7,2795,84.79
2025-05-13,1001.15,1020.35,994.45,1019.0,3259,88.83
2025-05-14,1023.0,1023.0,1005.0,1015.75,3035,84.02
2025-05-15,1012.1,1021.0,1012.05,1020.7,3608,85.45
2025-05-16,1031.0,1070.4,1010.05,1032.3,12760,58.71
2025-05-19,1044.45,1074.0,1044.0,1055.0,7977,67.71
2025-05-20,1053.55,1058.95,1037.05,1048.0,4630,71.3
2025-05-21,1053.8,1055.55,1035.55,1046.55,2694,81.25
2025-05-22,1040.0,1071.0,1040.0,1049.55,3721,55.28
2025-05-23,1050.0,1053.4,1041.5,1047.15,2703,64.48
2025-05-26,1055.95,1058.0,1035.55,1048.5,1329,57.26
2025-05-27,1052.9,1059.2,1040.0,1053.4,4339,76.15
2025-05-28,1070.0,1078.9,1048.85,1057.75,1597,59.3
2025-05-29,1066.5,1074.0,1035.95,1046.7,3626,65.97
2025-05-30,1056.0,1058.0,1039.65,1055.0,1935,56.28
2025-06-02,1052.4,1080.1,1044.0,1054.9,3337,67.01
2025-06-03,1058.4,1066.0,1053.0,1055.7,1483,66.35
2025-06-04,1058.4,1100.0,1058.0,1070.9,4195,66.77
2025-06-05,1080.0,1100.0,1053.0,1076.3,12495,72.43
2025-06-06,1084.6,1090.9,1075.0,1085.5,3697,72.22
2025-06-09,1094.6,1110.0,1078.6,1089.7,8111,71.8
2025-06-10,1089.7,1117.2,1089.7,1105.6,4455,67.7
2025-06-11,1105.6,1110.0,1084.0,1092.8,3423,67.84
2025-06-12,1096.9,1115.0,1091.2,1093.6,2858,59.59
2025-06-13,1094.0,1095.4,1070.0,1075.1,2947,68.34
2025-06-16,1076.1,1081.4,1065.1,1071.3,1247,52.61
2025-06-17,1070.1,1081.3,1070.0,1074.6,2500,76.92
2025-06-18,1083.5,1083.5,1059.9,1064.2,1640,68.84
2025-06-19,1064.3,1079.2,1051.0,1064.6,2463,55.83
2025-06-20,1073.5,1073.5,1035.0,1059.1,2190,45.84
2025-06-23,1039.1,1067.2,1039.1,1059.6,1473,62.05
2025-06-24,1061.0,1098.9,1061.0,1092.7,4175,71.09
2025-06-25,1100.0,1160.0,1100.0,1135.8,26369,74.41
2025-06-26,1141.3,1170.0,1141.3,1152.0,12037,74.44
2025-06-27,1152.0,1161.9,1140.0,1145.6,3914,71.1
2025-06-30,1155.5,1165.0,1140.4,1150.8,5530,69.4
2025-07-01,1150.8,1157.8,1136.0,1142.3,2895,67.88
2025-07-02,1153.9,1162.0,1128.2,1149.0,3591,59.9
2025-07-03,1151.4,1167.8,1142.6,1149.5,12253,80.58
2025-07-04,1159.5,1160.0,1147.5,1152.4,4323,75.92
2025-07-07,1162.0,1180.0,1141.3,1150.1,5412,68.42
2025-07-08,1150.1,1157.3,1133.0,1145.8,3928,54.99
2025-07-09,1145.8,1152.0,1138.5,1147.5,3384,65.28
2025-07-10,1148.8,1152.0,1145.0,1148.3,2303,76.51
2025-07-11,1131.2,1149.8,1131.2,1136.6,2791,60.23
2025-07-14,1136.6,1145.0,1128.1,1138.0,3138,65.33
2025-07-15,1149.5,1154.2,1143.0,1150.5,2980,71.38
2025-07-16,1154.5,1158.7,1140.0,1148.8,5298,79.03
2025-07-17,1160.3,1184.5,1140.0,1150.3,12113,70.87
2025-07-18,1151.4,1151.4,1120.0,1121.8,3293,62.53
2025-07-21,1122.0,1128.9,1100.2,1114.9,2145,73.01
2025-07-22,1115.2,1119.4,1096.0,1103.1,3092,63.16
2025-07-23,1092.1,1111.9,1083.5,1091.9,1924,56.13
2025-07-24,1103.0,1133.9,1074.2,1099.7,5857,53.82
2025-07-25,1100.7,1117.6,1081.1,1096.3,3061,55.41
2025-07-28,1105.5,1105.5,1058.1,1066.6,3301,62.95
2025-07-29,1058.1,1098.0,1052.8,1071.0,1461,60.99
2025-07-30,1068.0,1082.9,1046.0,1059.6,3176,42.98
2025-07-31,1053.2,1070.5,1044.0,1051.0,2625,67.39
2025-08-01,1059.9,1060.0,1025.5,1035.3,3627,70.22
2025-08-04,1046.0,1046.0,1011.2,1028.5,3579,55.24
2025-08-05,1035.8,1054.9,1033.1,1042.3,1898,55.53
2025-08-06,1039.7,1041.0,1026.0,1031.0,1445,65.4
2025-08-07,1031.0,1037.9,1022.0,1032.3,1284,70.09
2025-08-08,1035.4,1039.2,1028.0,1033.4,765,74.51
2025-08-11,1042.0,1050.7,1022.1,1028.0,2262,60.61
2025-08-12,1030.6,1048.5,1019.4,1042.3,1191,50.29
2025-08-13,1037.3,1057.3,1037.3,1045.4,979,69.25
2025-08-14,1036.7,1047.0,1022.6,1043.1,2131,71.89
2025-08-18,1045.0,1052.0,1030.0,1051.1,2456,79.68
2025-08-19,1035.1,1060.9,1031.1,1057.3,1451,82.77
2025-08-20,1056.0,1062.0,1050.2,1056.1,1616,72.09
2025-08-21,1062.0,1063.0,1050.5,1054.3,913,49.73
2025-08-22,1060.3,1060.3,1045.0,1049.4,756,74.87
2025-08-25,1046.0,1054.9,1031.9,1034.7,2358,81.68
2025-08-26,1033.8,1033.8,1001.2,1019.3,2108,66.6
2025-08-28,1028.0,1028.0,996.0,998.3,6264,76.95
2025-08-29,1006.5,1006.5,989.1,992.2,3852,89.93
2025-09-01,1000.5,1034.0,992.0,1025.55,1611,64.43
2025-09-02,1025.55,1036.0,986.0,1001.05,2522,66.89
2025-09-03,1013.3,1013.45,994.05,999.95,2505,88.66
2025-09-04,1007.7,1015.0,997.25,1004.85,2003,83.92
2025-09-05,1013.0,1022.0,1008.75,1017.0,781,69.27
2025-09-08,1024.9,1035.0,1007.1,1029.25,1071,72.55
2025-09-09,1028.3,1030.9,1006.05,1016.7,3514,77.26
2025-09-10,1011.0,1024.3,1009.0,1015.9,2419,85.24
2025-09-11,1022.4,1040.0,1014.05,1027.55,8285,90.96
2025-09-12,1032.75,1037.2,1017.0,1027.05,2000,82.65
2025-09-15,1033.1,1040.0,1008.1,1034.2,5654,85.02
2025-09-16,1034.85,1065.0,1028.85,1060.25,4328,71.74
2025-09-17,1044.75,1100.0,1039.55,1084.35,4097,51.6
2025-09-18,1084.35,1090.05,1068.0,1073.1,1016,59.55
2025-09-19,1082.0,1083.95,1034.9,1070.7,2156,55.61
2025-09-22,1077.2,1080.65,1064.05,1067.8,1231,70.11
2025-09-23,1079.0,1079.0,1050.0,1058.95,2005,66.83
2025-09-24,1064.0,1083.45,1058.35,1062.8,3500,59.26
2025-09-25,1071.5,1075.0,1045.6,1068.0,2209,56.27
2025-09-26,1055.05,1084.0,1041.25,1054.85,3157,67.09
2025-09-29,1065.5,1065.5,1043.25,1050.95,1409,75.73
2025-09-30,1059.5,1059.5,1046.75,1048.9,1315,85.7
2025-10-01,1049.8,1093.0,1042.7,1082.6,3069,69.89
2025-10-03,1085.0,1118.5,1076.0,1098.2,2582,61.97
2025-10-06,1108.5,1125.0,1080.3,1092.4,2181,68.36
2025-10-07,1095.3,1105.5,1067.2,1081.6,3096,61.53
2025-10-08,1081.6,1088.7,1070.0,1080.8,1315,74.75
2025-10-09,1089.3,1089.3,1074.6,1079.7,1281,74.94
2025-10-10,1080.1,1084.0,1061.0,1067.8,1105,65.79
2025-10-13,1060.0,1071.9,1036.0,1042.9,2076,67.63
2025-10-14,1048.8,1055.8,1041.2,1047.0,1354,86.19
2025-10-15,1052.3,1056.0,1030.3,1042.7,1799,79.82
2025-10-16,1043.8,1060.0,1028.4,1050.3,1471,73.56
2025-10-17,1059.0,1075.0,1048.1,1070.8,1365,78.32
2025-10-20,1070.8,1073.7,1049.5,1059.8,1264,38.53
2025-10-21,1068.4,1089.0,1062.2,1067.5,639,79.49
2025-10-22,1068.4,1089.0,1062.2,1067.5,639,79.49
2025-10-23,1076.5,1078.5,1064.1,1071.9,1803,66.28
2025-10-24,1083.0,1083.0,1066.0,1076.2,1211,80.84
2025-10-27,1083.0,1089.0,1062.0,1078.8,2973,62.97
2025-10-28,1080.8,1120.0,1065.2,1097.6,6215,57.96
2025-10-29,1098.9,1101.6,1075.0,1082.3,2433,65.64
2025-10-30,1090.0,1108.4,1074.9,1077.1,4125,80.63
2025-10-31,1082.5,1095.0,1074.0,1080.5,2053,79.59
2025-11-03,1079.0,1087.9,1074.0,1075.2,2855,83.54
2025-11-04,1080.1,1083.7,1060.0,1066.7,5233,79.21
2025-11-05,1080.1,1083.7,1060.0,1066.7,5233,79.21
2025-11-06,1061.0,1068.9,1028.5,1042.4,4681,68.87
2025-11-07,1046.7,1079.9,1030.0,1069.3,3384,59.4
2025-11-10,1053.0,1079.8,1052.3,1058.9,878,77.56
2025-11-11,1065.0,1074.0,1053.6,1066.6,1178,69.02
2025-11-12,1075.5,1077.5,1045.0,1058.4,1033,62.05
2025-11-13,1045.0,1073.6,1045.0,1061.1,990,73.33
2025-11-14,1057.5,1065.7,1025.5,1046.0,2622,58.77
2025-11-17,1049.6,1060.6,1044.0,1048.2,1171,77.28
2025-11-18,1048.2,1053.9,1033.1,1035.6,3202,87.29
2025-11-19,1036.0,1045.4,1033.2,1035.4,1779,77.35
2025-11-20,1026.0,1052.8,1026.0,1035.4,3228,59.98
2025-11-21,1032.0,1043.8,1025.5,1031.5,2413,84.0
2025-11-24,1030.8,1052.0,1026.2,1042.3,1628,77.46
2025-11-25,1038.0,1049.8,1035.0,1045.7,2116,79.44
2025-11-26,1041.0,1060.0,1041.0,1049.1,1605,53.83
2025-11-27,1046.8,1055.3,1040.0,1048.0,1614,79.31
2025-11-28,1056.0,1056.0,1042.7,1046.4,461,70.72
2025-12-01,1046.1,1054.4,1028.1,1029.6,3748,82.39
2025-12-02,1030.2,1035.2,1025.1,1028.1,1299,85.68
2025-12-03,1020.1,1049.0,1020.1,1044.4,1727,65.61
2025-12-04,1053.6,1053.6,1020.1,1035.1,1827,77.07
2025-12-05,1041.6,1055.0,1024.0,1049.6,1659,70.46
2025-12-08,1044.6,1055.0,1020.0,1023.4,1698,75.74
2025-12-09,1018.3,1043.0,1015.9,1036.4,1254,74.32
2025-12-10,1023.9,1053.3,1023.9,1043.7,1692,72.99
2025-12-11,1035.9,1059.9,1034.0,1036.9,1981,58.71
2025-12-12,1027.0,1045.5,1024.3,1035.7,1655,78.13
2025-12-15,1040.0,1044.4,1034.2,1034.6,1298,62.63
2025-12-16,1043.5,1043.5,1028.0,1029.0,1044,73.47
2025-12-17,1028.3,1042.2,1026.2,1035.5,1221,64.21
2025-12-18,1038.0,1041.9,1022.2,1036.5,1325,56.98
2025-12-19,1038.3,1049.9,1035.9,1040.6,1324,62.01
2025-12-22,1016.0,1050.0,990.0,1028.6,13418,60.65
2025-12-23,1028.6,1049.0,1021.4,1047.9,4466,74.63
2025-12-24,1052.0,1052.0,1025.0,1037.4,2307,63.85
2025-12-25,1052.0,1052.0,1025.0,1037.4,2307,63.85
2025-12-26,1046.7,1046.7,1035.0,1040.5,1454,75.45
2025-12-29,1038.0,1049.0,1032.4,1040.7,963,57.63
2025-12-30,1050.9,1050.9,1020.0,1030.3,2878,57.02
2025-12-31,1010.0,1043.9,1010.0,1038.4,1195,55.98
2026-01-01,1037.1,1045.0,1034.2,1043.0,887,57.61
2026-01-02,1049.0,1049.0,1023.4,1042.6,2161,64.23
2026-01-05,1042.6,1050.0,1017.0,1025.0,3113,67.59
2026-01-06,1024.0,1028.4,992.5,1010.4,8139,65.16
2026-01-07,1010.0,1045.0,998.5,1009.9,6210,63.61
2026-01-08,1022.5,1028.5,1015.0,1019.2,1566,69.54
2026-01-09,1019.9,1023.3,1001.3,1011.8,1663,58.87
2026-01-12,1005.7,1012.0,997.3,1005.3,1345,73.98
2026-01-13,1005.3,1013.4,997.1,998.2,1539,82.72
2026-01-14,998.9,1018.9,981.1,1003.8,1693,62.26
2026-01-15,998.9,1018.9,981.1,1003.8,1693,62.26
2026-01-16,1003.4,1010.0,990.0,997.6,1940,60.62
2026-01-19,990.0,1025.7,990.0,1007.4,3173,71.04
2026-01-20,1017.0,1017.0,991.1,1002.9,1891,65.52
2026-01-21,1004.0,1070.0,997.1,1032.3,6849,63.16
2026-01-22,1005.3,1059.8,1001.0,1046.8,6337,55.07
2026-01-23,1046.9,1128.1,1036.6,1072.9,14926,67.02
2026-01-26,1046.9,1128.1,1036.6,1072.9,14926,67.02
2026-01-27,1090.0,1091.8,1048.8,1073.4,12792,61.52
2026-01-28,1082.9,1095.5,1066.2,1087.3,10133,86.26
2026-01-29,1045.0,1100.0,1045.0,1092.7,13092,76.47
2026-01-30,1072.4,1091.0,1044.1,1086.5,10794,73.26
2026-02-02,1049.9,1080.0,1040.1,1067.4,5568,75.45
2026-02-03,1078.0,1089.8,1051.2,1083.4,2940,61.9
2026-02-04,1085.3,1111.0,1049.9,1065.5,6072,72.46
2026-02-05,1062.0,1075.0,1062.0,1071.0,887,76.21
2026-02-06,1076.4,1077.9,1060.4,1062.6,1271,78.6
2026-02-09,1069.5,1074.9,1052.0,1064.7,2190,65.25
2026-02-10,1071.5,1072.4,1059.0,1064.3,1047,65.81
2026-02-11,1065.8,1083.9,1050.0,1062.0,2483,61.66
2026-02-12,1062.0,1073.8,1040.0,1044.4,3385,58.23
2026-02-13,1050.0,1059.9,1035.0,1051.4,2390,74.23
2026-02-16,1040.0,1070.9,1033.2,1063.5,1038,60.5
2026-02-17,1055.1,1068.0,1051.5,1055.1,1530,59.08
2026-02-18,1056.8,1064.0,1050.0,1055.3,1011,58.16
2026-02-19,1058.1,1061.3,1011.3,1017.6,3896,62.42
2026-02-20,1018.2,1041.7,1018.2,1024.4,1750,53.43
2026-02-23,1018.1,1041.9,1018.1,1036.0,1930,62.12
2026-02-24,1030.7,1059.5,1026.0,1045.1,1672,53.65
2026-02-25,1052.5,1052.5,1038.2,1048.6,1030,77.57
2026-02-26,1048.6,1055.7,1044.4,1050.8,1350,63.78
2026-02-27,1040.1,1051.9,1032.3,1043.6,925,39.46
2026-03-02,1024.0,1039.2,1002.2,1024.5,2069,74.82
2026-03-03,1024.0,1039.2,1002.2,1024.5,2069,74.82
2026-03-04,1032.0,1041.0,985.0,1034.5,2475,67.68
2026-03-05,1010.0,1055.8,1000.6,1033.9,5692,82.08
2026-03-06,1033.9,1045.0,1015.1,1027.1,937,39.7
2026-03-09,1021.1,1039.0,992.1,1026.2,2366,66.27
2026-03-10,1035.9,1035.9,1008.2,1021.8,2300,68.87
2026-03-11,1022.2,1069.6,1011.3,1023.1,2998,69.71
2026-03-12,1023.1,1036.5,1010.2,1018.4,1120,70.18
2026-03-13,1018.5,1038.0,992.0,1000.7,2372,75.8
2026-03-16,1004.0,1005.6,986.5,995.6,1564,59.21
2026-03-17,1001.4,1002.3,977.5,984.1,5886,77.88
2026-03-18,991.9,1039.0,982.1,1022.4,3436,67.37
2026-03-19,1035.0,1035.0,992.1,994.5,742,64.29
2026-03-20,1000.0,1015.5,991.0,995.6,1279,59.97
2026-03-23,1002.1,1004.0,955.6,966.2,2592,66.59
2026-03-24,977.7,993.1,974.0,975.2,2180,69.77
2026-03-25,976.0,1012.6,976.0,991.9,1390,60.86
2026-03-26,976.0,1012.6,976.0,991.9,1390,60.86
2026-03-27,991.9,991.9,966.2,971.3,3375,65.72
2026-03-30,956.9,973.0,928.0,951.2,4233,58.47
2026-03-31,956.9,973.0,928.0,951.2,4233,58.47
2026-04-01,1000.0,1010.0,955.3,975.55,3224,58.84
2026-04-02,966.15,974.55,957.8,970.4,1072,64.83
2026-04-03,966.15,974.55,957.8,970.4,1072,64.83
2026-04-06,997.0,997.0,970.2,985.5,962,71.31
2026-04-07,985.85,995.95,979.0,985.7,2017,78.83
2026-04-08,1024.3,1039.95,988.6,998.05,3205,87.52
2026-04-09,1000.7,1008.45,994.45,1002.6,2279,87.63
2026-04-10,1002.6,1027.0,999.4,1012.95,2178,61.39
2026-04-13,1000.0,1010.7,999.0,1002.4,994,47.89
