DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,247.55,248.55,234.55,237.89,3328,81.25
2025-04-15,240.0,244.0,238.1,242.98,3129,76.35
2025-04-16,246.0,249.0,241.17,245.98,8656,82.97
2025-04-17,246.7,249.0,241.8,246.22,2728,53.63
2025-04-21,243.54,254.88,243.54,252.66,2781,71.05
2025-04-22,257.0,303.19,250.9,287.3,100934,33.74
2025-04-23,287.0,293.3,274.0,280.38,37160,64.87
2025-04-24,271.5,336.45,271.5,298.99,97790,29.88
2025-04-25,298.99,317.0,298.73,305.43,37233,52.43
2025-04-28,306.5,323.45,306.5,321.14,29270,79.31
2025-04-29,316.3,323.0,312.15,316.78,9963,61.07
2025-04-30,309.0,314.49,293.01,300.4,5893,58.85
2025-05-02,292.45,330.6,291.9,307.6,12135,32.07
2025-05-05,308.2,317.75,305.0,312.3,4360,67.55
2025-05-06,312.3,318.6,297.0,298.1,2965,61.38
2025-05-07,293.6,303.15,293.6,299.7,1734,57.32
2025-05-08,299.9,314.0,292.0,302.8,2076,28.08
2025-05-09,280.9,299.95,280.9,292.2,1618,48.52
2025-05-12,300.95,320.15,294.8,314.25,8199,58.01
2025-05-13,314.2,329.0,313.1,317.5,7661,52.7
2025-05-14,317.0,327.05,310.2,323.9,8897,65.95
2025-05-15,325.0,340.0,316.05,319.9,16181,47.03
2025-05-16,319.8,329.45,316.45,320.05,14339,67.66
2025-05-19,318.0,341.0,315.55,339.5,19722,61.94
2025-05-20,345.0,384.0,340.0,342.45,99232,40.42
2025-05-21,352.1,360.15,340.25,352.95,12311,59.77
2025-05-22,355.0,362.5,332.55,336.4,17981,43.13
2025-05-23,340.4,359.65,330.9,356.95,26835,62.68
2025-05-26,361.9,370.5,347.2,352.1,12420,43.43
2025-05-27,354.1,362.5,347.05,348.55,10245,44.15
2025-05-28,347.55,354.75,343.1,344.75,5612,49.43
2025-05-29,346.5,356.9,340.0,352.8,7466,53.51
2025-05-30,351.1,379.7,340.0,343.35,60861,29.33
2025-06-02,346.0,355.0,342.05,343.5,10892,66.48
2025-06-03,346.5,350.45,329.2,346.05,16375,76.69
2025-06-04,348.7,348.7,335.1,341.35,7366,41.18
2025-06-05,342.55,345.0,330.0,333.8,10146,44.11
2025-06-06,333.8,337.8,330.3,333.05,7322,34.83
2025-06-09,336.15,344.2,330.3,340.6,6650,58.72
2025-06-10,343.0,358.5,343.0,346.0,8295,52.16
2025-06-11,351.2,352.15,337.7,340.6,13111,58.52
2025-06-12,343.4,347.0,326.0,328.7,6138,63.96
2025-06-13,325.4,337.9,322.0,334.5,6248,51.89
2025-06-16,337.45,342.0,328.1,329.85,10253,51.34
2025-06-17,331.45,332.65,305.0,307.5,16544,47.24
2025-06-18,314.25,318.7,288.15,293.65,16951,59.09
2025-06-19,293.7,298.5,279.8,281.25,13172,65.91
2025-06-20,281.4,334.7,278.4,318.5,187416,20.65
2025-06-23,314.4,329.8,304.4,316.7,25564,34.03
2025-06-24,320.0,362.5,320.0,332.85,302512,11.02
2025-06-25,331.1,347.0,327.0,333.7,30262,31.82
2025-06-26,330.35,333.65,315.0,316.65,21885,46.85
2025-06-27,316.65,320.65,312.25,315.0,9037,39.37
2025-06-30,316.85,323.45,304.8,306.9,27062,58.2
