DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,853.95,858.0,827.0,850.9,202034,52.47
2025-04-15,865.0,889.75,852.05,882.95,514333,43.52
2025-04-16,891.1,891.1,838.05,848.15,390802,46.41
2025-04-17,855.3,879.9,849.55,872.15,257069,47.58
2025-04-21,872.0,915.0,869.75,878.85,547827,53.24
2025-04-22,886.0,897.0,869.6,877.15,278050,52.23
2025-04-23,880.0,886.45,856.25,869.85,256402,54.12
2025-04-24,875.85,890.0,870.0,887.7,163889,52.46
2025-04-25,896.05,908.0,852.65,888.45,281529,47.09
2025-04-28,890.0,897.95,857.0,862.6,156629,46.46
2025-04-29,862.1,878.95,854.1,858.05,144063,49.45
2025-04-30,863.7,873.0,847.0,866.75,149351,49.47
2025-05-02,875.0,900.0,851.8,859.2,157845,47.02
2025-05-05,866.05,878.0,858.5,869.1,147664,61.04
2025-05-06,868.0,873.85,847.6,853.8,151467,47.36
2025-05-07,833.0,863.1,829.5,855.1,102920,36.82
2025-05-08,855.0,866.75,835.6,850.75,125103,49.22
2025-05-09,845.0,875.0,831.05,850.05,117884,45.22
2025-05-12,927.7,938.0,891.0,907.2,661565,49.59
2025-05-13,905.0,913.45,890.4,898.7,155130,52.47
2025-05-14,905.0,905.0,870.1,874.0,148455,52.5
2025-05-15,890.9,907.35,876.0,886.9,197180,51.0
2025-05-16,898.0,898.0,875.75,882.2,251312,72.59
2025-05-19,890.0,898.0,861.95,886.25,314258,59.86
2025-05-20,888.8,892.0,866.0,870.5,201693,43.32
2025-05-21,874.8,878.05,861.45,872.0,81698,53.4
2025-05-22,875.0,875.0,837.0,849.15,257670,69.94
2025-05-23,837.55,891.95,837.55,877.3,243019,52.15
2025-05-26,886.3,889.2,865.0,867.05,101812,56.93
2025-05-27,866.0,878.0,858.0,860.5,101616,58.07
2025-05-28,880.0,883.0,871.05,879.65,403786,70.88
2025-05-29,884.4,889.95,874.0,879.05,397202,78.32
2025-05-30,884.0,884.0,867.6,873.35,111384,66.09
2025-06-02,873.35,888.0,863.25,866.95,124845,56.58
2025-06-03,875.0,880.0,842.6,852.3,154183,55.19
2025-06-04,850.2,866.6,841.2,862.6,179035,54.84
2025-06-05,870.0,890.4,856.75,882.05,204371,66.28
2025-06-06,891.6,895.75,874.0,882.45,131727,58.17
2025-06-09,892.8,911.0,883.4,886.8,618434,55.81
2025-06-10,898.0,902.0,883.4,885.75,431946,66.0
2025-06-11,893.75,897.0,876.05,882.9,167059,58.63
2025-06-12,887.4,907.95,881.0,886.45,372217,59.1
2025-06-13,879.9,885.0,866.0,883.15,130652,43.89
2025-06-16,883.15,888.0,873.15,882.0,125937,62.93
2025-06-17,887.5,889.2,860.7,863.25,109711,58.06
2025-06-18,863.25,878.0,853.0,874.05,84710,55.89
2025-06-19,879.7,890.8,866.45,871.25,134457,55.45
2025-06-20,869.0,884.0,865.0,882.05,94253,53.92
2025-06-23,865.0,895.0,865.0,879.25,210291,62.34
2025-06-24,885.0,890.5,883.85,886.8,79506,58.17
2025-06-25,891.0,895.0,865.0,876.15,119890,56.24
2025-06-26,876.15,889.95,867.65,881.45,65847,50.97
2025-06-27,881.45,887.8,870.3,877.4,73740,55.63
2025-06-30,885.55,887.0,872.45,880.5,175142,63.51
2025-07-01,884.9,887.3,850.0,869.7,232498,59.79
2025-07-02,878.0,880.1,863.75,874.75,107625,59.95
2025-07-03,880.0,880.0,864.05,876.15,82561,48.25
2025-07-04,876.0,891.85,868.3,876.85,122983,38.02
2025-07-07,878.8,885.0,860.0,882.05,93139,53.77
2025-07-08,886.0,886.0,847.55,879.35,7049477,74.64
2025-07-09,891.0,944.5,884.95,937.65,1000991,48.76
2025-07-10,937.65,966.0,937.65,955.35,577762,38.0
2025-07-11,955.85,967.45,938.1,961.6,198530,39.31
2025-07-14,962.0,963.7,938.65,942.9,113642,45.31
2025-07-15,949.9,973.5,946.0,957.1,174484,44.85
2025-07-16,957.0,982.3,951.3,968.05,334945,51.22
2025-07-17,974.65,979.0,959.5,972.25,135719,53.2
2025-07-18,973.0,979.9,956.05,973.65,126274,47.9
2025-07-21,980.0,1011.75,968.0,1002.1,443894,70.95
2025-07-22,1009.95,1011.0,975.0,977.4,172690,50.62
2025-07-23,979.65,985.2,957.0,959.7,161818,57.14
2025-07-24,959.7,967.95,942.8,948.75,92621,49.44
2025-07-25,948.75,958.15,924.45,935.05,137556,55.33
2025-07-28,934.95,937.9,898.8,908.95,216947,57.11
2025-07-29,911.0,923.75,899.25,910.9,173159,51.07
2025-07-30,910.9,925.35,907.0,919.65,95698,57.85
2025-07-31,911.0,924.5,903.0,916.9,123184,54.61
2025-08-01,919.6,933.7,895.0,903.75,231954,57.18
2025-08-04,902.5,918.9,886.35,914.25,120372,53.5
2025-08-05,924.0,929.55,905.9,923.4,124529,46.7
2025-08-06,930.0,932.0,901.0,908.75,108298,55.24
2025-08-07,913.5,917.9,864.7,868.55,167687,57.26
2025-08-08,900.0,975.0,894.05,931.45,2149635,34.0
2025-08-11,933.0,940.0,908.0,917.9,153461,49.29
2025-08-12,915.1,926.95,909.0,923.05,151064,32.12
2025-08-13,923.05,950.9,920.0,933.0,384674,56.1
2025-08-14,931.1,936.2,910.0,918.2,142152,66.6
2025-08-18,931.0,947.45,903.0,910.75,181831,52.71
2025-08-19,913.0,920.25,904.3,916.45,96673,55.52
2025-08-20,925.0,925.0,912.0,917.55,77388,59.66
2025-08-21,920.0,922.05,914.0,918.2,73993,68.74
2025-08-22,925.0,925.05,896.95,904.55,179803,70.88
2025-08-25,912.75,943.0,912.75,931.15,330198,53.06
2025-08-26,925.0,925.0,906.05,909.9,179950,63.39
2025-08-28,920.0,962.45,906.05,952.1,601940,52.21
2025-08-29,949.1,968.75,937.6,942.15,485544,40.57
2025-09-01,941.0,948.15,897.7,904.85,367872,63.39
2025-09-02,902.0,915.45,898.4,909.35,540574,76.63
2025-09-03,918.4,918.4,892.5,900.95,201262,65.03
2025-09-04,902.0,920.6,902.0,911.5,100132,47.95
2025-09-05,911.55,915.0,892.0,898.45,119662,58.77
2025-09-08,905.0,911.0,891.1,899.75,176667,53.71
2025-09-09,895.0,901.75,882.1,887.0,80539,58.53
2025-09-10,883.0,893.75,880.1,888.5,86768,55.67
2025-09-11,881.0,889.3,878.55,884.2,118733,59.48
2025-09-12,888.0,888.0,865.6,875.05,180556,59.66
2025-09-15,875.05,880.35,864.9,875.95,144120,60.35
2025-09-16,875.0,899.0,874.9,891.95,193224,61.35
2025-09-17,890.15,898.4,883.0,892.8,171139,74.2
2025-09-18,889.1,912.15,889.1,904.75,117501,52.56
2025-09-19,905.9,914.75,885.7,890.95,161683,63.41
2025-09-22,891.05,904.45,885.75,893.8,145703,59.85
2025-09-23,894.0,904.45,871.05,883.0,137804,51.27
2025-09-24,882.8,900.65,876.25,890.15,107813,54.73
2025-09-25,892.95,892.95,861.5,864.8,423596,75.79
2025-09-26,863.0,882.65,856.0,868.25,204903,61.69
2025-09-29,868.0,873.2,854.2,865.5,280116,52.41
2025-09-30,874.9,880.0,860.9,872.5,210033,53.59
2025-10-01,876.0,879.95,850.1,864.6,281554,62.07
2025-10-03,874.0,880.15,865.15,878.4,78550,57.32
2025-10-06,878.4,880.9,865.75,876.65,97953,63.05
2025-10-07,881.65,891.55,871.0,889.4,167759,69.68
2025-10-08,883.1,903.6,882.5,891.0,168409,67.34
2025-10-09,896.55,896.65,872.65,886.5,78273,54.02
2025-10-10,890.0,890.0,874.95,880.55,44305,58.41
2025-10-13,879.0,895.75,877.95,892.75,60188,54.07
2025-10-14,895.0,897.0,882.0,886.05,66176,53.9
2025-10-15,884.55,896.2,880.2,893.05,120717,77.53
2025-10-16,891.15,896.05,866.5,870.1,72125,64.23
2025-10-17,870.0,874.6,861.2,865.05,113705,72.77
2025-10-20,865.1,887.5,863.05,883.3,89151,56.07
2025-10-21,895.0,901.0,881.25,896.3,28241,60.18
2025-10-22,895.0,901.0,881.25,896.3,28241,60.18
2025-10-23,910.0,910.1,885.0,889.3,99052,72.93
2025-10-24,898.0,898.2,876.05,879.8,58715,58.87
2025-10-27,885.0,885.45,872.0,877.1,46459,58.83
2025-10-28,877.5,885.0,867.0,872.0,45308,65.17
2025-10-29,874.8,883.8,865.0,880.95,62089,66.0
2025-10-30,872.0,888.8,869.0,880.1,352236,88.71
2025-10-31,881.0,895.0,875.65,883.85,116424,62.96
2025-11-03,883.85,896.0,877.75,886.7,85437,65.26
2025-11-04,894.6,895.0,880.0,886.6,96669,61.35
2025-11-05,894.6,895.0,880.0,886.6,96669,61.35
2025-11-06,893.05,894.95,835.55,845.95,413598,62.21
2025-11-07,846.05,887.9,835.0,873.25,263174,52.42
2025-11-10,873.2,886.15,849.95,856.3,289474,65.07
2025-11-11,852.0,869.0,838.5,843.75,198322,71.25
2025-11-12,844.0,863.0,839.45,844.4,495454,69.73
2025-11-13,842.0,861.5,841.95,855.35,362957,75.96
2025-11-14,848.0,880.8,846.55,874.6,111104,51.57
2025-11-17,874.0,902.0,868.25,895.25,154943,55.05
2025-11-18,895.0,924.0,891.05,918.95,566379,56.82
2025-11-19,914.0,915.35,882.6,888.85,159485,65.42
2025-11-20,889.9,901.2,882.85,895.6,86534,51.01
2025-11-21,887.15,900.15,874.7,879.45,106984,52.04
2025-11-24,888.0,888.0,868.05,876.95,174013,63.0
2025-11-25,877.1,886.0,850.0,861.4,111151,51.43
2025-11-26,861.5,881.4,855.95,878.85,169559,53.38
2025-11-27,876.0,879.75,865.9,870.05,60080,52.41
2025-11-28,872.65,885.55,861.1,880.65,54381,55.67
2025-12-01,879.0,883.3,864.5,868.3,65327,59.08
2025-12-02,866.55,875.0,857.3,863.95,79134,60.34
2025-12-03,870.0,874.0,850.0,863.1,75263,54.7
2025-12-04,856.3,865.65,842.95,853.35,118513,63.21
2025-12-05,846.2,856.15,843.6,852.65,144552,63.39
2025-12-08,852.7,865.0,839.05,849.55,77918,58.6
2025-12-09,843.0,862.75,831.55,849.2,116418,58.3
2025-12-10,846.0,862.0,842.0,848.1,68839,63.83
2025-12-11,855.4,860.0,840.85,856.95,60324,58.59
2025-12-12,855.0,865.0,854.7,859.9,47540,63.14
2025-12-15,860.0,864.0,852.0,859.65,116322,67.43
2025-12-16,856.0,865.0,852.0,860.05,40854,60.89
2025-12-17,855.0,862.1,838.05,847.25,82637,53.92
2025-12-18,846.15,849.45,825.45,831.8,225781,59.28
2025-12-19,832.0,836.0,822.7,831.3,89584,58.31
2025-12-22,832.0,842.0,809.9,823.9,143767,54.45
2025-12-23,832.15,841.9,823.9,837.95,113109,61.64
2025-12-24,838.0,839.9,814.8,817.15,79725,54.73
2025-12-25,838.0,839.9,814.8,817.15,79725,54.73
2025-12-26,817.15,822.05,800.15,810.35,248847,51.38
2025-12-29,803.0,822.35,803.0,809.45,112393,64.59
2025-12-30,809.45,816.25,801.0,809.8,114959,60.52
2025-12-31,805.0,811.9,800.2,803.85,92471,63.48
2026-01-01,801.0,819.4,800.45,817.05,79913,48.17
2026-01-02,823.95,838.3,814.75,820.25,118740,49.08
2026-01-05,816.0,825.9,806.8,817.3,133124,60.95
2026-01-06,815.0,840.55,808.2,814.4,1038813,65.4
2026-01-07,815.0,820.0,810.05,815.9,73289,61.12
2026-01-08,815.9,820.0,810.0,814.1,75007,66.52
2026-01-09,810.05,816.3,776.8,785.4,118735,47.56
2026-01-12,785.0,786.0,767.65,779.9,119957,55.56
2026-01-13,779.95,788.05,774.55,783.6,135767,64.46
2026-01-14,784.3,788.0,779.75,784.1,104305,65.33
2026-01-15,784.3,788.0,779.75,784.1,104305,65.33
2026-01-16,787.1,789.8,764.0,775.6,265625,69.27
2026-01-19,775.55,776.5,756.0,760.75,126809,52.22
2026-01-20,759.85,771.3,750.1,758.5,197345,53.66
2026-01-21,752.1,758.0,742.9,751.85,217010,62.73
2026-01-22,756.0,794.6,747.0,780.7,281373,57.9
2026-01-23,785.0,789.2,770.2,776.6,232217,77.73
2026-01-26,785.0,789.2,770.2,776.6,232217,77.73
2026-01-27,773.7,787.95,750.0,765.25,130850,54.87
2026-01-28,760.0,769.45,746.1,751.25,560601,67.17
2026-01-29,753.0,784.55,752.1,776.4,181051,61.46
2026-01-30,770.05,806.0,762.05,802.55,114438,55.04
2026-02-02,811.1,811.1,768.9,790.3,127492,49.77
2026-02-03,805.0,824.0,794.25,799.3,272820,75.47
2026-02-04,807.05,814.8,786.0,810.2,99462,51.25
2026-02-05,814.0,814.0,776.3,783.35,72218,55.63
2026-02-06,780.1,799.0,776.25,790.55,57810,52.23
2026-02-09,727.35,778.35,726.55,750.05,614687,43.65
2026-02-10,755.0,782.9,750.2,762.05,228037,56.65
2026-02-11,758.0,775.0,747.1,759.65,129642,62.58
2026-02-12,758.3,770.1,734.4,742.15,398934,73.88
2026-02-13,735.9,755.95,730.0,737.4,141216,55.7
2026-02-16,737.4,744.85,717.55,726.8,127471,47.25
2026-02-17,723.95,745.8,718.45,736.5,87563,56.56
2026-02-18,734.0,759.55,733.7,747.3,144720,71.8
2026-02-19,753.25,753.25,719.5,734.7,211830,52.43
2026-02-20,730.0,736.15,716.2,722.6,290325,63.0
2026-02-23,730.0,730.0,713.1,719.1,92084,68.21
2026-02-24,719.1,723.7,709.55,714.15,96433,60.71
2026-02-25,725.0,733.0,712.9,719.05,128684,56.17
2026-02-26,722.6,737.6,718.2,733.8,81836,68.07
2026-02-27,734.95,739.85,722.65,733.5,46685,61.39
2026-03-02,704.9,750.0,704.9,727.15,154473,55.53
2026-03-03,704.9,750.0,704.9,727.15,154473,55.53
2026-03-04,721.55,721.55,686.05,695.35,249258,62.6
2026-03-05,698.9,718.35,683.75,700.1,314015,65.84
2026-03-06,699.0,699.15,680.35,689.55,71098,58.17
2026-03-09,686.55,689.95,653.2,682.8,197422,61.16
2026-03-10,682.9,710.75,682.9,704.1,98937,56.59
2026-03-11,705.65,718.9,700.3,712.85,110467,57.84
2026-03-12,710.5,710.5,673.9,689.9,162962,57.43
2026-03-13,689.95,693.95,675.5,689.65,108172,59.83
2026-03-16,704.0,707.0,683.3,702.65,211267,54.37
2026-03-17,699.0,701.9,690.0,694.25,132457,56.82
2026-03-18,697.7,764.5,691.3,752.55,266989,56.14
2026-03-19,741.25,741.25,711.0,719.95,177830,69.36
2026-03-20,715.05,785.0,683.15,686.15,125833,44.69
2026-03-23,685.0,690.05,654.5,667.5,147261,54.69
2026-03-24,690.0,715.0,660.85,711.3,133017,50.74
2026-03-25,711.3,765.0,700.0,753.8,195164,51.03
2026-03-26,711.3,765.0,700.0,753.8,195164,51.03
2026-03-27,746.05,750.85,715.0,736.9,264347,45.51
2026-03-30,729.7,759.95,704.75,754.65,193638,56.42
2026-03-31,729.7,759.95,704.75,754.65,193638,56.42
2026-04-01,750.0,763.3,741.0,755.25,169977,58.15
2026-04-02,735.0,770.0,727.05,763.25,37369,33.25
2026-04-03,735.0,770.0,727.05,763.25,37369,33.25
2026-04-06,755.1,800.3,755.1,777.45,149736,62.16
2026-04-07,777.0,777.4,750.1,758.85,67944,40.9
2026-04-08,776.0,776.35,753.0,761.3,157978,65.22
2026-04-09,755.0,771.25,748.55,764.05,152665,59.75
2026-04-10,770.85,781.45,763.0,774.35,112523,63.17
2026-04-13,768.0,782.0,762.75,776.5,144263,56.08
2026-04-14,768.0,782.0,762.75,776.5,144263,56.08
2026-04-15,775.5,803.2,775.5,794.8,120027,51.86
2026-04-16,805.0,821.0,795.25,809.95,93007,58.29
2026-04-17,819.9,822.5,799.2,803.25,59946,53.83
2026-04-20,808.0,808.0,793.7,803.5,60883,51.52
2026-04-21,800.05,825.0,800.05,821.35,58787,51.21
2026-04-22,826.05,828.85,801.05,811.45,42576,54.6
2026-04-23,816.4,816.4,800.1,805.9,24907,48.94
2026-04-24,805.9,817.35,799.7,809.7,40847,53.68
2026-04-27,806.0,823.05,801.6,819.8,95888,55.79
2026-04-28,819.8,827.7,804.1,812.8,163349,76.87
2026-04-29,822.85,830.0,805.75,820.05,76793,53.6
2026-04-30,820.05,828.0,797.8,809.6,106335,44.59
2026-05-01,820.05,828.0,797.8,809.6,106335,44.59
2026-05-04,825.6,836.35,808.75,824.15,188940,44.91
2026-05-05,828.0,843.15,822.55,835.9,185958,55.51
2026-05-06,835.9,858.0,831.2,839.9,203777,70.58
2026-05-07,839.0,851.65,833.25,840.0,110872,70.38
2026-05-08,838.0,853.95,833.0,836.3,160370,70.61
2026-05-11,838.25,844.45,829.0,836.1,81793,62.73
2026-05-12,829.05,850.0,828.4,831.8,89872,69.95
2026-05-13,829.1,849.85,826.0,833.9,289982,81.19
2026-05-14,833.9,844.4,829.15,835.15,76750,66.41
2026-05-15,831.6,843.75,825.8,826.55,50068,72.84
2026-05-18,810.6,824.05,790.0,793.05,46630,55.76
2026-05-19,799.0,799.0,774.0,778.8,56893,52.6
2026-05-20,770.0,789.0,763.1,779.75,46818,51.82
2026-05-21,775.0,800.0,775.0,790.1,146199,80.34
2026-05-22,792.85,799.9,781.55,784.75,28813,42.11
2026-05-25,790.0,790.0,777.05,779.8,42738,59.36
2026-05-26,779.5,786.3,772.65,780.3,53360,53.34
2026-05-27,777.3,792.9,771.0,787.3,49971,55.81
2026-05-28,777.3,792.9,771.0,787.3,49971,55.81
2026-05-29,787.3,800.0,749.7,763.85,209699,63.67
2026-06-01,764.1,779.0,750.4,755.3,42422,54.96
2026-06-02,755.3,780.0,736.5,772.6,58701,57.56
2026-06-03,769.0,788.0,755.15,780.65,51938,55.06
2026-06-04,779.95,779.95,755.4,761.25,50105,59.8
2026-06-05,772.0,772.0,750.0,756.7,26355,60.02
2026-06-08,756.7,759.95,735.0,740.7,22182,55.12
2026-06-09,744.8,758.0,734.9,740.2,24353,47.77
2026-06-10,745.0,754.15,734.9,737.35,25986,55.69
2026-06-11,744.0,744.0,723.0,728.15,30783,50.07
2026-06-12,739.0,830.0,730.0,793.4,673060,66.4
2026-06-15,790.0,796.5,774.55,779.85,60216,49.52
2026-06-16,779.9,797.15,772.9,786.95,102154,52.84
2026-06-17,790.85,796.95,766.0,769.2,104992,64.45
2026-06-18,767.6,785.1,762.1,768.2,48068,55.53
2026-06-19,759.95,794.0,759.9,784.35,171370,60.16
2026-06-22,784.35,789.95,773.6,777.4,33657,61.44
2026-06-23,783.65,783.65,758.0,772.15,73919,57.86
2026-06-24,770.0,786.45,765.05,782.75,34904,58.96
2026-06-25,780.2,789.0,765.0,768.75,76293,50.76
2026-06-26,780.2,789.0,765.0,768.75,76293,50.76
2026-06-29,769.9,775.95,755.75,766.85,174801,52.74
2026-06-30,773.0,789.0,761.8,769.35,115447,53.31
2026-07-01,772.9,775.0,755.85,760.3,67152,59.73
