DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,16.86,16.89,16.2,16.25,9054103,45.92
2025-04-15,16.63,17.47,16.42,17.42,14009480,59.57
2025-04-16,17.45,17.59,17.25,17.38,6289529,40.6
2025-04-17,17.34,17.78,17.25,17.66,8972770,54.31
2025-04-21,17.78,18.1,17.43,18.01,8107740,52.87
2025-04-22,18.07,18.55,17.82,18.3,8706667,46.03
2025-04-23,18.39,18.48,17.78,18.12,8507896,45.19
2025-04-24,18.15,18.56,17.99,18.34,8956907,47.59
2025-04-25,18.35,18.41,17.22,17.51,10649809,46.23
2025-04-28,17.43,17.76,17.22,17.63,5002069,38.05
2025-04-29,17.66,18.03,17.55,17.58,4401413,38.68
2025-04-30,17.5,17.65,16.94,17.03,7168459,53.8
2025-05-02,17.03,17.38,16.87,17.17,7829759,38.11
2025-05-05,17.24,17.68,16.99,17.49,5034545,38.1
2025-05-06,17.4,17.59,16.52,16.58,7466056,56.52
2025-05-07,16.27,16.9,16.09,16.8,8141288,48.2
2025-05-08,17.0,17.36,16.63,16.71,6015138,36.47
2025-05-09,16.0,16.64,16.0,16.47,7494548,45.65
2025-05-12,17.45,17.74,17.15,17.61,7638560,46.3
2025-05-13,17.8,18.3,17.58,17.95,8743143,37.39
2025-05-14,17.97,18.43,17.94,18.35,6053282,39.49
2025-05-15,18.35,18.79,18.35,18.54,6004732,45.09
2025-05-16,18.61,19.09,18.59,18.94,6050947,51.8
2025-05-19,19.0,19.95,19.0,19.67,11735963,51.55
2025-05-20,19.99,20.08,19.0,19.04,8670211,47.64
2025-05-21,19.05,19.6,18.69,19.41,8230372,31.15
2025-05-22,19.4,19.6,19.05,19.18,4342424,40.75
2025-05-23,19.18,20.5,19.01,20.16,15044935,44.18
2025-05-26,20.38,20.95,19.85,20.02,23473322,41.6
2025-05-27,20.45,20.45,19.83,20.22,10090164,35.43
