DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,282.4,292.9,282.4,292.3,5237,42.6
2025-04-15,294.9,300.35,292.95,296.65,8245,63.51
2025-04-16,296.65,306.0,296.65,303.5,11579,42.99
2025-04-17,307.0,307.0,301.0,302.45,6491,69.42
2025-04-21,300.2,306.05,299.5,303.9,10834,76.44
2025-04-22,302.0,306.9,301.1,303.5,7282,45.5
2025-04-23,303.5,309.0,302.55,304.5,9512,66.08
2025-04-24,306.1,308.6,302.1,305.45,9958,67.4
2025-04-25,305.45,305.95,295.05,302.45,11545,43.59
2025-04-28,302.4,305.0,296.05,304.25,7810,54.9
2025-04-29,301.5,305.9,299.05,304.75,5394,61.36
2025-04-30,306.0,306.05,296.5,301.75,6210,59.9
2025-05-02,299.0,309.85,299.0,303.25,28757,62.03
2025-05-05,313.75,313.75,304.5,306.35,27278,65.21
2025-05-06,306.0,308.0,302.9,305.25,7556,67.79
2025-05-07,298.0,306.85,298.0,300.45,6775,54.67
2025-05-08,302.0,309.8,292.3,293.4,25159,56.66
2025-05-09,293.4,308.45,293.4,302.8,7096,50.47
2025-05-12,315.0,315.0,299.0,305.8,20226,65.62
2025-05-13,315.8,366.95,312.0,351.8,415459,19.83
2025-05-14,356.95,370.7,347.0,366.85,109550,33.32
2025-05-15,366.0,375.25,358.0,359.7,32472,60.35
2025-05-16,366.0,395.9,365.0,376.35,137419,34.76
2025-05-19,379.8,385.95,372.0,382.45,32871,59.71
2025-05-20,383.0,387.0,372.0,377.45,21627,59.13
2025-05-21,379.4,384.9,377.0,383.4,12548,71.22
2025-05-22,379.9,385.15,375.55,383.0,12211,72.83
2025-05-23,389.95,389.95,378.2,382.65,21734,58.52
2025-05-26,388.45,393.0,380.0,386.25,43100,70.92
2025-05-27,382.7,385.0,369.1,374.85,18721,41.06
2025-05-28,374.85,380.0,363.3,368.2,12391,76.04
2025-05-29,370.1,370.1,354.05,359.0,10863,53.12
2025-05-30,362.0,367.95,354.05,357.9,14083,65.04
2025-06-02,362.35,367.2,354.65,366.2,10638,64.78
2025-06-03,370.0,370.0,355.1,359.4,11444,51.91
2025-06-04,356.2,384.0,356.2,378.6,30321,56.04
2025-06-05,379.6,384.9,377.2,382.8,14061,63.85
2025-06-06,379.3,380.9,371.0,372.1,9695,61.18
2025-06-09,390.0,438.0,389.95,400.2,214147,28.07
2025-06-10,402.3,405.7,392.05,397.65,22904,51.51
2025-06-11,399.6,405.05,390.5,391.85,18856,53.66
2025-06-12,389.0,389.0,379.8,381.75,30630,60.36
2025-06-13,372.1,404.0,372.1,391.95,82449,33.03
2025-06-16,394.0,394.0,383.5,388.65,20659,58.98
2025-06-17,390.7,398.35,384.0,386.2,33586,55.72
2025-06-18,386.2,393.15,379.8,381.3,14529,62.07
2025-06-19,377.8,383.95,370.1,370.95,19807,51.93
2025-06-20,367.8,383.0,367.6,378.8,6803,39.29
2025-06-23,378.8,379.95,372.05,374.6,9908,46.21
2025-06-24,379.0,385.0,374.15,377.35,13670,53.62
2025-06-25,379.3,389.55,379.3,384.9,18119,62.22
2025-06-26,385.65,387.9,374.6,377.35,18376,57.54
2025-06-27,379.3,381.0,374.3,379.0,13504,54.64
2025-06-30,379.0,382.0,376.85,379.15,6439,60.75
2025-07-01,381.1,382.8,378.0,379.8,3980,41.73
2025-07-02,376.3,384.6,374.85,379.55,9506,59.53
2025-07-03,373.1,386.55,373.1,381.05,12860,43.76
2025-07-04,383.0,386.0,378.3,381.6,8004,66.08
2025-07-07,384.0,386.0,378.95,380.4,7787,57.84
2025-07-08,382.4,384.45,370.55,374.05,12133,57.71
2025-07-09,370.6,376.75,370.6,374.25,7837,67.26
2025-07-10,376.2,377.95,366.0,367.45,16687,71.01
2025-07-11,369.4,377.0,367.45,372.8,9335,56.21
2025-07-14,374.7,375.85,365.8,369.05,12877,50.94
2025-07-15,371.0,377.6,369.5,374.45,8441,58.31
2025-07-16,374.45,388.6,373.75,385.65,15554,65.8
2025-07-17,387.7,400.0,386.05,393.95,20963,58.03
2025-07-18,397.8,435.0,397.2,423.6,226892,29.09
2025-07-21,429.45,440.25,425.7,438.25,55732,51.25
2025-07-22,439.55,466.0,424.0,448.55,149908,28.26
2025-07-23,518.55,538.25,512.65,538.25,1736049,23.75
2025-07-24,569.0,592.05,540.1,592.05,1507093,22.83
2025-07-25,595.0,598.0,540.0,564.2,390085,37.55
2025-07-28,558.0,580.0,542.25,566.55,155758,41.38
2025-07-29,578.0,623.2,575.2,623.2,409811,44.09
2025-07-30,630.0,634.4,601.0,611.35,153462,44.0
2025-07-31,605.05,608.15,561.55,592.2,188009,46.5
2025-08-01,596.8,597.3,538.5,549.1,92612,64.72
2025-08-04,548.0,558.9,520.5,553.3,114790,46.27
2025-08-05,555.0,555.0,525.55,535.3,37968,60.5
2025-08-06,535.35,588.8,526.0,558.9,332847,27.21
2025-08-07,562.7,574.85,542.0,568.4,85576,45.97
2025-08-08,577.95,587.5,550.15,565.35,111548,36.73
2025-08-11,558.0,562.75,527.05,546.1,93085,50.62
2025-08-12,549.95,594.0,542.85,581.6,165588,39.02
2025-08-13,586.0,639.75,575.05,639.75,220041,62.23
2025-08-14,656.5,669.05,616.0,627.0,283052,42.12
2025-08-18,634.95,648.3,619.0,641.2,73409,45.42
2025-08-19,645.0,668.0,637.5,655.4,127519,42.57
2025-08-20,664.0,693.3,642.0,675.75,129460,32.97
2025-08-21,688.4,688.4,632.25,642.3,81104,51.65
2025-08-22,645.45,706.5,642.35,677.05,242858,35.69
2025-08-25,706.4,727.7,680.0,686.5,189571,43.46
2025-08-26,688.5,690.7,625.6,631.05,127327,53.53
2025-08-28,645.0,660.95,605.25,642.75,110142,36.22
2025-08-29,640.05,640.05,606.1,613.4,65841,51.73
2025-09-01,612.6,621.95,601.0,606.2,58284,43.44
2025-09-02,606.55,643.0,604.8,623.45,85962,46.33
2025-09-03,621.0,623.4,604.8,611.65,42511,56.97
2025-09-04,621.0,624.8,574.1,597.3,124776,47.35
2025-09-05,600.1,603.95,552.0,558.0,149084,56.33
2025-09-08,568.55,568.55,532.2,533.7,110747,52.71
2025-09-09,534.95,568.0,532.35,542.45,110151,39.77
2025-09-10,555.45,563.9,542.2,552.5,60838,41.93
2025-09-11,558.2,558.2,535.0,537.25,34690,58.29
2025-09-12,544.05,578.5,544.0,562.9,83500,45.92
2025-09-15,567.45,567.6,543.0,555.25,46091,54.07
2025-09-16,558.8,568.45,546.55,558.0,26053,51.71
2025-09-17,560.0,565.0,551.85,562.3,26045,63.48
2025-09-18,567.0,587.55,554.4,561.95,55237,45.95
2025-09-19,565.0,575.0,560.5,567.7,25148,49.81
2025-09-22,560.0,560.0,512.0,515.1,140637,52.49
2025-09-23,529.0,538.0,523.85,533.8,58115,50.98
2025-09-24,537.7,540.95,515.0,518.95,53030,46.68
2025-09-25,522.0,524.45,502.55,504.5,35243,57.66
2025-09-26,504.85,515.0,487.6,508.65,53387,51.18
2025-09-29,510.0,512.5,480.0,486.0,37883,52.07
2025-09-30,492.75,495.65,470.2,473.25,28789,56.33
2025-10-01,482.0,495.0,479.05,493.45,37208,47.17
2025-10-03,497.85,516.0,494.0,507.45,24053,50.14
2025-10-06,517.8,527.0,497.9,522.0,30140,58.72
2025-10-07,530.0,537.45,519.9,525.95,32644,57.11
2025-10-08,527.2,527.2,508.6,510.85,17134,62.62
2025-10-09,513.9,515.6,498.1,503.9,8628,58.87
2025-10-10,508.25,513.8,498.0,500.9,18416,57.72
2025-10-13,496.0,498.0,466.0,483.75,53186,56.38
2025-10-14,473.0,495.85,473.0,484.25,24069,46.76
2025-10-15,490.0,500.0,480.35,487.25,19152,44.59
2025-10-16,493.0,522.0,493.0,504.7,47857,39.61
2025-10-17,509.95,509.95,492.0,500.25,18118,55.7
2025-10-20,518.0,518.0,492.25,498.95,10656,57.1
2025-10-21,509.4,511.95,494.0,499.65,8395,63.95
2025-10-22,509.4,511.95,494.0,499.65,8395,63.95
2025-10-23,509.0,514.95,500.1,505.15,18365,48.51
2025-10-24,513.2,538.45,505.0,531.2,68005,57.67
2025-10-27,539.95,584.3,539.1,577.4,162772,47.94
2025-10-28,583.9,611.0,570.3,594.45,227901,36.25
2025-10-29,653.85,653.85,643.85,653.85,331144,51.74
2025-10-30,665.0,679.8,621.15,638.7,283909,51.92
2025-10-31,650.0,650.0,611.1,618.8,70586,61.57
2025-11-03,618.8,649.45,610.0,629.6,81346,54.0
2025-11-04,622.95,629.6,610.0,611.6,36130,66.08
2025-11-05,622.95,629.6,610.0,611.6,36130,66.08
2025-11-06,610.05,620.95,585.6,594.15,68653,65.04
2025-11-07,590.15,621.0,574.0,619.55,48904,47.81
2025-11-10,619.55,632.0,588.6,607.65,41513,52.3
2025-11-11,606.25,619.95,598.15,612.1,21635,54.85
2025-11-12,612.1,640.55,599.95,619.1,48356,48.49
2025-11-13,619.1,634.0,608.0,609.8,22498,74.69
2025-11-14,609.8,616.35,608.0,612.0,15799,70.0
2025-11-17,624.0,624.0,604.15,608.85,34886,58.63
2025-11-18,621.05,621.05,581.5,586.4,31985,59.82
2025-11-19,590.0,594.0,560.1,567.7,33430,54.59
2025-11-20,580.0,594.0,550.0,564.3,55418,47.86
2025-11-21,564.1,574.0,545.35,550.35,23451,62.54
2025-11-24,558.9,558.9,525.55,531.45,22701,61.74
2025-11-25,542.95,558.0,530.25,558.0,36264,72.9
2025-11-26,558.0,585.9,557.9,585.9,37277,81.47
2025-11-27,615.15,615.15,580.1,606.1,85421,63.37
2025-11-28,612.0,612.0,591.1,603.2,20660,67.52
2025-12-01,611.0,611.2,596.0,602.15,16647,49.11
2025-12-02,597.1,597.15,588.0,593.65,9796,68.37
2025-12-03,597.0,597.0,578.0,581.05,11860,58.95
2025-12-04,583.0,610.1,583.0,606.35,79812,58.3
2025-12-05,612.0,709.0,609.95,682.4,1266570,13.45
2025-12-08,678.85,678.85,627.7,639.65,144985,37.9
