DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,3445.0,3574.8,3384.5,3502.55,18494,46.94
2025-04-15,3509.4,3629.8,3505.0,3544.8,7429,55.07
2025-04-16,3598.0,3598.0,3529.4,3559.9,6024,50.93
2025-04-17,3596.7,3607.5,3512.7,3589.9,14778,54.85
2025-04-21,3589.9,3822.0,3575.9,3757.9,49345,42.5
2025-04-22,3800.0,3814.0,3665.6,3694.4,21760,50.51
2025-04-23,3750.0,3914.7,3680.0,3834.6,44368,47.89
2025-04-24,3834.9,3976.9,3802.1,3825.3,22417,48.49
2025-04-25,3810.0,3841.3,3710.0,3743.5,16173,44.54
2025-04-28,3712.0,3810.1,3704.4,3775.6,10215,40.66
2025-04-29,3775.0,3829.9,3729.8,3769.3,16235,48.41
2025-04-30,3769.3,3842.6,3722.0,3754.9,16311,53.22
2025-05-02,3720.1,3766.0,3695.6,3728.2,11155,44.57
2025-05-05,3730.0,3820.0,3711.0,3784.4,9356,44.63
2025-05-06,3784.4,3784.4,3666.7,3686.6,14365,61.64
2025-05-07,3610.2,3711.0,3610.2,3657.7,15445,54.14
2025-05-08,3651.3,3711.3,3611.0,3627.4,128817,90.84
2025-05-09,3538.1,3617.8,3490.6,3548.1,24951,55.8
2025-05-12,3637.0,3777.7,3635.0,3749.1,14151,54.73
2025-05-13,3748.0,3870.0,3712.5,3834.6,11630,53.96
2025-05-14,3834.6,3921.2,3823.0,3852.0,13887,59.42
2025-05-15,3850.0,3892.0,3826.4,3864.8,9369,61.97
2025-05-16,3864.8,3908.2,3835.0,3866.4,9824,54.24
2025-05-19,3861.0,3955.0,3861.0,3893.8,13811,56.03
2025-05-20,3943.7,3976.0,3862.0,3925.1,22335,61.64
2025-05-21,3925.1,4085.0,3902.8,4028.4,36652,63.21
2025-05-22,4025.0,4085.0,3971.6,3992.6,11892,46.46
2025-05-23,3999.9,4115.8,3983.5,4071.0,18378,58.43
2025-05-26,4125.0,4125.0,4013.2,4023.2,11779,53.99
2025-05-27,4050.0,4074.5,3991.0,4006.0,8065,55.95
2025-05-28,4011.0,4070.0,3998.2,4051.4,7206,55.23
2025-05-29,4140.0,4140.0,3999.0,4026.0,25511,64.69
2025-05-30,4085.0,4179.0,3877.9,3918.8,72957,33.16
2025-06-02,3900.0,3991.4,3829.9,3940.2,21739,47.91
2025-06-03,3945.1,3964.9,3737.0,3801.2,82550,82.43
2025-06-04,3801.3,3831.0,3772.0,3788.9,11442,53.21
2025-06-05,3790.0,3810.0,3759.0,3779.4,116774,94.13
2025-06-06,3780.0,3837.0,3761.0,3800.6,22548,63.38
2025-06-09,3805.0,3820.0,3788.9,3802.1,13399,78.61
2025-06-10,3824.0,3844.7,3796.1,3834.8,10592,66.62
2025-06-11,3834.8,3894.7,3818.2,3877.2,16128,56.4
2025-06-12,3900.0,3903.7,3840.1,3886.2,19984,73.31
2025-06-13,3886.0,3894.5,3807.8,3833.3,8959,46.7
2025-06-16,3833.0,3847.1,3780.0,3831.9,7078,58.0
2025-06-17,3832.0,3859.0,3781.2,3787.9,5663,60.71
2025-06-18,3806.8,3893.0,3745.8,3874.6,16304,60.84
2025-06-19,3835.0,3889.3,3721.1,3746.2,10694,56.67
2025-06-20,3702.0,3774.2,3660.0,3752.2,16596,46.64
2025-06-23,3747.0,3770.0,3705.1,3761.5,6683,59.66
2025-06-24,3776.0,3804.3,3740.5,3748.9,5713,59.39
2025-06-25,3755.0,3810.0,3750.1,3790.9,5954,45.9
2025-06-26,3772.5,3825.0,3765.0,3802.4,6221,51.02
2025-06-27,3838.0,3848.3,3787.2,3801.0,6201,54.38
2025-06-30,3801.0,3890.0,3801.0,3875.0,9301,50.38
