DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,310.65,323.0,306.1,315.55,4805,69.18
2025-04-15,318.4,339.9,318.3,333.6,8557,65.44
2025-04-16,340.0,356.8,329.65,339.8,19608,56.83
2025-04-17,350.05,351.25,336.6,338.85,4498,59.8
2025-04-21,354.0,354.0,330.0,334.45,6633,53.26
2025-04-22,345.9,346.05,334.7,340.3,37282,27.72
2025-04-23,345.35,350.3,337.5,341.6,31073,7.48
2025-04-24,342.15,346.45,335.8,338.85,568,57.75
2025-04-25,340.35,350.0,320.0,332.8,5501,54.79
2025-04-28,352.05,352.05,327.05,331.35,18275,12.94
2025-04-29,325.5,338.95,321.0,326.2,13938,16.26
2025-04-30,331.1,334.95,320.5,321.65,1494,42.1
2025-05-02,326.5,334.6,324.75,328.35,1434,65.34
2025-05-05,334.0,340.0,319.95,328.95,5555,36.96
2025-05-06,327.3,327.3,315.0,318.25,3496,72.65
2025-05-07,319.85,322.2,318.25,320.0,776,60.31
2025-05-08,320.5,347.9,320.5,340.2,8438,80.11
2025-05-09,337.85,345.05,327.0,332.25,5531,77.83
2025-05-12,340.05,350.3,337.8,346.45,36711,38.33
2025-05-13,335.0,346.1,333.05,341.05,66515,30.31
2025-05-14,345.7,361.55,345.0,352.05,36846,41.01
2025-05-15,356.05,367.95,344.95,365.45,3073,76.64
2025-05-16,369.1,371.9,351.05,354.75,3346,72.65
2025-05-19,354.6,360.05,343.75,349.9,24641,10.9
2025-05-20,348.75,359.45,348.75,356.1,997,56.77
2025-05-21,359.95,365.0,344.95,359.35,43329,36.56
2025-05-22,355.9,367.85,353.4,362.7,4896,69.91
2025-05-23,357.3,365.85,357.3,362.0,34283,23.94
2025-05-26,365.7,376.45,365.0,372.7,2526,60.77
2025-05-27,373.45,377.0,363.05,374.55,3262,62.78
2025-05-28,384.4,399.0,377.05,397.2,7346,73.18
2025-05-29,397.2,403.9,388.35,399.1,6315,53.19
2025-05-30,400.0,410.0,351.1,359.3,30351,65.12
2025-06-02,364.0,366.0,352.0,362.4,3925,58.37
2025-06-03,363.5,364.0,348.45,358.85,9400,74.59
2025-06-04,367.8,377.2,360.0,363.3,6651,44.59
2025-06-05,369.0,373.0,355.0,361.65,6357,48.86
2025-06-06,363.5,381.95,363.1,377.4,7171,60.61
2025-06-09,375.55,389.95,366.05,371.85,5640,77.15
2025-06-10,376.65,403.4,369.45,393.5,7449,46.58
2025-06-11,393.5,400.0,380.3,389.35,5650,56.34
2025-06-12,399.95,419.0,390.1,404.55,32991,79.53
2025-06-13,390.85,412.0,385.05,405.8,13674,50.83
2025-06-16,401.85,415.0,395.55,408.4,13869,24.17
2025-06-17,405.1,422.2,405.1,420.3,16415,61.71
2025-06-18,423.0,440.45,410.1,435.3,15272,66.89
2025-06-19,437.45,442.45,424.15,437.85,26887,88.84
2025-06-20,442.75,450.0,432.5,442.6,58973,92.54
2025-06-23,445.95,527.8,439.55,503.8,168805,46.45
2025-06-24,513.85,525.5,498.2,515.75,66482,40.69
2025-06-25,510.0,533.3,502.4,516.2,37696,45.27
2025-06-26,520.0,525.0,501.55,517.15,14426,63.5
2025-06-27,518.8,525.0,511.2,516.6,56659,36.68
2025-06-30,519.1,619.9,501.15,549.35,73048,48.54
2025-07-01,600.0,645.0,574.85,609.8,289833,22.36
2025-07-02,607.0,621.0,570.0,574.15,47219,42.07
2025-07-03,577.0,615.0,550.45,555.75,34293,38.13
2025-07-04,553.1,580.0,550.5,575.45,22197,57.11
2025-07-07,574.4,584.7,530.5,544.4,20152,56.19
2025-07-08,541.8,570.45,537.95,545.6,36537,19.29
2025-07-09,559.0,569.75,549.45,565.75,45978,45.11
2025-07-10,583.0,649.5,573.3,607.15,139422,45.34
2025-07-11,607.15,629.95,594.7,611.0,89472,40.06
2025-07-14,622.95,630.0,600.2,603.75,68542,49.0
2025-07-15,617.95,622.5,600.1,602.25,35402,68.8
2025-07-16,602.0,607.8,580.2,595.7,31064,66.67
2025-07-17,592.0,602.0,592.0,597.45,8639,64.28
2025-07-18,598.75,605.95,591.0,598.2,10985,55.62
2025-07-21,603.0,639.0,590.2,592.75,57986,49.3
2025-07-22,593.0,612.4,565.0,586.55,38212,66.19
2025-07-23,584.6,592.25,560.35,573.0,15939,48.99
2025-07-24,572.95,583.55,560.0,563.85,31525,39.11
