DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,146.31,152.49,144.07,151.59,13635604,20.94
2025-04-15,155.0,162.59,155.0,161.33,14373710,21.97
2025-04-16,161.45,167.2,161.1,164.68,8419167,36.19
2025-04-17,163.72,166.41,162.01,162.85,4830003,36.07
2025-04-21,167.0,172.87,166.62,167.46,19353975,23.46
2025-04-22,169.0,171.99,166.0,168.95,10193085,28.85
2025-04-23,170.05,176.7,168.8,174.55,17540309,22.82
2025-04-24,175.0,183.0,173.4,180.3,20138680,33.55
2025-04-25,182.51,182.89,166.95,172.14,17896389,22.41
2025-04-28,170.0,176.84,170.0,174.26,6110114,26.56
2025-04-29,175.5,177.7,172.2,174.58,5309401,28.82
2025-04-30,174.1,174.4,167.31,169.02,4877476,38.75
2025-05-02,168.4,170.66,165.07,166.12,3826644,20.88
2025-05-05,167.2,173.86,167.2,173.08,5137917,24.44
2025-05-06,173.4,173.84,162.5,164.79,4828812,38.15
2025-05-07,161.25,169.5,160.27,168.05,5180445,31.1
2025-05-08,168.9,170.51,159.11,160.39,4054042,36.93
2025-05-09,154.12,159.09,153.66,156.82,6666478,26.06
2025-05-12,166.99,170.85,163.6,170.05,6481613,23.55
2025-05-13,169.01,171.4,167.7,169.89,4309761,27.98
2025-05-14,171.0,176.0,170.0,174.24,5529830,31.91
2025-05-15,174.24,178.9,173.51,178.16,5911332,38.17
2025-05-16,180.0,182.66,179.0,179.82,7052231,39.67
2025-05-19,180.7,188.85,180.28,185.61,12708666,37.19
2025-05-20,187.0,189.28,182.25,185.45,10291725,28.76
2025-05-21,185.45,188.89,181.83,185.76,4903466,27.51
2025-05-22,185.45,187.39,181.1,184.18,3805007,31.6
2025-05-23,184.2,186.9,181.22,184.98,5198166,24.81
2025-05-26,185.5,193.75,183.89,190.63,16075375,30.19
2025-05-27,191.0,194.39,188.5,192.57,10434709,29.74
2025-05-28,193.35,197.39,193.0,193.88,10547257,37.83
2025-05-29,194.39,196.4,189.8,191.3,5989686,40.28
2025-05-30,195.0,197.3,191.63,195.0,23400026,39.78
2025-06-02,198.3,201.0,184.25,185.37,52730978,33.26
2025-06-03,188.35,190.0,180.0,181.34,17204378,32.64
2025-06-04,182.0,184.95,180.0,184.44,8342245,26.84
2025-06-05,186.25,186.93,183.43,184.04,5104264,36.53
2025-06-06,184.0,185.5,182.1,184.0,6738388,36.25
2025-06-09,184.75,186.3,183.75,184.24,4676313,50.64
2025-06-10,185.36,188.0,184.0,186.68,7872210,43.65
2025-06-11,187.7,188.89,182.9,184.92,6249279,35.61
2025-06-12,184.79,185.75,175.41,176.54,6789896,44.23
2025-06-13,172.5,175.01,171.47,172.46,7278848,37.39
2025-06-16,173.47,174.41,167.77,172.55,6966296,44.87
2025-06-17,172.55,175.23,168.55,169.17,5845118,39.41
2025-06-18,169.34,171.37,168.16,169.72,5771199,22.12
2025-06-19,169.63,170.84,164.91,166.08,4806981,32.74
2025-06-20,165.89,171.83,165.53,170.65,4720622,36.4
2025-06-23,168.0,170.34,167.52,169.8,5086215,37.37
2025-06-24,172.0,176.25,172.0,173.88,7803727,35.31
2025-06-25,174.75,177.25,174.43,175.36,6228131,43.35
2025-06-26,175.51,176.26,172.8,173.89,4682207,44.74
