DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,1697.5,1740.0,1653.0,1712.6,338595,31.41
2025-04-15,1750.0,1761.0,1660.0,1672.1,190323,46.0
2025-04-16,1677.0,1721.6,1669.8,1704.4,129096,43.33
2025-04-17,1706.0,1769.7,1704.9,1725.1,154383,40.34
2025-04-21,1749.0,1842.0,1712.8,1799.7,369429,30.55
2025-04-22,1798.1,1858.8,1752.1,1761.2,196912,41.1
2025-04-23,1744.0,1797.0,1698.9,1720.8,163516,45.42
2025-04-24,1729.9,1745.7,1659.3,1667.9,115401,48.87
2025-04-25,1670.9,1703.9,1610.1,1668.0,185393,33.21
2025-04-28,1668.0,1684.9,1630.0,1636.1,80340,33.97
2025-04-29,1640.0,1666.0,1612.5,1620.8,71962,44.51
2025-04-30,1628.9,1643.6,1576.0,1591.2,69152,46.68
2025-05-02,1591.0,1675.0,1577.5,1661.0,157586,35.77
2025-05-05,1661.0,1701.0,1640.1,1683.2,82776,37.99
2025-05-06,1693.2,1743.9,1612.1,1629.5,107565,35.98
2025-05-07,1629.0,1675.0,1615.0,1670.4,75512,34.14
2025-05-08,1690.7,1701.0,1575.3,1609.8,74092,45.15
2025-05-09,1590.0,1645.0,1580.0,1633.0,101808,32.51
2025-05-12,1662.9,1732.8,1662.9,1723.7,111510,41.55
2025-05-13,1729.0,1782.8,1700.1,1774.3,146377,46.43
2025-05-14,1783.9,1897.0,1766.6,1828.2,325363,44.23
2025-05-15,1830.0,1860.0,1795.2,1803.2,95529,42.16
2025-05-16,1803.2,1834.4,1781.3,1813.6,78098,44.03
2025-05-19,1818.0,1865.0,1809.5,1841.2,169636,46.48
2025-05-20,1889.0,1889.0,1799.0,1821.7,145478,42.92
2025-05-21,1825.0,1834.0,1740.0,1807.3,238229,21.1
2025-05-22,1849.0,2074.7,1818.1,2058.7,1654733,22.75
2025-05-23,2067.0,2221.0,2061.0,2151.9,1078784,27.41
2025-05-26,2147.1,2164.0,2090.0,2098.5,105235,33.56
2025-05-27,2100.2,2173.9,2076.3,2162.2,141587,33.02
2025-05-28,2180.0,2185.0,2112.2,2124.2,63549,45.56
