DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,69.7,71.0,69.5,70.71,50369,47.78
2025-04-15,71.54,72.5,70.81,72.1,78597,55.75
2025-04-16,73.55,73.85,72.39,73.21,85975,51.62
2025-04-17,73.21,77.19,72.01,75.04,110742,49.53
2025-04-21,75.87,77.79,75.51,76.95,93410,57.79
2025-04-22,76.2,78.6,76.2,77.09,51459,49.89
2025-04-23,77.09,78.02,75.11,76.89,55323,54.46
2025-04-24,76.3,79.55,76.3,78.64,69745,60.69
2025-04-25,79.01,79.55,73.8,74.84,122219,66.69
2025-04-28,75.98,77.57,75.07,75.11,89613,62.68
2025-04-29,76.15,77.9,75.11,75.94,76715,59.68
2025-04-30,75.94,76.07,72.01,72.74,49705,55.04
2025-05-02,73.8,73.8,70.0,71.4,56602,57.16
2025-05-05,71.65,72.97,70.32,71.92,55784,50.12
2025-05-06,71.2,72.83,68.35,69.88,69567,61.08
2025-05-07,69.46,70.69,68.71,69.94,64504,50.46
2025-05-08,70.56,71.38,68.2,69.08,36767,53.58
2025-05-09,68.0,69.13,66.63,68.22,50814,42.87
2025-05-12,70.2,74.0,70.2,72.78,90120,61.5
2025-05-13,72.7,75.6,72.48,74.59,69559,59.78
2025-05-14,75.6,77.15,74.98,76.69,81993,64.64
2025-05-15,78.0,84.01,78.0,81.36,515927,46.95
2025-05-16,81.9,82.75,79.75,81.06,183563,56.74
2025-05-19,82.5,86.0,82.5,83.98,384926,62.57
2025-05-20,84.9,84.9,82.64,82.85,107090,74.26
2025-05-21,83.01,84.45,81.9,83.85,85372,62.38
2025-05-22,83.0,83.94,81.5,82.22,48724,57.93
2025-05-23,82.97,84.48,82.57,83.53,92265,56.29
2025-05-26,82.2,86.0,82.2,83.09,191310,52.51
2025-05-27,83.66,87.39,82.66,84.75,301059,31.59
2025-05-28,85.0,85.38,83.75,83.91,62632,63.1
2025-05-29,84.0,85.15,82.06,83.07,101234,55.72
2025-05-30,83.02,84.71,82.4,82.61,42230,53.0
2025-06-02,82.96,83.68,81.36,82.6,58233,59.38
2025-06-03,83.45,84.19,82.16,82.54,66307,62.28
2025-06-04,81.99,83.04,81.07,81.49,109203,71.36
2025-06-05,82.02,83.75,80.1,80.46,103603,72.19
2025-06-06,80.5,81.76,80.0,80.28,80948,57.2
2025-06-09,80.67,85.4,80.67,84.66,253371,63.16
2025-06-10,85.5,87.0,83.41,84.66,248375,37.27
2025-06-11,85.24,85.99,83.6,84.17,100104,47.58
2025-06-12,84.59,87.8,84.33,86.12,400448,48.53
2025-06-13,84.75,87.6,83.22,85.5,257750,55.54
2025-06-16,86.0,88.88,84.44,87.9,379153,54.67
2025-06-17,88.8,89.4,87.02,88.03,336170,48.69
2025-06-18,88.9,90.4,87.11,89.54,380522,47.33
2025-06-19,89.55,94.46,88.16,89.27,904811,39.81
2025-06-20,89.25,93.0,88.26,91.49,398893,37.16
2025-06-23,90.1,92.9,89.1,92.1,317628,42.29
2025-06-24,92.49,96.39,92.01,92.42,571640,43.81
2025-06-25,93.0,95.58,92.76,93.41,278492,39.81
2025-06-26,93.0,95.99,92.66,93.55,334572,49.12
2025-06-27,94.58,95.49,93.5,94.19,257399,49.01
2025-06-30,94.2,97.0,94.1,95.35,579633,38.25
2025-07-01,96.25,99.0,96.15,97.22,575289,46.7
2025-07-02,97.22,97.9,95.0,95.39,207136,54.19
2025-07-03,95.6,96.2,94.0,94.61,138002,51.06
2025-07-04,94.0,95.13,93.7,94.21,124124,58.37
2025-07-07,94.21,95.19,92.5,92.96,134425,53.03
2025-07-08,92.95,93.28,91.0,91.38,103148,56.93
2025-07-09,91.38,92.93,91.04,92.14,109853,50.35
2025-07-10,92.99,93.35,91.31,92.03,102438,36.97
2025-07-11,91.6,91.9,90.03,90.58,70472,53.29
2025-07-14,90.58,98.45,89.11,97.4,908778,37.45
2025-07-15,97.96,101.0,97.4,99.95,924016,52.47
2025-07-16,100.0,100.21,96.99,97.7,249442,50.94
2025-07-17,97.2,99.83,96.25,97.01,255483,41.32
2025-07-18,97.9,100.0,96.15,96.62,151107,45.72
2025-07-21,97.49,97.49,95.05,96.34,149260,49.26
2025-07-22,97.3,98.4,94.2,94.99,136454,51.57
2025-07-23,94.99,96.1,93.05,93.94,143380,33.02
2025-07-24,93.35,94.76,92.5,93.56,117863,51.95
2025-07-25,94.01,94.01,90.12,90.41,101673,50.01
2025-07-28,90.42,91.39,87.05,87.98,83649,51.64
2025-07-29,88.6,89.25,87.16,88.93,57032,53.04
2025-07-30,89.81,90.29,87.99,88.61,75928,61.77
2025-07-31,88.0,90.9,87.12,89.41,113350,50.23
2025-08-01,88.53,90.18,86.5,87.06,84653,55.26
2025-08-04,88.24,90.2,86.05,86.77,128489,27.07
2025-08-05,86.77,89.4,86.77,88.11,73363,48.64
2025-08-06,88.0,88.0,85.55,86.07,54367,46.75
2025-08-07,85.0,86.0,83.55,85.1,64001,52.39
2025-08-08,87.9,87.9,85.0,85.33,47928,54.58
2025-08-11,86.4,86.4,83.62,84.45,53296,67.54
2025-08-12,84.5,86.75,83.88,85.0,43064,71.6
2025-08-13,85.85,86.5,83.9,84.94,62665,47.91
2025-08-14,86.04,90.02,85.0,88.57,141316,59.04
2025-08-18,90.0,93.39,88.52,89.29,202886,53.93
2025-08-19,89.71,91.4,87.71,91.04,83830,47.32
2025-08-20,91.04,92.8,90.02,90.63,93137,61.24
2025-08-21,91.71,91.71,89.34,90.07,56027,56.24
2025-08-22,90.07,90.72,89.01,89.17,37684,53.85
2025-08-25,89.25,90.03,85.75,86.68,98644,54.59
2025-08-26,86.55,89.4,85.74,87.98,124459,55.27
2025-08-28,88.41,88.41,86.75,87.28,45062,71.46
2025-08-29,88.14,88.24,86.92,87.51,33453,66.94
2025-09-01,87.54,88.53,87.5,87.78,54294,83.62
2025-09-02,88.17,93.45,87.75,91.84,262792,73.75
2025-09-03,93.39,94.49,92.0,92.17,124939,58.58
2025-09-04,93.33,95.2,91.39,94.76,255916,78.06
2025-09-05,96.0,97.8,94.6,95.75,191368,54.46
2025-09-08,97.69,98.01,94.95,95.19,130817,63.12
2025-09-09,96.25,97.45,94.3,94.67,101217,63.65
2025-09-10,94.8,97.0,94.8,96.27,187525,71.88
2025-09-11,96.92,99.23,95.41,97.62,271473,58.72
2025-09-12,97.8,101.7,96.1,96.97,890484,34.26
2025-09-15,97.71,99.85,95.55,96.14,158060,54.54
2025-09-16,96.91,97.4,95.2,95.68,90042,59.59
2025-09-17,96.65,97.68,95.32,95.99,141140,48.45
2025-09-18,96.8,97.54,95.49,96.38,100513,63.9
2025-09-19,96.38,96.67,94.92,95.38,102680,57.28
2025-09-22,95.0,106.8,94.92,104.75,1920374,41.41
2025-09-23,108.0,108.0,101.27,102.2,709133,46.64
2025-09-24,103.08,105.25,100.18,103.76,681183,34.96
2025-09-25,103.76,107.05,99.63,100.69,1317398,22.86
2025-09-26,100.69,102.4,96.61,97.27,438434,37.87
2025-09-29,98.0,102.1,97.1,99.38,373175,35.72
2025-09-30,100.08,101.05,98.1,98.76,176687,47.73
2025-10-01,99.54,104.0,98.38,101.77,701577,35.0
2025-10-03,102.58,102.58,100.0,101.4,292875,47.44
2025-10-06,102.4,113.6,101.5,110.73,3615233,25.78
2025-10-07,113.2,114.54,107.4,108.44,1572227,31.96
2025-10-08,108.8,109.7,104.0,105.28,603888,39.78
2025-10-09,103.7,106.0,102.91,103.25,408528,35.87
2025-10-10,104.0,106.92,103.21,104.61,243362,42.84
2025-10-13,103.04,104.0,99.7,100.79,336903,54.42
2025-10-14,101.15,101.85,96.0,96.98,341293,51.22
2025-10-15,97.3,100.7,97.3,99.29,255682,34.73
2025-10-16,99.78,104.75,97.1,99.2,715778,24.23
2025-10-17,99.2,99.99,96.01,97.47,229230,41.33
2025-10-20,98.0,99.5,96.6,97.82,120883,35.66
2025-10-21,98.99,99.0,97.0,98.6,48011,60.16
2025-10-22,98.99,99.0,97.0,98.6,48011,60.16
2025-10-23,99.0,101.81,99.0,99.95,228708,43.59
2025-10-24,100.99,103.0,97.0,98.65,211943,35.01
2025-10-27,99.44,100.13,97.49,98.14,116587,48.69
2025-10-28,97.5,102.0,97.5,97.9,331481,19.13
2025-10-29,98.0,99.39,97.06,97.93,125607,44.69
2025-10-30,97.93,98.99,96.31,96.95,104250,38.92
2025-10-31,96.05,97.71,93.36,93.82,205225,59.1
2025-11-03,94.0,97.5,92.75,96.71,243673,38.54
2025-11-04,97.06,98.37,93.45,94.03,316173,38.59
2025-11-05,97.06,98.37,93.45,94.03,316173,38.59
2025-11-06,94.78,94.78,88.39,90.16,405015,60.69
2025-11-07,90.16,94.85,88.6,94.04,257582,40.42
2025-11-10,95.88,95.88,92.51,93.88,122655,48.32
2025-11-11,95.25,95.52,90.86,91.56,140242,58.4
2025-11-12,91.56,94.65,90.86,94.41,190548,51.68
2025-11-13,94.32,96.3,93.0,93.86,172099,51.33
2025-11-14,89.5,90.84,85.52,89.64,541446,48.69
2025-11-17,89.0,89.76,87.98,88.47,172564,56.15
2025-11-18,87.55,89.58,86.3,87.49,153776,58.75
2025-11-19,87.0,90.01,86.86,89.42,196316,65.85
2025-11-20,89.33,89.42,88.0,88.7,40669,68.21
2025-11-21,88.5,88.81,87.5,88.14,63813,63.38
2025-11-24,87.0,88.7,87.0,87.6,72396,59.13
2025-11-25,87.61,87.88,87.18,87.57,54649,54.12
2025-11-26,87.5,89.31,87.41,88.02,82041,55.48
2025-11-27,87.51,89.66,87.5,88.24,73392,42.28
2025-11-28,88.15,88.15,87.0,87.25,25507,62.01
2025-12-01,86.94,87.81,86.51,87.06,66045,63.73
2025-12-02,86.97,87.46,86.7,86.97,37809,68.35
2025-12-03,86.97,86.97,85.05,85.55,54472,71.28
2025-12-04,85.55,88.11,85.01,86.24,62600,57.28
2025-12-05,86.69,87.85,86.05,86.77,43454,58.67
2025-12-08,86.0,87.0,85.31,85.65,52812,75.21
2025-12-09,85.4,88.35,82.51,86.28,124193,54.92
2025-12-10,86.0,88.7,85.93,87.08,47551,65.67
2025-12-11,87.5,91.9,86.1,90.56,149333,71.04
2025-12-12,90.92,95.11,90.02,94.19,136893,68.7
2025-12-15,93.65,93.99,92.4,92.84,57552,68.68
2025-12-16,91.0,92.81,90.0,90.54,39010,79.4
