DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,100.03,101.85,97.7,98.66,14801,46.06
2025-04-15,101.0,103.0,100.33,102.28,17825,46.65
2025-04-16,102.28,104.75,102.0,102.23,20278,53.99
2025-04-17,102.6,104.48,102.0,102.62,29120,54.07
2025-04-21,104.0,110.0,102.0,108.81,88425,38.56
2025-04-22,108.0,112.5,107.1,107.8,54803,61.2
2025-04-23,108.59,109.98,105.97,108.64,14635,51.28
2025-04-24,107.09,110.0,105.56,107.65,43500,26.89
2025-04-25,108.0,108.56,102.0,102.8,28644,68.36
2025-04-28,102.65,104.4,100.7,101.68,11411,50.99
2025-04-29,103.75,104.0,101.0,103.07,8087,43.65
2025-04-30,104.2,104.2,100.6,101.28,7591,64.15
2025-05-02,103.0,103.0,99.1,99.56,10603,42.96
2025-05-05,102.0,102.4,98.15,101.2,5363,53.4
2025-05-06,102.5,102.5,92.81,94.44,65907,48.26
2025-05-07,93.0,95.89,91.2,94.21,45487,46.97
2025-05-08,95.6,96.06,92.69,94.72,11696,55.49
2025-05-09,93.95,102.99,90.05,97.07,23729,58.14
2025-05-12,98.0,101.0,98.0,99.55,14971,60.6
2025-05-13,99.5,107.9,99.08,102.1,95650,24.76
2025-05-14,103.0,104.9,103.0,103.78,10036,63.8
2025-05-15,104.77,104.77,102.02,103.42,14800,67.58
2025-05-16,103.36,112.65,102.41,110.44,156624,43.27
2025-05-19,112.4,113.81,107.0,107.44,104903,50.14
2025-05-20,108.9,112.99,107.6,108.48,44495,44.16
2025-05-21,109.7,109.7,106.49,107.39,22819,57.21
2025-05-22,107.95,108.0,105.99,106.86,12830,54.24
2025-05-23,106.0,108.69,106.0,106.88,10859,69.63
2025-05-26,108.3,111.0,107.2,110.26,25491,70.09
2025-05-27,111.75,112.2,108.75,109.4,12814,70.52
2025-05-28,111.8,111.8,107.85,108.82,22078,60.58
2025-05-29,107.55,113.5,107.55,112.36,79292,53.02
2025-05-30,116.9,117.99,113.25,114.25,70507,50.6
2025-06-02,112.5,115.39,108.15,109.97,45670,53.0
2025-06-03,112.24,113.25,108.61,109.97,18140,57.78
2025-06-04,109.43,112.31,108.06,111.28,16200,57.82
2025-06-05,111.28,112.57,108.91,109.83,18824,58.05
2025-06-06,111.0,112.26,109.0,109.43,28627,48.79
2025-06-09,112.68,113.25,109.51,110.99,25428,64.79
2025-06-10,110.99,118.49,109.83,115.28,91424,50.07
2025-06-11,115.01,118.0,112.22,113.11,25173,56.74
2025-06-12,113.78,114.23,109.01,109.59,26393,57.84
2025-06-13,107.0,109.99,106.06,108.85,11451,60.1
2025-06-16,107.01,112.03,107.01,109.01,11540,67.08
2025-06-17,109.51,110.01,107.03,108.34,17974,53.84
2025-06-18,109.39,110.97,107.5,108.99,11043,60.64
2025-06-19,109.86,120.99,108.13,111.72,173639,38.41
2025-06-20,111.72,115.0,110.16,110.54,35102,55.85
2025-06-23,108.0,115.9,108.0,113.1,43555,64.13
2025-06-24,113.0,115.44,111.0,112.1,14716,51.39
2025-06-25,112.25,114.59,112.12,113.96,16910,45.93
2025-06-26,113.78,117.4,111.05,112.19,45323,47.86
2025-06-27,114.9,114.9,110.65,111.57,18326,60.46
2025-06-30,113.68,115.0,111.11,111.96,27423,48.02
2025-07-01,112.59,114.29,111.5,112.67,17027,55.54
2025-07-02,112.23,113.11,110.71,111.26,11611,40.18
2025-07-03,111.25,114.4,110.87,113.0,18753,72.2
2025-07-04,113.91,114.13,111.35,112.59,9870,49.03
2025-07-07,113.5,113.5,110.15,110.72,12563,68.27
2025-07-08,110.72,118.01,110.63,112.13,326246,51.4
2025-07-09,112.8,113.53,111.31,112.05,14443,50.94
2025-07-10,113.24,113.8,112.0,112.26,17267,66.48
2025-07-11,112.25,113.0,110.44,110.71,8429,67.93
2025-07-14,111.8,111.8,108.25,108.57,30445,75.21
2025-07-15,111.69,111.69,107.41,109.11,24881,51.7
2025-07-16,108.5,111.5,107.55,108.08,34312,71.17
2025-07-17,110.38,110.99,108.11,109.77,16386,54.01
2025-07-18,110.04,110.04,106.66,107.14,26275,79.87
2025-07-21,109.3,109.88,106.11,107.16,21280,57.76
2025-07-22,107.06,108.73,106.5,107.06,7293,63.21
2025-07-23,107.06,107.3,104.6,105.14,17490,59.31
2025-07-24,105.01,106.51,104.02,104.94,7804,57.64
2025-07-25,104.5,107.7,101.3,102.85,12876,51.27
2025-07-28,104.5,105.82,100.51,100.8,16329,48.18
2025-07-29,101.8,103.49,100.0,103.18,63945,89.49
2025-07-30,103.8,104.1,102.0,102.12,3724,69.15
2025-07-31,100.03,103.45,100.0,101.69,9940,54.98
2025-08-01,104.44,104.69,98.0,98.62,29412,60.48
