DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-07-03,296.77,304.69,230.7,301.95,5100,52.12
2026-07-06,301.95,308.69,297.42,299.09,9138,48.5
2026-07-07,299.09,309.49,299.09,306.76,5697,73.79
2026-07-08,306.75,308.54,301.26,301.7,5782,58.99
2026-07-09,299.83,307.44,296.97,302.83,2897,33.97
2026-07-10,309.74,312.64,307.14,308.41,3597,66.44
2026-07-13,306.87,321.7,306.87,318.92,14003,68.29
2026-07-14,318.7,322.27,315.42,315.7,2063,64.66
2026-07-15,311.64,316.01,311.35,313.56,14391,65.77
2026-07-16,316.99,319.67,314.74,315.87,2734,35.92
2026-07-17,322.18,322.5,319.08,320.7,5794,42.84
2026-07-20,323.58,324.9,319.72,322.04,8323,35.42
2026-07-21,321.64,323.2,318.91,319.21,1184,52.36
2026-07-22,317.69,318.0,314.13,315.48,31085,86.05
2026-07-23,313.53,317.0,311.45,315.31,21384,44.62
2026-07-24,316.03,317.99,311.0,316.49,263786,93.74
2026-07-27,319.33,325.0,318.76,323.94,13220,86.77
2026-07-28,329.02,337.5,329.02,335.15,24511,81.83
2026-07-29,336.07,345.32,336.07,342.66,14375,51.75
2026-07-30,345.31,350.5,341.0,342.71,8207,65.69
2026-07-31,336.09,340.5,332.52,337.83,4516,57.68
2026-08-03,341.14,349.0,338.1,345.94,7479,53.06
2026-08-04,344.84,349.99,344.8,346.56,3360,64.46
2026-08-05,350.0,350.98,344.0,346.68,5828,37.53
2026-08-07,347.25,350.08,345.0,347.78,4819,59.6
2026-08-10,348.85,352.0,348.0,348.58,2586310,99.91
2026-08-11,351.72,352.09,348.11,349.5,6054,44.32
2026-08-12,348.89,350.31,342.4,346.37,5360,68.17
2026-08-13,344.29,346.37,343.5,344.51,4811,45.35
2026-08-14,337.62,349.48,337.62,346.0,1773,13.99
2026-08-17,337.35,347.03,337.35,341.65,4825,41.41
2026-08-18,340.0,340.0,332.48,333.91,5403,44.98
2026-08-19,335.74,337.99,332.41,335.05,2048,54.54
2026-08-20,339.33,341.55,335.0,335.63,2617,61.1
2026-08-21,335.73,339.1,334.78,337.07,1040,42.21
2026-08-24,335.3,340.9,333.62,335.2,4223,40.87
2026-08-25,337.89,339.2,334.0,337.8,935,44.49
2026-08-26,339.36,339.36,334.42,335.47,1612,50.43
2026-08-27,335.32,335.52,329.83,332.0,4857,50.3
2026-08-28,337.68,345.34,337.68,343.84,10697,43.0
2026-08-31,347.27,347.27,338.15,342.83,1689,33.16
2026-09-01,342.7,348.0,340.0,343.43,4144,44.14
