DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,562.0,570.9,557.0,561.85,36796,29.95
2025-04-15,575.0,584.05,567.35,575.35,45815,42.69
2025-04-16,583.8,601.25,579.15,593.65,81017,32.37
2025-04-17,591.9,602.55,587.35,590.8,43910,31.22
2025-04-21,590.8,601.6,587.2,599.65,33989,32.03
2025-04-22,601.3,607.05,595.1,597.0,34917,40.35
2025-04-23,607.0,617.6,586.9,597.5,41137,27.25
2025-04-24,594.6,612.2,591.5,598.35,46849,34.18
2025-04-25,608.0,608.0,563.5,570.2,58489,35.0
2025-04-28,566.0,578.3,559.8,570.75,44025,54.7
2025-04-29,570.3,583.7,569.15,571.1,22076,40.09
2025-04-30,570.0,573.65,555.1,560.05,19421,47.47
2025-05-02,560.05,566.55,552.35,554.95,20210,35.02
2025-05-05,554.95,569.9,553.6,563.3,23868,24.53
2025-05-06,567.0,568.0,539.9,544.45,19565,39.71
2025-05-07,532.4,552.0,529.75,546.25,30138,30.2
2025-05-08,552.0,567.45,538.0,541.0,41852,23.41
2025-05-09,529.95,541.0,519.6,529.1,28650,29.95
2025-05-12,560.0,565.0,551.45,562.05,41902,38.58
2025-05-13,562.5,576.9,557.2,570.9,24483,36.31
2025-05-14,580.5,603.05,574.9,583.6,164282,20.69
2025-05-15,587.0,592.4,580.8,585.15,21432,41.27
2025-05-16,585.7,613.95,582.05,597.25,121203,29.95
2025-05-19,598.25,623.65,594.05,610.3,153870,26.4
2025-05-20,612.3,620.95,599.25,602.9,56082,31.3
2025-05-21,597.0,603.85,591.7,594.7,29186,28.56
2025-05-22,625.9,635.0,606.95,614.5,384274,18.87
2025-05-23,615.4,617.55,601.1,607.3,40618,34.19
2025-05-26,637.8,637.8,611.55,615.2,72308,25.22
2025-05-27,616.2,619.75,607.9,615.8,54661,29.33
2025-05-28,615.0,633.0,612.05,625.65,83594,36.34
2025-05-29,628.0,639.8,621.1,623.55,61407,38.11
2025-05-30,628.55,629.8,612.4,622.9,68183,32.72
2025-06-02,636.0,648.0,617.5,621.8,190192,24.83
2025-06-03,620.0,629.9,605.4,608.55,53910,38.59
2025-06-04,612.35,638.4,610.05,629.65,141259,28.15
2025-06-05,634.7,641.15,624.65,626.8,60120,30.79
2025-06-06,626.8,634.75,620.05,622.8,38967,36.91
2025-06-09,623.0,632.7,623.0,624.4,29079,53.52
2025-06-10,634.8,642.7,629.0,633.0,80401,36.83
2025-06-11,633.0,633.05,617.4,622.5,33520,56.02
2025-06-12,622.55,626.0,606.05,609.3,23519,48.35
2025-06-13,594.0,607.2,591.1,595.0,39956,48.01
2025-06-16,595.2,604.9,584.3,602.1,15562,31.98
2025-06-17,600.0,611.1,595.0,597.85,29384,37.88
2025-06-18,598.5,599.45,586.1,589.6,17108,35.76
2025-06-19,590.0,596.4,571.55,586.9,40749,38.3
2025-06-20,598.0,601.6,584.15,587.2,35342,27.79
2025-06-23,585.0,585.0,575.95,579.25,31453,42.18
2025-06-24,591.0,597.75,583.0,585.3,22453,38.18
2025-06-25,590.0,596.0,587.05,593.1,28461,47.35
2025-06-26,596.4,603.0,588.65,599.0,25926,36.97
2025-06-27,595.0,622.9,594.0,601.25,80914,24.93
2025-06-30,610.0,615.0,603.15,608.15,32844,28.88
2025-07-01,610.05,614.7,600.35,606.8,16534,43.96
2025-07-02,605.0,609.65,600.0,604.0,14323,33.6
2025-07-03,604.0,609.05,595.0,598.85,18194,40.03
2025-07-04,601.9,625.0,594.0,617.0,104284,27.42
2025-07-07,619.9,636.6,612.95,621.2,148505,26.78
