DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-08-21,76.96,77.81,76.95,77.77,1448,66.44
2026-08-24,77.57,77.57,77.11,77.45,1845,74.53
2026-08-25,75.54,77.45,75.54,77.45,1950,72.77
2026-08-26,76.04,78.09,76.04,77.55,3167,95.55
2026-08-27,77.82,77.82,77.16,77.37,106,63.21
2026-08-28,76.24,79.2,76.22,79.2,10260,99.85
2026-08-31,78.4,78.4,75.53,75.96,7330,70.29
2026-09-01,76.86,77.3,76.35,76.35,1301,76.71
2026-09-02,76.53,76.71,76.16,76.57,1849,42.78
2026-09-03,78.16,78.16,76.54,76.63,243,100.0
2026-09-04,77.7,77.7,76.54,76.56,972,53.91
