DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,93.45,95.1,91.0,91.16,4828503,35.72
2025-04-15,93.25,93.47,92.0,93.15,1722497,50.29
2025-04-16,93.74,98.6,93.34,98.24,5142936,45.87
2025-04-17,98.24,102.95,97.5,102.16,5937892,40.58
2025-04-21,102.4,110.5,101.6,108.27,12765010,44.65
2025-04-22,108.5,116.4,106.54,114.14,15615577,38.72
2025-04-23,108.0,108.5,102.12,103.18,32570004,39.14
2025-04-24,103.0,104.65,102.75,102.98,7993610,38.76
2025-04-25,103.09,104.15,96.06,97.62,11276560,29.35
2025-04-28,97.62,97.75,94.5,96.14,4749975,36.73
2025-04-29,96.5,99.47,96.5,97.26,3483760,33.11
2025-04-30,97.02,97.74,94.0,94.38,3457783,46.2
2025-05-02,93.61,95.2,93.4,94.12,3782708,37.17
2025-05-05,95.67,96.83,94.6,96.35,3851761,40.83
2025-05-06,97.13,97.53,92.8,93.2,4153642,32.43
2025-05-07,91.0,92.5,90.25,91.85,3990595,31.63
2025-05-08,92.29,93.61,90.51,91.1,2487350,49.88
2025-05-09,88.0,91.6,87.3,90.14,3912425,34.54
2025-05-12,96.01,97.8,94.3,97.29,7480470,51.88
2025-05-13,97.86,102.7,96.42,101.61,7228092,47.83
2025-05-14,101.01,102.99,100.75,101.4,3803082,45.96
2025-05-15,101.89,102.49,100.6,101.12,2085065,49.83
2025-05-16,101.9,104.7,100.9,103.89,7078148,46.34
2025-05-19,104.22,106.32,103.05,103.49,4373159,49.5
2025-05-20,104.2,104.69,101.14,101.45,2684466,52.24
2025-05-21,102.3,103.5,101.19,101.89,2337565,38.89
2025-05-22,101.43,102.11,99.54,100.56,1615873,42.5
2025-05-23,101.57,101.8,100.1,101.3,1401092,42.16
2025-05-26,101.5,102.25,100.27,100.49,1407368,44.54
2025-05-27,100.99,101.32,99.81,100.32,1109933,39.05
2025-05-28,100.75,101.33,100.3,100.89,1299868,50.37
2025-05-29,101.2,101.56,99.6,100.05,1457876,49.69
2025-05-30,100.1,104.33,99.8,103.8,5469144,50.49
2025-06-02,104.32,106.7,104.0,105.64,5668015,46.79
2025-06-03,106.49,106.8,103.3,103.8,3453882,44.01
2025-06-04,103.2,105.8,103.2,105.12,2783618,44.28
2025-06-05,105.6,105.68,103.43,104.15,1834133,47.02
2025-06-06,104.64,110.35,103.48,106.87,8302877,47.39
2025-06-09,108.0,109.1,106.43,107.14,3355848,47.93
2025-06-10,107.6,112.2,106.81,111.09,11263324,46.38
2025-06-11,113.0,113.4,108.9,110.16,6550953,41.97
2025-06-12,110.2,110.46,106.9,107.25,3029830,49.18
2025-06-13,104.51,105.89,104.0,104.8,3255425,45.21
2025-06-16,105.0,106.34,102.69,105.02,3138245,39.73
2025-06-17,105.02,106.42,102.8,103.03,3401919,42.88
2025-06-18,103.52,105.0,102.54,103.02,2745273,45.68
2025-06-19,103.0,103.46,100.45,102.76,2858415,36.44
2025-06-20,102.75,104.95,101.94,104.34,3126661,50.17
2025-06-23,102.25,103.6,101.43,102.26,3388206,41.0
2025-06-24,104.4,111.7,103.66,106.58,13946250,31.86
2025-06-25,108.1,110.68,106.96,110.01,6456807,46.41
2025-06-26,110.05,111.29,105.78,108.27,3543653,38.78
2025-06-27,108.65,112.0,108.58,111.54,7973280,43.04
2025-06-30,112.5,116.21,112.5,115.85,18733447,31.29
2025-07-01,116.21,117.25,112.55,116.72,13186602,31.42
2025-07-02,117.0,117.0,113.5,114.0,4318598,40.51
2025-07-03,114.5,114.9,112.2,112.73,2546712,49.02
2025-07-04,113.0,114.5,112.2,114.24,3224657,44.43
2025-07-07,114.0,114.26,111.1,111.29,2668381,46.96
2025-07-08,114.5,114.7,111.1,112.13,6245391,34.26
2025-07-09,112.86,113.0,111.53,112.39,2239734,49.17
2025-07-10,113.2,113.89,111.21,111.45,2913618,42.18
2025-07-11,111.39,112.49,108.5,108.75,3976159,56.04
2025-07-14,109.18,112.45,109.01,111.79,5318051,47.09
2025-07-15,112.08,114.9,111.76,112.34,4163402,42.06
2025-07-16,112.6,116.29,112.26,115.49,7531771,42.36
2025-07-17,116.18,116.4,113.4,113.83,2382352,54.99
2025-07-18,114.2,114.5,111.65,113.87,2762116,43.06
2025-07-21,113.99,113.99,111.8,112.06,2421681,45.22
2025-07-22,112.51,113.07,109.55,109.91,2250087,56.33
2025-07-23,110.74,112.16,108.94,111.9,2425773,55.38
2025-07-24,111.9,113.05,110.4,111.71,2460811,43.47
2025-07-25,111.79,112.49,108.9,109.37,2752632,49.35
2025-07-28,110.0,110.2,104.15,104.77,4035049,42.01
2025-07-29,104.77,107.12,103.4,106.17,2852610,37.03
2025-07-30,106.0,106.7,104.81,105.16,1748119,43.53
2025-07-31,103.76,105.72,103.0,104.12,2844762,42.51
2025-08-01,104.22,104.58,101.5,101.91,1914706,54.96
2025-08-04,102.0,103.5,101.46,102.73,1962232,42.67
2025-08-05,103.25,103.8,101.6,101.98,1543764,45.38
2025-08-06,101.65,102.6,99.99,101.41,2110803,38.41
2025-08-07,101.5,103.4,100.1,102.6,1767255,40.55
