DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,70.5,70.89,69.47,69.98,127843,67.14
2025-04-15,70.6,73.35,70.1,72.9,272622,54.96
2025-04-16,73.6,82.2,72.76,79.09,1408644,39.94
2025-04-17,79.74,80.47,76.11,76.33,767015,52.97
2025-04-21,77.2,77.2,75.33,75.97,332565,52.72
2025-04-22,76.44,78.3,75.45,76.62,386186,47.09
2025-04-23,76.7,77.79,75.9,76.99,195764,48.42
2025-04-24,76.99,77.74,76.2,76.34,175919,52.22
2025-04-25,76.89,76.89,73.0,73.43,291515,54.38
2025-04-28,73.58,74.71,73.0,74.27,234801,73.59
2025-04-29,74.46,74.79,73.6,73.76,181828,79.5
2025-04-30,73.99,74.8,72.27,72.88,160090,50.78
2025-05-02,72.88,73.66,71.51,71.96,160560,58.28
2025-05-05,72.11,73.25,71.49,72.42,153986,51.67
2025-05-06,72.99,72.99,70.81,71.05,95876,64.71
2025-05-07,70.0,71.8,69.75,70.43,266924,62.31
2025-05-08,70.5,72.13,69.06,69.86,181810,50.8
2025-05-09,65.01,69.51,65.01,68.5,231453,61.44
2025-05-12,70.1,72.37,70.1,71.02,220718,54.82
2025-05-13,71.55,71.85,70.82,71.03,173109,67.3
2025-05-14,71.47,75.0,71.33,73.23,286316,55.75
2025-05-15,73.82,75.05,73.21,74.32,201357,51.39
2025-05-16,74.95,75.73,74.63,75.07,205653,67.11
2025-05-19,75.55,76.45,75.14,75.31,221089,63.56
2025-05-20,75.75,76.22,74.42,74.65,266207,56.92
2025-05-21,74.95,75.38,74.15,74.46,162113,49.21
2025-05-22,74.79,75.02,74.0,74.71,103639,55.63
2025-05-23,74.95,75.74,74.0,75.41,178452,56.83
2025-05-26,79.5,81.29,77.94,78.34,1629347,50.77
2025-05-27,79.95,80.9,79.05,80.01,1144355,67.93
2025-05-28,80.45,83.3,80.42,82.93,1373833,62.82
2025-05-29,83.3,83.8,81.55,83.1,2147188,69.98
2025-05-30,76.01,76.97,75.65,76.25,821413,47.34
2025-06-02,76.25,76.25,73.02,73.18,658201,49.66
2025-06-03,73.15,73.54,72.0,72.09,271333,55.0
2025-06-04,72.44,74.2,72.1,73.32,446884,36.45
2025-06-05,73.65,73.99,73.26,73.77,219687,50.31
2025-06-06,74.11,74.11,72.75,73.09,351785,64.82
2025-06-09,73.45,73.7,72.8,72.98,317571,50.8
2025-06-10,73.0,73.3,71.82,71.88,569347,66.12
2025-06-11,72.22,72.94,71.85,72.4,261474,53.29
2025-06-12,72.37,73.44,72.0,72.11,277449,55.25
2025-06-13,71.6,71.87,70.56,71.4,172068,50.38
2025-06-16,71.76,72.4,70.56,71.53,122855,51.51
2025-06-17,71.84,73.39,71.05,72.1,410447,56.71
2025-06-18,72.51,72.9,71.57,71.97,146986,55.55
2025-06-19,72.11,72.43,70.71,71.08,164152,45.83
2025-06-20,71.4,71.98,70.8,71.51,137502,49.34
2025-06-23,71.48,71.64,69.99,70.73,190000,50.75
2025-06-24,71.71,72.49,71.06,71.22,123144,51.99
2025-06-25,71.59,72.6,71.19,72.36,165244,59.26
2025-06-26,72.59,72.84,71.7,71.92,146373,58.42
2025-06-27,72.39,72.84,71.12,71.57,164589,54.88
2025-06-30,71.85,72.72,71.75,72.23,171535,49.96
2025-07-01,72.49,72.64,71.86,72.27,95896,58.82
2025-07-02,72.57,73.38,71.82,72.01,192087,50.2
2025-07-03,72.8,72.8,71.4,71.59,170859,49.08
2025-07-04,72.27,72.46,71.37,72.13,84815,57.92
2025-07-07,72.2,72.55,71.9,72.12,99943,52.42
2025-07-08,72.4,72.4,71.01,71.12,144152,72.99
2025-07-09,71.12,71.99,71.0,71.41,137316,52.59
2025-07-10,71.89,71.89,71.0,71.22,105395,60.9
2025-07-11,71.3,71.8,71.0,71.32,135453,60.38
2025-07-14,71.32,71.49,70.6,71.16,193277,81.87
2025-07-15,71.16,73.1,71.1,72.13,311028,66.29
2025-07-16,71.81,72.57,71.49,72.22,185003,65.04
2025-07-17,72.49,72.63,71.61,71.96,126113,68.65
2025-07-18,72.1,75.21,71.86,74.77,889484,61.57
2025-07-21,75.0,75.53,74.0,74.6,291828,46.23
2025-07-22,75.0,75.0,73.66,73.82,92280,56.11
2025-07-23,74.5,74.62,73.55,74.42,146609,60.62
2025-07-24,74.65,74.65,73.0,73.47,104239,57.19
2025-07-25,73.11,73.94,71.25,71.41,222737,74.14
2025-07-28,71.3,72.64,70.9,71.0,146636,65.22
2025-07-29,71.4,72.78,70.89,72.11,104334,60.21
2025-07-30,75.09,76.2,73.59,74.04,534915,46.3
2025-07-31,72.61,74.4,72.61,72.99,132203,63.82
2025-08-01,73.0,74.5,72.63,73.04,165367,63.54
2025-08-04,73.72,75.0,72.63,74.41,275823,64.81
2025-08-05,74.75,74.75,72.71,73.13,207857,61.93
2025-08-06,73.13,73.75,72.21,72.39,126696,58.99
2025-08-07,72.89,72.89,71.26,72.18,115101,47.23
2025-08-08,72.7,73.58,71.91,72.52,109788,44.85
2025-08-11,73.4,73.85,72.3,72.52,94127,51.41
2025-08-12,72.91,73.1,72.4,72.99,65034,65.24
2025-08-13,73.35,73.99,72.0,72.49,114270,52.16
2025-08-14,72.5,72.95,71.7,71.91,60862,72.02
2025-08-18,72.16,72.58,72.0,72.27,65454,65.29
2025-08-19,72.05,73.49,72.02,73.04,74737,65.55
2025-08-20,73.45,73.45,72.17,72.98,87293,60.18
2025-08-21,72.7,73.69,72.52,72.89,98506,62.42
2025-08-22,73.35,73.35,72.27,72.62,63375,66.51
2025-08-25,73.4,73.7,72.31,72.61,111091,51.7
2025-08-26,72.61,72.98,71.5,71.77,93754,73.99
2025-08-28,71.87,72.35,70.45,70.87,207033,64.15
2025-08-29,70.7,72.0,70.69,71.77,100851,60.92
2025-09-01,71.35,72.43,71.31,71.57,72418,61.83
2025-09-02,72.0,72.9,71.71,72.0,126640,65.63
2025-09-03,72.4,72.43,71.82,71.92,86829,72.75
2025-09-04,72.59,72.99,71.71,71.77,81782,61.83
2025-09-05,72.59,72.59,71.5,71.78,67508,61.98
2025-09-08,72.57,72.57,71.2,71.47,83015,70.51
2025-09-09,71.8,72.1,71.5,71.56,103531,57.13
2025-09-10,72.19,72.36,71.5,71.66,116427,64.51
2025-09-11,71.99,72.68,71.73,71.83,117869,59.49
2025-09-12,72.23,72.78,71.5,71.81,128226,49.75
2025-09-15,72.18,72.39,71.7,71.93,95154,60.66
2025-09-16,72.49,72.5,71.75,71.92,100659,53.19
2025-09-17,72.01,72.89,71.95,72.1,146502,49.77
2025-09-18,72.45,72.72,72.02,72.18,98862,59.09
2025-09-19,72.44,72.48,71.76,71.96,127718,64.11
2025-09-22,72.1,72.4,71.85,71.9,108978,60.32
2025-09-23,72.29,72.29,71.5,71.59,59324,62.57
2025-09-24,71.03,71.69,71.03,71.35,87450,65.39
2025-09-25,71.7,71.7,71.05,71.1,76728,77.58
2025-09-26,71.0,71.39,70.7,70.78,115155,71.43
2025-09-29,71.0,71.24,70.7,70.86,66416,65.42
2025-09-30,72.99,72.99,71.5,71.93,96902,64.32
2025-10-01,71.16,72.53,71.16,71.5,73374,51.55
2025-10-03,71.68,72.5,71.53,72.12,87583,60.34
2025-10-06,72.12,72.4,71.76,71.96,51728,60.17
2025-10-07,72.4,72.4,71.7,72.24,66154,69.69
2025-10-08,72.39,72.39,71.45,71.89,82295,79.47
2025-10-09,72.42,72.42,71.56,71.69,42294,62.76
2025-10-10,72.02,72.19,71.58,71.79,57422,61.15
2025-10-13,71.41,71.95,71.41,71.76,41485,68.98
2025-10-14,71.43,72.0,70.8,71.3,91891,61.15
2025-10-15,71.45,71.73,71.11,71.43,84429,67.75
2025-10-16,71.7,71.7,69.86,70.81,129624,66.03
2025-10-17,70.5,71.5,70.5,71.2,52409,59.55
2025-10-20,71.2,71.49,71.0,71.1,65280,72.98
2025-10-21,71.15,72.0,71.15,71.84,37717,85.22
2025-10-22,71.15,72.0,71.15,71.84,37717,85.22
2025-10-23,71.84,72.35,71.44,71.96,131151,55.66
2025-10-24,71.21,71.93,71.21,71.57,56430,72.8
2025-10-27,72.0,74.9,71.99,73.47,471355,39.51
2025-10-28,73.95,74.0,71.66,72.69,245410,50.38
2025-10-29,73.25,73.25,72.01,72.53,101702,68.53
2025-10-30,72.6,73.2,72.03,72.99,82613,69.6
2025-10-31,73.2,73.2,72.2,72.68,58915,62.15
2025-11-03,72.55,72.94,72.21,72.51,82719,79.6
2025-11-04,72.8,73.2,72.0,72.25,67074,63.37
2025-11-05,72.8,73.2,72.0,72.25,67074,63.37
2025-11-06,72.32,72.49,70.28,70.36,346528,80.97
2025-11-07,71.01,72.0,70.36,70.47,217666,74.48
2025-11-10,70.69,70.99,69.69,70.09,490070,69.46
2025-11-11,70.69,70.99,69.81,70.77,84587,60.76
2025-11-12,71.75,71.75,69.8,70.03,210099,54.48
2025-11-13,70.49,70.54,69.8,69.91,102617,82.17
2025-11-14,70.43,70.43,69.7,69.84,85604,66.47
2025-11-17,69.91,70.44,69.8,69.95,81443,82.37
2025-11-18,70.45,70.74,69.75,69.88,143274,66.77
2025-11-19,69.9,70.26,69.86,69.98,94302,81.39
2025-11-20,70.05,70.33,69.78,69.88,98631,83.83
2025-11-21,69.8,70.17,69.6,69.93,97479,84.84
2025-11-24,70.01,70.34,69.7,69.75,113533,91.09
2025-11-25,69.12,70.2,69.12,69.55,45959,74.85
2025-11-26,69.5,70.32,69.5,69.96,92575,72.9
2025-11-27,70.3,70.6,69.45,69.91,64356,67.36
2025-11-28,70.2,70.39,69.85,69.97,60002,69.91
2025-12-01,70.69,70.69,69.63,69.83,64482,74.32
2025-12-02,70.0,70.5,69.7,69.93,77491,67.4
2025-12-03,69.75,70.89,69.75,70.31,93549,67.22
2025-12-04,70.33,71.26,69.92,70.31,95594,55.36
2025-12-05,70.3,70.4,69.86,70.16,56833,73.83
2025-12-08,70.3,70.39,69.0,69.45,98918,86.55
2025-12-09,69.5,70.45,68.75,69.61,112538,67.51
2025-12-10,70.2,71.23,70.01,70.04,74889,66.3
2025-12-11,70.04,70.09,69.5,69.67,40916,74.64
2025-12-12,70.03,70.35,69.56,70.11,54308,70.62
2025-12-15,70.0,70.64,69.65,70.15,88501,67.63
2025-12-16,70.01,70.6,69.5,69.7,46377,70.16
2025-12-17,70.0,70.0,69.49,69.64,37014,62.6
2025-12-18,70.0,70.0,69.1,69.37,68428,64.02
2025-12-19,69.77,69.85,69.02,69.2,94374,62.62
2025-12-22,69.5,70.33,69.21,69.92,64326,64.32
2025-12-23,69.9,71.3,69.52,71.16,128813,69.62
2025-12-24,71.19,71.89,70.9,71.13,96488,61.44
2025-12-25,71.19,71.89,70.9,71.13,96488,61.44
2025-12-26,71.14,71.47,70.62,71.23,51623,60.49
2025-12-29,71.23,71.73,70.75,70.86,58903,68.63
2025-12-30,70.86,71.34,70.2,70.92,59174,71.09
2025-12-31,70.5,71.78,70.5,71.58,73413,63.49
2026-01-01,71.2,72.2,71.0,71.89,70753,70.54
2026-01-02,71.89,72.45,71.12,72.27,94631,57.37
2026-01-05,72.48,73.0,71.6,71.87,114144,66.41
2026-01-06,71.87,72.83,71.0,71.63,82038,76.69
2026-01-07,72.43,72.43,70.88,70.98,158312,83.96
