DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,607.75,607.8,595.05,596.9,186122,41.64
2025-04-15,616.9,639.75,605.4,632.1,461991,50.83
2025-04-16,639.8,642.0,622.95,628.2,246901,48.22
2025-04-17,632.0,640.25,619.2,626.2,185886,43.89
2025-04-21,634.2,693.0,630.0,682.95,1267237,35.16
2025-04-22,693.2,698.95,673.45,681.9,432760,45.26
2025-04-23,675.2,685.8,651.0,668.25,615633,45.44
2025-04-24,669.95,674.9,647.0,651.1,216385,50.45
2025-04-25,647.1,653.8,599.1,610.05,635703,42.89
2025-04-28,614.95,634.75,614.05,618.8,414298,29.49
2025-04-29,620.0,627.35,582.25,585.85,341483,55.14
2025-04-30,585.0,589.65,556.45,564.45,381019,52.12
2025-05-02,569.85,584.45,560.55,577.5,242941,39.45
2025-05-05,583.0,613.0,583.0,608.6,438052,36.91
2025-05-06,558.0,577.7,532.55,554.05,1755496,31.49
2025-05-07,545.1,568.0,543.85,565.35,448505,32.3
2025-05-08,568.0,572.5,535.0,538.35,228624,48.14
2025-05-09,520.1,561.8,520.0,558.05,364704,31.36
2025-05-12,562.0,584.7,562.0,578.4,295842,34.89
2025-05-13,580.0,580.85,570.1,572.95,148735,44.86
2025-05-14,577.8,588.55,569.9,578.4,155434,43.66
2025-05-15,571.3,578.7,569.05,573.05,115556,47.37
2025-05-16,579.0,582.0,550.0,557.5,258758,49.72
2025-05-19,561.95,565.95,542.75,545.3,417049,70.36
2025-05-20,546.95,552.25,533.55,536.2,345270,50.91
2025-05-21,535.0,553.5,532.05,551.9,281544,43.72
2025-05-22,551.9,568.4,544.5,563.15,205977,49.69
2025-05-23,564.8,587.4,564.8,580.2,440067,42.64
2025-05-26,583.6,584.9,558.5,561.0,194996,49.13
2025-05-27,562.4,572.85,545.5,565.05,142499,43.07
2025-05-28,565.05,567.45,544.05,546.5,245740,62.29
2025-05-29,546.8,564.4,546.8,559.4,165793,36.84
2025-05-30,559.4,563.4,550.05,552.15,115640,54.69
2025-06-02,542.2,561.4,541.0,554.35,120645,51.74
2025-06-03,551.8,562.55,546.0,559.9,133596,52.24
2025-06-04,555.1,571.05,553.0,559.95,199681,53.8
2025-06-05,562.4,569.5,560.0,562.05,112603,56.98
2025-06-06,563.8,564.45,557.7,559.6,101106,58.12
2025-06-09,556.1,573.25,556.1,568.35,173835,59.17
2025-06-10,572.4,578.7,567.0,573.4,165967,54.48
2025-06-11,575.9,577.85,557.65,558.95,170793,51.45
2025-06-12,564.55,567.0,550.0,554.45,109557,55.63
2025-06-13,538.05,556.2,538.05,551.4,89194,50.01
2025-06-16,552.0,557.6,541.5,553.85,110680,50.83
2025-06-17,556.3,563.0,547.0,549.5,118595,51.72
2025-06-18,554.0,554.0,542.8,546.1,77354,55.46
2025-06-19,545.0,552.25,537.6,540.6,99232,58.08
2025-06-20,540.6,545.65,535.1,541.05,92009,54.57
2025-06-23,541.0,550.55,535.85,548.6,92497,48.65
2025-06-24,550.05,559.0,548.5,555.4,147480,56.71
2025-06-25,557.9,560.0,545.4,551.75,237054,61.13
2025-06-26,553.9,583.85,545.3,576.1,517203,52.4
2025-06-27,580.9,581.6,569.5,574.7,201477,53.39
2025-06-30,569.0,587.9,565.0,581.2,111688,51.62
2025-07-01,584.8,584.8,572.6,574.9,89814,63.96
2025-07-02,578.9,579.9,565.3,570.8,108101,58.24
2025-07-03,567.95,581.65,565.25,576.3,73087,56.8
2025-07-04,575.0,597.0,566.0,580.3,210183,44.32
2025-07-07,582.8,584.0,571.6,574.4,52859,59.39
