DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,612.05,623.7,598.8,618.15,497195,34.79
2025-04-15,633.0,634.95,603.8,625.05,268180,36.81
2025-04-16,633.0,707.6,633.0,694.75,22076001,4.21
2025-04-17,694.75,704.75,682.55,700.65,2374531,13.39
2025-04-21,701.0,716.3,694.0,706.95,865689,24.21
2025-04-22,708.05,716.25,698.55,702.0,787142,19.92
2025-04-23,705.0,716.0,685.8,707.05,783601,18.91
2025-04-24,707.9,713.85,691.55,696.0,336847,38.46
2025-04-25,694.0,698.0,659.05,675.0,699682,25.41
2025-04-28,672.05,685.45,665.45,675.45,354678,23.22
2025-04-29,683.15,697.7,673.0,679.1,398926,19.77
2025-04-30,680.0,681.5,645.0,650.2,334287,35.96
2025-05-02,653.45,661.7,640.3,644.2,304023,27.97
2025-05-05,652.8,704.0,630.1,692.35,5398948,6.92
2025-05-06,697.95,713.0,665.45,681.15,3073911,10.78
2025-05-07,661.0,686.4,651.75,665.9,1196200,14.28
2025-05-08,670.85,684.7,631.0,644.2,509279,30.71
2025-05-09,625.55,632.95,613.0,620.75,667546,29.93
2025-05-12,675.0,702.0,651.0,691.75,5727074,8.04
2025-05-13,686.0,699.0,672.05,688.55,834227,18.49
2025-05-14,689.5,693.0,678.0,683.9,533268,30.26
2025-05-15,686.8,729.8,686.4,713.8,3413238,18.06
2025-05-16,721.0,737.0,717.0,726.05,1195994,22.02
2025-05-19,728.0,741.85,707.05,726.45,759000,28.58
2025-05-20,730.05,739.45,710.15,719.25,687407,25.82
2025-05-21,720.0,733.9,711.25,721.5,560311,24.08
2025-05-22,721.0,732.0,704.45,710.9,366189,35.17
2025-05-23,730.0,765.0,728.0,740.5,5691738,10.36
2025-05-26,739.4,744.0,721.15,731.45,661884,24.69
2025-05-27,735.45,740.8,722.65,728.8,466080,27.2
2025-05-28,731.5,733.85,720.0,722.2,246264,38.12
2025-05-29,721.85,728.9,719.5,722.35,233641,34.1
2025-05-30,723.8,736.3,713.3,717.15,453035,27.45
2025-06-02,718.9,731.95,713.0,717.5,319112,31.02
2025-06-03,720.85,723.25,705.1,707.4,235739,36.77
2025-06-04,710.7,724.9,703.55,713.55,409100,20.87
2025-06-05,716.9,729.0,712.0,713.85,238202,32.89
2025-06-06,714.9,716.7,706.0,707.75,227538,37.99
2025-06-09,713.4,766.25,711.25,735.3,3528982,14.18
2025-06-10,739.25,739.3,727.7,731.6,302248,37.89
2025-06-11,733.0,740.95,715.15,723.85,379867,35.43
2025-06-12,723.85,727.6,704.0,709.5,269649,37.79
2025-06-13,690.05,707.0,688.9,701.35,300250,30.76
2025-06-16,696.85,725.0,683.0,720.55,549994,27.47
2025-06-17,717.0,719.0,700.0,702.95,225820,38.19
2025-06-18,701.0,712.65,691.0,693.45,240105,23.39
2025-06-19,687.0,711.55,673.8,681.65,365065,24.73
2025-06-20,678.0,685.85,647.1,653.45,1671052,66.88
2025-06-23,648.0,663.0,645.05,652.7,358676,30.87
2025-06-24,659.0,665.05,640.05,642.85,618601,49.44
2025-06-25,643.0,647.4,635.35,637.55,567658,52.13
2025-06-26,639.0,645.9,637.55,642.05,421383,39.84
2025-06-27,644.8,651.65,640.6,642.5,397051,39.72
2025-06-30,644.0,645.75,637.05,642.85,259976,42.97
2025-07-01,646.0,667.8,642.5,655.8,1471256,23.59
2025-07-02,656.05,657.7,642.0,647.5,498712,29.66
2025-07-03,651.8,654.55,644.0,649.15,322386,32.77
2025-07-04,648.8,650.4,643.0,646.55,174740,39.98
2025-07-07,644.0,646.25,631.05,636.2,267534,51.67
2025-07-08,635.75,641.5,630.35,636.65,292000,34.81
2025-07-09,639.0,640.0,633.1,635.7,198060,31.65
2025-07-10,632.55,669.0,632.55,648.8,1976611,15.97
2025-07-11,645.0,650.75,640.7,642.7,185068,36.0
2025-07-14,639.0,643.1,636.05,638.3,200400,38.11
2025-07-15,640.9,651.8,640.9,644.65,138609,37.14
2025-07-16,644.65,650.9,640.5,644.45,204032,33.14
2025-07-17,646.0,657.0,643.7,646.65,315155,31.25
2025-07-18,646.0,648.2,638.5,640.35,149180,44.17
2025-07-21,640.05,646.65,636.15,643.65,161022,31.19
2025-07-22,645.35,647.95,632.05,634.1,167422,48.15
2025-07-23,638.0,648.8,634.0,645.3,353164,28.71
2025-07-24,646.45,680.0,640.1,674.05,3027985,20.02
2025-07-25,676.0,676.0,652.15,658.1,598110,37.7
2025-07-28,650.0,658.75,635.65,638.8,323004,34.18
2025-07-29,636.0,650.0,633.2,647.15,241537,27.99
2025-07-30,650.0,668.0,639.85,654.15,721576,19.7
2025-07-31,634.0,648.4,625.05,638.6,328886,36.46
2025-08-01,639.0,649.95,621.0,626.0,319084,40.7
2025-08-04,626.0,632.65,618.0,628.45,205505,29.66
2025-08-05,626.0,637.95,622.55,626.6,167431,30.74
2025-08-06,626.15,632.45,616.0,618.6,145785,36.47
2025-08-07,613.0,618.7,596.05,612.4,329289,37.34
