DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,1750.9,1772.7,1702.8,1737.05,36480,48.13
2025-04-15,1788.0,1788.0,1739.5,1776.8,37681,56.45
2025-04-16,1774.0,1809.8,1760.3,1799.5,37365,64.33
2025-04-17,1799.5,1812.0,1769.7,1786.4,30655,58.76
2025-04-21,1800.5,1820.7,1793.5,1800.6,29514,65.69
2025-04-22,1811.0,1837.2,1780.0,1799.6,44583,52.59
2025-04-23,1810.0,1846.1,1775.0,1781.8,37302,56.13
2025-04-24,1782.0,1812.2,1766.8,1779.5,43129,64.88
2025-04-25,1779.6,1798.0,1746.5,1764.6,58570,63.02
2025-04-28,1770.1,1813.0,1765.5,1774.4,29183,48.99
2025-04-29,1774.5,1791.2,1770.1,1778.3,19415,57.38
2025-04-30,1774.0,1777.3,1755.6,1758.6,50028,71.63
2025-05-02,1753.8,1778.1,1752.0,1761.1,20568,70.45
2025-05-05,1761.0,1768.8,1728.0,1739.9,44511,71.07
2025-05-06,1740.0,1746.0,1695.0,1707.4,47580,82.82
2025-05-07,1694.0,1726.9,1690.0,1715.6,67169,67.87
2025-05-08,1735.0,1749.3,1701.0,1709.9,47524,62.36
2025-05-09,1700.0,1734.9,1691.0,1727.3,15505,56.1
2025-05-12,1745.0,1798.5,1745.0,1783.8,44639,65.7
2025-05-13,1783.9,1801.8,1736.4,1745.9,54426,70.19
2025-05-14,1751.0,1779.0,1726.1,1734.0,21522,51.18
2025-05-15,1749.7,1765.0,1726.4,1738.6,25010,49.76
2025-05-16,1749.0,1793.6,1742.0,1777.5,27413,56.22
2025-05-19,1797.0,1807.2,1765.4,1782.8,81722,71.49
2025-05-20,1793.8,1807.0,1765.7,1785.5,59453,64.11
2025-05-21,1800.0,1831.2,1729.9,1751.4,114003,56.3
2025-05-22,1760.0,1764.1,1712.0,1719.7,42921,55.7
2025-05-23,1739.8,1761.0,1685.0,1692.2,61964,71.2
2025-05-26,1697.0,1730.0,1680.0,1716.8,43275,50.43
2025-05-27,1716.9,1740.6,1702.0,1726.8,28595,56.32
2025-05-28,1738.9,1738.9,1700.5,1703.6,60000,80.49
2025-05-29,1703.7,1713.6,1684.1,1688.3,50064,78.8
2025-05-30,1688.4,1701.1,1675.0,1676.1,57995,75.55
2025-06-02,1670.0,1719.8,1668.0,1711.4,27595,59.35
2025-06-03,1725.0,1734.0,1710.0,1716.3,20188,67.57
2025-06-04,1729.0,1731.3,1707.5,1718.6,14297,66.73
2025-06-05,1718.7,1746.1,1713.8,1717.9,28696,70.87
2025-06-06,1717.9,1740.0,1714.8,1729.3,31315,67.43
2025-06-09,1737.8,1758.0,1720.0,1722.4,36285,62.11
2025-06-10,1720.0,1732.1,1711.0,1721.7,29331,61.61
2025-06-11,1735.0,1813.0,1730.6,1760.0,249866,34.58
2025-06-12,1779.6,1779.6,1735.0,1763.9,90161,66.43
2025-06-13,1750.6,1774.0,1734.2,1761.6,56589,56.33
2025-06-16,1770.0,1793.2,1741.7,1772.7,67084,62.09
2025-06-17,1772.7,1795.7,1762.6,1784.4,76648,58.16
2025-06-18,1784.5,1797.0,1766.4,1788.4,39154,64.14
2025-06-19,1788.9,1788.9,1730.4,1737.0,24196,53.85
2025-06-20,1734.0,1764.9,1720.1,1758.1,35620,44.09
2025-06-23,1750.0,1757.6,1739.0,1746.0,9730,50.6
2025-06-24,1749.0,1764.9,1735.1,1738.3,21663,53.6
