DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,225.78,230.98,223.72,230.02,24630876,49.66
2025-04-15,235.9,239.49,232.6,238.57,27663804,53.09
2025-04-16,239.05,242.75,237.26,242.28,27720767,44.85
2025-04-17,242.94,248.0,238.3,246.47,30422206,34.48
2025-04-21,250.0,250.0,244.5,246.38,31786610,47.18
2025-04-22,245.5,251.34,243.7,250.56,30235264,43.43
2025-04-23,252.0,258.55,251.39,258.14,37568336,46.08
2025-04-24,258.0,259.8,256.5,258.78,17152009,44.85
2025-04-25,258.78,261.62,249.1,253.05,33348716,39.44
2025-04-28,252.39,259.7,252.3,257.9,19380922,38.22
2025-04-29,258.1,259.75,255.6,257.63,12494831,39.5
2025-04-30,256.0,263.3,255.2,260.42,32058337,42.34
2025-05-02,262.9,265.2,257.75,258.8,20015942,34.93
2025-05-05,259.6,262.4,259.3,260.6,10986246,39.51
2025-05-06,259.25,260.75,250.4,251.2,18568703,43.67
2025-05-07,245.05,256.7,245.05,256.1,19393399,41.66
2025-05-08,256.1,258.3,249.4,251.45,14849940,49.15
2025-05-09,244.1,250.0,242.0,248.35,25011071,39.46
2025-05-12,258.95,263.5,257.0,262.9,19437052,45.41
2025-05-13,263.2,268.95,261.5,267.4,19305043,35.58
2025-05-14,268.8,269.95,265.2,267.5,13255755,43.48
2025-05-15,268.0,274.6,265.5,273.7,16201350,40.85
2025-05-16,274.1,277.95,273.05,277.0,13449060,44.71
2025-05-19,277.0,279.35,275.75,277.05,10202024,46.5
2025-05-20,277.1,278.0,270.85,271.45,12885413,48.22
2025-05-21,271.5,275.5,270.35,274.35,10476515,33.73
2025-05-22,274.45,277.35,271.4,274.55,13207455,47.86
2025-05-23,274.95,283.65,274.55,281.75,13548313,44.63
2025-05-26,282.75,284.7,281.35,281.75,8653797,42.11
2025-05-27,280.0,292.9,279.1,291.4,24400393,28.42
2025-05-28,296.05,299.25,288.8,290.35,37169009,40.55
2025-05-29,291.75,292.05,285.5,287.85,15854792,41.4
2025-05-30,288.0,291.0,285.6,286.65,17881681,59.77
2025-06-02,286.95,289.2,283.4,286.45,12638716,53.52
2025-06-03,287.75,290.8,283.1,283.9,9276084,43.12
2025-06-04,283.9,291.7,282.5,290.35,13640678,49.18
2025-06-05,292.0,293.0,289.55,291.5,11867068,54.82
2025-06-06,292.0,296.9,290.5,294.0,15858719,50.36
2025-06-09,296.0,305.5,295.65,304.25,26608267,40.63
2025-06-10,305.8,306.85,302.1,302.8,15246190,46.64
2025-06-11,303.5,306.8,299.7,302.65,17551031,36.17
2025-06-12,303.85,303.85,295.0,296.0,16175003,49.34
2025-06-13,288.0,295.3,287.8,294.05,16908691,43.63
2025-06-16,293.5,294.95,287.5,294.15,16256316,43.44
2025-06-17,295.0,295.5,289.4,289.8,8857573,40.57
2025-06-18,289.0,292.65,287.35,288.15,8400088,34.78
2025-06-19,289.5,290.6,282.7,284.1,13910925,35.19
2025-06-20,283.2,295.0,283.0,294.25,21062467,46.53
2025-06-23,288.55,295.9,287.45,293.15,13408538,34.43
2025-06-24,298.0,304.4,297.1,300.8,24073049,37.89
2025-06-25,303.7,304.95,302.0,303.3,11854474,38.47
2025-06-26,304.8,312.9,304.1,312.5,37158992,34.69
2025-06-27,314.1,329.3,312.85,323.45,60666211,27.17
2025-06-30,326.9,331.9,325.2,326.75,36746297,38.56
2025-07-01,328.2,331.9,327.1,329.6,20683383,34.45
2025-07-02,330.2,330.95,325.05,326.7,13385187,38.98
2025-07-03,327.55,328.75,324.55,325.05,11497044,37.47
2025-07-04,326.0,327.6,323.35,324.95,9623498,38.61
2025-07-07,324.95,329.7,323.05,328.05,13172854,35.13
2025-07-08,329.0,330.7,324.75,328.85,13953335,32.44
2025-07-09,329.0,335.3,328.75,329.85,24522736,34.15
2025-07-10,330.5,333.4,329.0,331.65,13973005,39.29
2025-07-11,331.0,331.0,325.0,325.8,14554942,43.1
2025-07-14,325.0,327.7,317.65,319.1,17980889,52.63
2025-07-15,321.1,322.55,318.3,321.2,12753151,37.5
2025-07-16,321.0,322.7,318.65,319.55,14151922,46.32
2025-07-17,320.1,320.95,317.35,318.15,12037735,46.36
2025-07-18,320.5,323.95,313.75,316.85,29776471,39.85
2025-07-21,318.2,320.8,314.1,317.25,16996843,45.13
2025-07-22,318.0,318.45,309.85,310.8,15797945,50.58
2025-07-23,311.6,315.2,311.6,314.45,9726960,46.53
2025-07-24,315.0,319.4,313.45,316.45,11348072,42.1
2025-07-25,315.55,315.55,310.2,311.25,10957081,44.23
2025-07-28,311.25,315.85,306.5,307.35,15732708,45.37
2025-07-29,306.3,322.5,306.3,321.1,27086587,37.53
2025-07-30,323.0,324.0,319.7,320.3,15393963,35.78
2025-07-31,317.0,332.65,316.45,329.25,49292436,35.78
