DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,322.3,323.55,316.1,320.6,236793,38.58
2025-04-15,327.0,329.0,322.25,323.95,214743,48.39
2025-04-16,324.05,333.55,324.05,330.4,380956,34.4
2025-04-17,331.5,333.0,327.45,330.5,243429,45.82
2025-04-21,337.0,338.0,330.5,335.6,275675,42.63
2025-04-22,340.55,344.65,333.85,344.05,379259,49.05
2025-04-23,348.35,348.8,339.7,341.15,339000,46.58
2025-04-24,341.9,346.05,338.6,339.2,225802,43.05
2025-04-25,339.7,341.65,323.3,326.7,300442,40.66
2025-04-28,325.1,330.4,322.9,327.55,199757,33.19
2025-04-29,334.55,334.55,321.5,323.45,324712,50.13
2025-04-30,321.6,323.95,313.0,314.7,410781,55.15
2025-05-02,313.7,319.85,308.35,308.9,332158,40.96
2025-05-05,311.8,315.45,308.15,313.0,422822,67.19
2025-05-06,313.0,317.65,299.0,300.05,405300,51.49
2025-05-07,299.0,308.2,296.85,307.3,283889,37.61
2025-05-08,308.4,321.45,305.3,307.85,465085,33.52
2025-05-09,304.0,309.6,299.0,308.45,300347,24.42
2025-05-12,318.95,323.55,314.65,319.9,490618,53.82
2025-05-13,321.9,334.0,319.5,332.3,461868,44.34
2025-05-14,334.3,345.0,333.25,341.9,559965,47.27
2025-05-15,343.85,351.95,342.1,346.8,549505,44.15
2025-05-16,348.85,355.2,346.4,353.25,421348,42.51
2025-05-19,355.5,357.7,348.0,353.35,522266,38.06
2025-05-20,340.0,352.0,335.35,348.1,977488,31.16
2025-05-21,348.0,354.85,345.2,353.3,441455,47.1
2025-05-22,351.0,364.5,349.65,362.3,829980,38.02
2025-05-23,363.0,367.9,359.0,360.0,332111,37.77
2025-05-26,360.2,371.7,358.6,370.45,569013,43.64
2025-05-27,370.45,371.95,363.4,366.35,235290,41.87
2025-05-28,368.5,370.05,365.65,368.45,184924,50.82
2025-05-29,370.25,372.0,366.0,368.1,231370,51.23
2025-05-30,368.1,370.0,363.5,366.05,189232,46.77
2025-06-02,365.2,372.2,364.4,367.1,274691,41.39
2025-06-03,367.1,379.9,367.1,370.75,663180,35.75
2025-06-04,372.0,373.95,365.5,371.0,168850,36.25
2025-06-05,372.45,376.05,370.5,374.9,224093,47.91
2025-06-06,374.9,379.0,370.9,374.45,242394,45.61
2025-06-09,374.45,380.0,371.4,378.7,310547,47.64
2025-06-10,381.15,386.95,373.9,375.65,366423,44.43
2025-06-11,376.95,388.0,373.65,384.15,728345,62.58
2025-06-12,386.0,387.75,369.45,371.6,410918,52.22
2025-06-13,365.0,369.65,361.4,365.05,269783,44.09
2025-06-16,366.5,370.35,356.9,366.6,207929,36.6
2025-06-17,367.85,368.0,359.25,362.0,165796,53.33
2025-06-18,360.55,366.45,357.0,361.4,164642,34.06
2025-06-19,361.0,363.0,349.05,350.8,162405,43.21
2025-06-20,350.9,357.8,348.45,354.85,194576,41.02
2025-06-23,352.0,356.35,350.35,352.95,182636,52.6
2025-06-24,357.4,365.15,356.9,360.1,261763,45.26
2025-06-25,362.0,371.45,361.55,366.2,202531,40.76
2025-06-26,367.95,370.0,364.0,368.05,184362,36.49
2025-06-27,370.2,375.0,367.45,371.95,306503,46.2
2025-06-30,373.8,375.4,366.55,370.6,307941,51.56
2025-07-01,370.5,372.4,365.0,370.05,183788,52.28
2025-07-02,368.05,372.8,364.25,370.75,152252,41.17
2025-07-03,373.45,374.7,366.0,368.15,165494,51.99
2025-07-04,368.5,412.7,368.5,406.3,7731152,15.64
2025-07-07,401.0,414.0,395.15,399.3,1934040,25.05
2025-07-08,398.05,408.3,398.05,404.55,800311,35.66
2025-07-09,404.0,407.15,399.65,405.05,397213,39.13
2025-07-10,401.0,404.8,392.95,394.95,488105,40.53
2025-07-11,393.0,397.25,385.25,391.25,367542,36.12
2025-07-14,390.9,390.9,382.25,384.6,255896,40.42
2025-07-15,386.5,398.55,385.35,394.1,565863,41.32
2025-07-16,395.0,397.4,390.15,392.2,239083,43.63
2025-07-17,393.6,398.0,391.05,394.7,260526,41.71
2025-07-18,394.75,407.6,388.0,390.6,795751,33.6
2025-07-21,389.8,389.8,382.05,383.75,237391,49.15
2025-07-22,385.5,387.2,380.5,383.3,195314,51.78
2025-07-23,387.9,387.9,382.0,386.0,196167,37.96
2025-07-24,387.9,390.0,380.3,383.25,259363,44.59
2025-07-25,383.0,383.55,373.0,374.15,198160,52.12
2025-07-28,370.0,374.0,349.6,354.45,583001,47.07
2025-07-29,352.5,364.5,350.85,362.75,419309,28.64
2025-07-30,367.4,367.6,352.95,354.0,256200,50.01
2025-07-31,351.9,362.4,347.0,358.8,309909,50.7
2025-08-01,351.0,358.45,348.4,349.55,152125,51.64
2025-08-04,349.1,357.95,345.75,355.3,217966,48.62
2025-08-05,353.1,360.45,345.8,346.95,310995,47.04
2025-08-06,347.05,354.0,343.15,351.75,243936,47.96
2025-08-07,351.75,354.35,346.0,353.2,223950,48.95
2025-08-08,353.9,356.15,348.05,350.25,127158,42.85
2025-08-11,349.0,357.55,346.2,353.15,167781,46.46
2025-08-12,353.15,354.4,348.65,349.95,98619,51.9
2025-08-13,351.7,362.0,347.0,357.95,231278,43.84
2025-08-14,359.25,361.1,354.05,356.2,101246,48.72
2025-08-18,360.0,365.95,355.05,357.15,217038,42.34
2025-08-19,355.0,358.0,347.6,355.7,166445,45.92
2025-08-20,355.7,358.9,353.0,354.25,80182,49.67
2025-08-21,356.0,360.0,352.2,353.1,186990,50.03
2025-08-22,352.1,354.2,346.1,348.7,112513,50.54
2025-08-25,375.95,415.0,375.95,409.3,24526085,8.37
2025-08-26,404.0,404.0,375.0,378.3,3484097,15.19
2025-08-28,376.4,384.4,372.3,379.25,1163848,15.3
2025-08-29,378.5,379.9,372.0,374.7,527085,32.94
2025-09-01,374.95,382.9,371.0,380.7,644955,40.53
2025-09-02,382.5,399.15,377.2,388.35,1041909,38.11
2025-09-03,388.35,391.9,382.1,390.1,562750,47.81
2025-09-04,410.0,413.75,396.55,399.15,1772883,43.38
2025-09-05,399.15,408.5,395.2,400.3,493147,26.3
2025-09-08,401.4,403.5,391.35,396.45,361763,44.36
2025-09-09,400.0,404.05,398.0,402.15,262223,38.46
2025-09-10,404.95,405.9,397.05,398.25,222910,54.59
2025-09-11,400.0,405.5,396.0,397.4,226358,46.09
2025-09-12,398.8,400.85,387.35,389.6,175208,47.65
