DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,79.39,79.39,76.8,77.49,5398,85.29
2025-04-15,79.5,79.5,77.49,77.77,2481,75.94
2025-04-16,78.4,81.5,77.71,81.02,7815,74.41
2025-04-17,81.8,82.79,80.42,81.48,6929,78.27
2025-04-21,82.99,83.39,82.05,82.65,3755,62.13
2025-04-22,82.0,83.6,81.1,82.19,6309,80.74
2025-04-23,83.79,83.8,81.2,82.19,2648,63.18
2025-04-24,82.0,82.72,78.81,80.13,10757,64.66
2025-04-25,80.83,81.45,78.15,78.45,4725,67.05
2025-04-28,79.0,79.99,78.95,79.31,4126,82.79
2025-04-29,78.95,84.8,78.95,83.13,17353,66.73
2025-04-30,83.98,84.4,80.85,83.3,15783,86.39
2025-05-02,90.0,99.96,90.0,99.96,158857,65.59
2025-05-05,109.99,111.99,102.42,103.08,898247,22.94
2025-05-06,103.0,103.0,93.89,95.23,98820,50.35
2025-05-07,94.4,103.0,89.63,98.68,52067,43.9
2025-05-08,98.67,104.9,93.01,94.42,154461,23.29
2025-05-09,92.5,94.8,86.2,88.76,86565,46.81
2025-05-12,90.0,96.47,90.0,95.87,35327,41.91
2025-05-13,93.99,93.99,90.2,92.3,32423,54.02
2025-05-14,94.7,94.7,90.2,92.14,24156,55.21
2025-05-15,92.06,96.8,92.06,94.54,36358,47.88
2025-05-16,95.0,97.0,94.29,95.63,19115,51.79
2025-05-19,96.8,98.06,94.38,95.26,13653,44.0
2025-05-20,95.69,96.59,94.1,94.29,10193,64.42
2025-05-21,95.0,96.3,92.5,94.44,20703,35.08
2025-05-22,95.25,96.7,91.21,93.03,20148,43.73
2025-05-23,93.34,94.67,92.03,93.15,14364,56.84
2025-05-26,93.15,95.16,93.0,94.23,11251,66.42
2025-05-27,95.5,95.5,91.5,93.69,13196,60.08
2025-05-28,95.69,97.0,94.01,95.98,18834,69.24
2025-05-29,98.8,101.45,97.15,98.22,41578,59.14
2025-05-30,100.88,101.09,96.46,97.96,33362,47.06
2025-06-02,98.0,98.49,96.21,97.21,14374,56.87
2025-06-03,98.5,98.5,96.0,96.22,6755,61.17
2025-06-04,94.41,97.94,94.41,96.22,13252,63.02
2025-06-05,95.34,97.1,95.34,96.79,9786,47.88
2025-06-06,96.79,98.0,96.5,96.56,8192,48.33
2025-06-09,96.0,96.93,93.32,94.56,35952,57.05
2025-06-10,94.57,97.0,94.57,96.26,19163,52.8
2025-06-11,97.99,97.99,95.2,95.49,16031,40.99
