DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,1090.0,1110.95,1086.0,1089.7,7330,63.26
2025-04-15,1089.7,1300.0,1089.7,1275.7,27057,33.47
2025-04-16,1300.0,1309.0,1250.0,1276.0,11039,61.02
2025-04-17,1275.0,1324.9,1245.0,1279.0,9728,50.62
2025-04-21,1261.0,1330.0,1261.0,1287.4,9682,62.7
2025-04-22,1289.4,1374.0,1281.0,1337.8,8462,59.19
2025-04-23,1337.8,1400.0,1308.5,1332.8,9140,49.67
2025-04-24,1341.4,1370.0,1321.0,1347.6,7244,70.09
2025-04-25,1355.1,1480.0,1345.0,1444.6,29647,39.56
2025-04-28,1390.5,1495.0,1390.5,1447.8,10432,40.18
2025-04-29,1438.9,1549.0,1438.9,1483.1,13478,32.03
2025-04-30,1495.0,1539.0,1461.5,1486.7,7429,34.72
2025-05-02,1465.0,1491.9,1439.1,1455.4,4447,53.72
2025-05-05,1440.0,1465.1,1428.5,1457.5,2577,56.85
2025-05-06,1450.0,1467.8,1427.0,1439.5,7105,71.03
2025-05-07,1432.9,1456.1,1381.0,1389.0,8463,61.38
2025-05-08,1392.0,1442.9,1342.3,1372.1,7893,45.61
2025-05-09,1350.0,1435.0,1350.0,1410.9,4761,49.21
2025-05-12,1500.0,1523.9,1426.2,1484.4,8097,50.52
2025-05-13,1479.6,1565.0,1479.1,1546.2,7822,54.23
2025-05-14,1555.0,1610.0,1540.2,1564.6,4632,48.94
2025-05-15,1570.0,1583.0,1526.1,1541.1,3094,44.96
2025-05-16,1515.0,1559.8,1501.0,1523.0,3270,44.13
2025-05-19,1522.8,1565.0,1453.1,1472.9,9699,67.31
2025-05-20,1455.0,1492.0,1455.0,1457.2,2355,63.14
2025-05-21,1457.2,1503.8,1420.0,1485.8,2579,44.55
2025-05-22,1471.4,1499.9,1460.2,1494.5,1658,52.53
2025-05-23,1458.3,1536.4,1458.3,1519.9,2705,48.8
2025-05-26,1500.0,1567.8,1500.0,1557.8,3589,49.9
2025-05-27,1528.9,1577.8,1523.8,1563.3,1926,49.48
2025-05-28,1554.5,1585.7,1536.0,1581.8,3924,47.96
2025-05-29,1590.0,1689.7,1577.2,1618.0,13331,40.91
2025-05-30,1620.0,1620.0,1538.2,1561.7,9977,38.63
2025-06-02,1561.7,1561.7,1509.9,1535.0,4648,67.15
