DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,839.85,839.85,802.15,835.5,271618,32.97
2025-04-15,881.15,893.0,853.6,880.2,408953,31.1
2025-04-16,882.0,921.6,877.05,916.95,456000,29.04
2025-04-17,924.0,925.0,901.0,921.9,271240,32.96
2025-04-21,956.0,1048.9,955.0,1028.25,12377430,4.26
2025-04-22,1021.95,1033.25,980.25,984.25,1364279,30.31
2025-04-23,986.75,997.0,960.25,985.4,781199,23.95
2025-04-24,982.0,994.0,957.25,960.3,447482,37.75
2025-04-25,963.0,968.15,915.6,923.35,465476,29.72
2025-04-28,923.0,945.9,909.45,939.45,424766,33.88
2025-04-29,934.9,951.9,929.15,942.75,267372,38.17
2025-04-30,932.55,962.5,930.0,936.8,382849,31.83
2025-05-02,936.8,959.05,925.05,938.4,223736,34.01
2025-05-05,952.5,952.5,915.4,919.2,252073,39.94
2025-05-06,918.0,931.2,896.0,898.65,207969,41.25
2025-05-07,885.0,907.45,885.0,901.65,199946,30.68
2025-05-08,901.95,914.55,876.05,881.4,195026,47.16
2025-05-09,870.0,889.6,855.55,884.9,149023,30.94
2025-05-12,914.3,931.9,905.15,926.15,327999,46.59
2025-05-13,929.0,943.6,923.05,938.5,177814,41.57
2025-05-14,939.9,943.15,921.1,937.15,191159,44.8
2025-05-15,944.85,954.1,933.0,936.0,247559,44.2
2025-05-16,941.95,965.0,930.3,951.85,361555,34.78
2025-05-19,951.0,963.8,938.0,941.3,232072,40.84
2025-05-20,949.65,950.95,911.0,914.8,185264,48.08
2025-05-21,916.0,928.1,913.05,918.25,235427,70.71
2025-05-22,920.1,928.3,913.25,918.55,119728,36.61
2025-05-23,928.0,936.65,919.1,927.65,136630,38.91
2025-05-26,930.0,940.0,910.3,915.05,177809,58.24
2025-05-27,918.0,921.4,897.25,900.8,220773,60.1
2025-05-28,908.8,908.8,893.15,896.05,117828,49.62
2025-05-29,896.3,904.8,883.45,885.6,192814,57.49
2025-05-30,887.0,899.35,877.0,888.45,151670,40.28
2025-06-02,888.45,893.95,880.0,882.6,124018,48.2
2025-06-03,883.0,902.25,881.55,894.0,160214,44.9
2025-06-04,899.0,902.95,884.4,887.0,96753,46.12
2025-06-05,889.45,907.5,888.0,899.5,141275,34.3
2025-06-06,908.95,911.8,892.4,895.7,142797,38.53
2025-06-09,903.9,926.9,900.0,916.35,259682,44.37
2025-06-10,919.0,934.0,915.0,918.3,189193,47.63
2025-06-11,918.4,939.5,916.0,921.3,241663,36.42
2025-06-12,926.95,928.65,900.0,903.8,158869,44.01
2025-06-13,885.0,902.85,885.0,895.2,138587,42.07
2025-06-16,897.0,899.7,863.1,881.55,289190,41.25
2025-06-17,886.8,902.4,875.2,880.4,180005,37.02
2025-06-18,885.4,887.2,870.15,876.5,92323,34.08
2025-06-19,880.0,881.0,862.4,870.3,224986,21.97
2025-06-20,869.8,885.0,859.0,877.75,200699,36.24
2025-06-23,875.0,876.95,863.3,868.2,126474,39.41
2025-06-24,880.0,903.0,879.95,885.3,189888,29.85
2025-06-25,888.0,937.95,888.0,918.9,461804,29.07
2025-06-26,923.0,931.45,906.1,910.05,147802,36.16
2025-06-27,916.95,927.9,910.0,915.3,275935,23.37
2025-06-30,917.0,933.0,913.5,929.0,190504,46.58
2025-07-01,925.8,938.8,918.3,929.0,140342,37.17
2025-07-02,929.0,936.0,915.5,920.7,112080,41.96
2025-07-03,927.05,933.7,921.45,926.85,90897,45.41
2025-07-04,930.0,952.65,924.55,933.25,462681,26.09
2025-07-07,942.6,944.4,915.1,917.5,154082,44.36
2025-07-08,919.95,930.25,907.65,912.55,147883,42.39
2025-07-09,915.0,933.05,915.0,920.4,163085,35.06
