DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-08-17,856.0,884.95,850.0,855.5,5566,89.94
2026-08-18,855.3,869.95,850.0,859.85,3299,62.87
2026-08-19,847.05,870.0,847.05,864.55,5821,56.62
2026-08-20,877.7,877.7,840.05,849.9,36308,80.0
2026-08-21,850.9,854.95,830.25,849.5,11365,64.64
2026-08-24,849.5,871.9,845.2,860.5,19487,56.87
2026-08-25,853.4,879.75,835.3,864.6,16021,53.29
2026-08-26,874.9,911.0,870.0,903.65,18576,58.12
2026-08-27,900.0,910.0,890.0,890.55,5200,58.42
2026-08-28,897.15,904.55,873.0,879.65,5279,68.5
2026-08-31,883.0,900.0,873.25,878.15,9887,69.14
2026-09-01,881.95,888.3,865.15,870.95,6970,54.46
