DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-04-20,418.0,418.0,386.0,400.65,127,52.76
2026-04-21,401.0,423.95,392.05,400.0,77,97.4
2026-04-22,393.0,396.4,372.0,379.8,2558,68.84
2026-04-23,380.5,393.0,379.95,386.15,940,63.3
2026-04-24,386.1,463.35,369.0,448.2,14963,69.0
2026-04-27,419.0,447.8,408.0,409.95,15651,42.15
2026-04-28,412.9,424.0,403.25,408.05,2173,50.53
2026-04-29,410.0,417.0,401.0,404.75,2495,66.61
2026-08-11,367.0,375.0,353.5,355.8,1258,99.76
2026-08-12,338.05,373.55,338.05,373.55,2471,84.18
2026-08-13,389.0,391.95,376.0,377.9,6072,74.92
2026-08-14,377.9,381.0,365.0,370.6,1663,87.37
2026-08-17,370.0,378.0,360.05,377.65,338,84.02
2026-08-18,372.0,376.0,364.0,374.0,3174,92.47
2026-08-19,372.0,380.0,371.0,374.6,452,73.23
2026-08-20,379.75,379.75,364.55,372.0,1610,98.14
2026-08-21,373.85,377.0,359.95,373.5,939,86.9
2026-08-24,373.5,377.0,369.0,373.65,2890,95.78
2026-08-25,392.3,392.3,382.3,392.3,8126,94.67
2026-08-26,411.0,411.9,405.0,411.9,3619,84.19
2026-08-27,432.45,432.45,400.0,420.0,14970,49.96
2026-08-28,415.5,435.0,404.2,422.3,4421,84.42
2026-08-31,424.0,426.0,412.2,421.1,3220,90.62
