DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-05-05,0.43,0.45,0.39,0.42,42751619,45.73
2025-05-06,0.42,0.43,0.39,0.41,17919105,56.3
2025-05-07,0.4,0.41,0.37,0.38,28551540,41.17
2025-05-08,0.38,0.39,0.37,0.38,25546937,36.26
2025-05-09,0.38,0.38,0.36,0.37,27453791,24.3
2025-05-12,0.38,0.4,0.36,0.37,58740583,49.58
2025-05-13,0.37,0.37,0.34,0.35,51974787,55.89
2025-05-14,0.36,0.38,0.34,0.37,75061652,36.1
2025-05-15,0.37,0.4,0.36,0.39,51996483,41.0
2025-05-16,0.38,0.41,0.38,0.39,35820998,40.23
2025-05-19,0.39,0.4,0.37,0.39,43229555,50.74
2025-05-20,0.4,0.4,0.36,0.37,38159737,42.78
2025-05-21,0.37,0.38,0.35,0.35,19665181,67.08
2025-05-22,0.35,0.37,0.34,0.36,34997322,43.12
2025-05-23,0.36,0.39,0.35,0.37,55535883,33.75
2025-05-26,0.38,0.39,0.37,0.38,47397866,28.38
2025-05-27,0.39,0.4,0.37,0.39,25133864,38.34
2025-05-28,0.39,0.42,0.38,0.4,133138717,52.86
2025-05-29,0.4,0.42,0.38,0.39,34040205,54.49
2025-05-30,0.39,0.39,0.36,0.37,49414004,45.13
2025-06-02,0.36,0.38,0.36,0.37,43838616,51.5
2025-06-03,0.37,0.38,0.36,0.36,18067943,68.83
2025-06-04,0.35,0.37,0.35,0.35,28954489,57.52
2025-06-05,0.35,0.38,0.35,0.36,47405508,49.73
2025-06-06,0.37,0.38,0.36,0.37,57328539,54.5
2025-06-09,0.37,0.39,0.37,0.38,31744885,48.94
2025-06-10,0.39,0.39,0.37,0.38,29872929,33.51
2025-06-11,0.38,0.39,0.38,0.38,49765725,48.41
2025-06-12,0.39,0.45,0.38,0.45,208104804,33.64
2025-06-13,0.43,0.49,0.41,0.44,225002578,40.11
2025-06-16,0.46,0.52,0.46,0.52,194148187,53.35
2025-06-17,0.61,0.62,0.58,0.62,227039328,43.18
2025-06-18,0.62,0.67,0.55,0.55,341466359,38.15
2025-06-19,0.54,0.57,0.49,0.49,238314433,42.96
2025-06-20,0.49,0.51,0.48,0.49,145869506,34.08
