DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,48.2,49.0,47.66,48.67,89765,51.36
2025-04-15,49.4,51.0,49.16,50.81,135628,54.96
2025-04-16,51.15,51.8,50.39,50.71,93222,44.77
2025-04-17,50.9,53.0,50.23,51.51,240091,37.9
2025-04-21,51.9,53.5,51.5,53.08,221257,55.15
2025-04-22,53.49,57.85,53.24,55.59,560189,40.46
2025-04-23,55.99,57.49,54.69,56.65,384056,48.02
2025-04-24,59.0,64.3,58.11,59.88,2075795,19.42
2025-04-25,59.79,60.3,56.51,57.14,331900,41.36
2025-04-28,57.36,57.68,56.25,56.38,140565,44.93
2025-04-29,56.4,58.0,56.4,56.82,116110,42.75
2025-04-30,56.9,56.9,53.1,54.04,191705,42.04
2025-05-02,54.65,55.22,52.69,53.05,155424,29.92
2025-05-05,53.4,54.69,52.4,54.32,161731,42.21
2025-05-06,54.55,54.64,51.5,52.21,105623,45.6
2025-05-07,51.45,54.7,51.23,53.12,123393,32.01
2025-05-08,53.5,54.8,51.5,51.8,126994,32.11
2025-05-09,49.51,51.83,49.51,51.29,136734,39.71
2025-05-12,52.3,56.2,52.3,55.75,234259,53.67
2025-05-13,56.75,57.5,55.22,56.23,138948,67.15
2025-05-14,56.98,59.99,55.98,59.03,215063,49.86
2025-05-15,59.1,63.9,58.71,63.17,427663,52.73
2025-05-16,63.7,67.9,62.79,67.5,598289,59.64
2025-05-19,67.82,74.46,67.82,73.81,733665,57.59
2025-05-20,74.35,74.9,71.88,72.7,471271,52.79
2025-05-21,71.51,73.0,70.15,72.22,165648,53.57
2025-05-22,72.2,73.73,70.52,73.22,210837,38.94
2025-05-23,72.24,77.0,72.24,74.99,410769,51.15
2025-05-26,75.36,79.49,75.0,78.91,699128,65.88
2025-05-27,79.0,79.35,75.2,77.4,309960,50.25
2025-05-28,76.9,81.61,76.89,79.17,612743,60.8
2025-05-29,79.77,83.1,79.56,82.59,680793,61.56
2025-05-30,83.23,83.75,77.72,78.88,310769,65.42
2025-09-01,110.62,127.96,110.5,121.6,2461338,36.21
2025-09-02,123.3,126.0,118.41,121.59,755142,55.92
2025-09-03,121.5,127.7,120.93,125.34,615945,54.05
2025-09-04,126.84,128.35,120.07,125.1,413228,57.44
2025-09-05,125.0,129.46,124.11,125.06,282969,47.14
2025-09-08,126.0,126.8,121.57,123.3,186291,56.6
2025-09-09,124.0,133.0,124.0,131.45,1795403,46.57
2025-09-10,132.1,133.59,129.1,130.37,467949,54.85
2025-09-11,129.8,134.48,128.01,129.82,264030,59.56
2025-09-12,130.33,133.5,124.06,129.17,473287,45.28
2025-09-15,129.0,132.9,127.49,131.87,449119,54.14
2025-09-16,132.45,135.8,130.26,132.27,525987,45.93
2025-09-17,132.21,133.9,129.1,130.25,233357,54.34
2025-09-18,130.3,132.0,126.61,127.78,306562,50.84
2025-09-19,128.93,130.79,127.57,128.79,155598,58.75
2025-09-22,129.95,135.1,128.71,130.58,464627,48.47
2025-09-23,131.11,132.37,129.21,130.5,173748,52.14
2025-09-24,130.99,131.49,126.51,127.3,111909,60.47
2025-09-25,127.3,129.49,122.3,123.98,170522,56.4
2025-09-26,123.5,123.86,117.8,118.71,275744,51.87
2025-09-29,119.15,126.0,117.03,123.52,428995,46.13
2025-09-30,123.54,127.88,119.65,122.27,330741,55.44
2025-10-01,122.71,124.0,121.7,122.88,121559,66.1
2025-10-03,123.81,124.43,120.16,120.94,200706,58.38
2025-10-06,120.9,127.0,120.75,121.87,314372,35.17
2025-10-07,122.0,125.28,121.2,123.25,231644,51.74
2025-10-08,123.9,129.9,123.39,125.16,680900,49.59
2025-10-09,125.5,127.8,122.61,124.61,202137,42.04
2025-10-10,124.98,125.01,121.55,123.68,197760,56.42
2025-10-13,123.49,126.0,121.11,122.22,157516,46.37
2025-10-14,123.3,124.09,116.8,118.11,265123,53.73
2025-10-15,118.99,121.7,118.31,119.59,210158,49.85
2025-10-16,119.8,126.5,119.8,124.67,464644,53.05
2025-10-17,125.02,126.5,122.1,123.49,307973,55.98
2025-10-20,123.0,128.75,122.04,126.53,311583,67.84
2025-10-21,127.4,128.8,124.01,127.06,126207,61.48
2025-10-22,127.4,128.8,124.01,127.06,126207,61.48
2025-10-23,128.0,129.9,125.0,125.56,196341,52.66
2025-10-24,125.03,126.8,122.25,124.99,325963,58.88
2025-10-27,125.9,127.5,122.25,123.73,335338,58.97
2025-10-28,125.99,132.9,124.5,127.37,2413654,32.54
2025-10-29,129.0,131.8,113.45,116.59,5016037,28.75
2025-10-30,117.45,120.98,107.5,108.18,1532198,36.94
