DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,140.4,143.44,139.99,141.35,49925,37.24
2025-04-15,144.9,152.0,142.06,149.56,118613,54.74
2025-04-16,151.0,151.0,147.54,149.0,40835,48.84
2025-04-17,148.76,151.51,148.04,149.45,63399,56.25
2025-04-21,148.1,151.88,148.0,150.34,79229,51.79
2025-04-22,150.05,154.45,149.2,150.36,103647,45.67
2025-04-23,152.75,152.97,148.15,149.52,65972,48.17
2025-04-24,151.7,152.45,149.82,150.8,61383,56.81
2025-04-25,153.0,153.9,145.01,146.72,72659,52.98
2025-04-28,145.06,147.49,144.33,146.06,56145,38.21
2025-04-29,147.98,148.39,139.25,141.95,105884,58.63
2025-04-30,140.84,144.43,136.25,137.36,158388,58.13
2025-05-02,138.05,142.51,137.91,138.44,76981,43.45
2025-05-05,140.0,141.99,136.66,140.51,48946,46.41
2025-05-06,139.8,141.59,136.55,137.98,60093,49.97
2025-05-07,136.0,137.97,135.0,136.87,63804,45.61
2025-05-08,137.55,140.41,135.85,136.77,70965,44.44
2025-05-09,134.0,136.8,132.05,135.51,49192,44.44
2025-05-12,140.0,141.0,138.1,138.92,144506,55.18
2025-05-13,138.95,139.5,137.48,138.41,114301,64.66
2025-05-14,139.5,144.68,138.49,143.94,132506,51.3
2025-05-15,144.5,144.6,140.51,141.03,116652,65.06
2025-05-16,141.0,143.9,141.0,143.4,89710,54.19
2025-05-19,144.0,151.21,142.67,147.62,202675,51.22
2025-05-20,149.4,150.0,143.42,144.2,81791,50.03
2025-05-21,144.93,147.76,143.02,144.2,104995,54.08
2025-05-22,145.61,147.79,143.26,146.82,70190,57.56
2025-05-23,144.76,146.09,141.05,143.18,134134,50.12
2025-05-26,143.95,149.08,143.95,148.15,292589,46.81
2025-05-27,148.0,169.93,147.5,164.22,839517,41.43
2025-05-28,168.6,171.14,162.65,165.01,690574,30.15
2025-05-29,164.01,166.94,161.16,163.38,139208,33.76
2025-05-30,165.0,174.79,163.6,172.18,539510,38.05
2025-06-02,174.0,178.89,170.86,174.91,313880,46.97
2025-06-03,176.31,176.45,167.0,170.33,183910,37.0
2025-06-04,170.0,172.0,167.1,171.0,113205,30.98
2025-06-05,171.0,178.0,170.0,170.42,240296,34.76
2025-06-06,171.0,172.74,166.5,167.8,99535,42.81
2025-06-09,168.44,172.44,166.51,167.38,100831,42.71
2025-06-10,169.05,169.75,161.3,162.48,239642,52.48
2025-06-11,164.0,167.9,162.01,165.01,135038,52.46
2025-06-12,165.01,165.78,156.0,160.69,146320,43.5
2025-06-13,158.9,174.44,156.94,172.24,1006842,24.12
2025-06-16,173.0,179.52,170.26,172.78,330615,35.46
2025-06-17,172.0,173.35,166.8,167.36,134394,47.91
2025-06-18,167.4,168.89,161.99,164.21,157207,37.98
2025-06-19,165.85,166.89,158.4,160.93,103729,36.69
2025-06-20,160.01,168.93,159.0,164.98,239732,26.33
2025-06-23,162.71,170.0,161.32,166.49,173634,43.96
2025-06-24,169.82,175.9,168.51,173.32,457817,39.86
2025-06-25,172.85,181.95,171.2,180.28,352812,46.02
2025-06-26,189.3,198.5,185.0,187.25,1827757,25.38
2025-06-27,187.9,192.5,185.3,186.77,590804,21.06
2025-06-30,187.9,199.0,187.5,192.62,808924,22.07
2025-07-01,193.04,195.01,188.49,189.79,173104,37.2
2025-07-02,191.6,201.0,190.73,195.57,1189878,19.9
2025-07-03,193.4,195.66,189.03,192.16,471961,20.69
2025-07-04,194.1,200.79,190.11,197.97,589308,30.63
2025-07-07,200.1,207.49,196.56,202.31,1091014,27.0
2025-07-08,203.32,204.33,192.53,194.54,237324,46.05
2025-07-09,193.73,203.99,193.73,198.55,436562,25.45
2025-07-10,197.1,199.17,196.0,196.58,94334,43.26
2025-07-11,196.0,197.66,189.0,190.32,158773,48.34
2025-07-14,191.7,191.7,185.03,185.97,216974,32.42
2025-07-15,186.6,194.0,186.6,193.32,165816,50.76
2025-07-16,196.2,196.2,190.0,191.37,101363,47.4
2025-07-17,191.9,195.0,189.0,192.18,242827,28.5
2025-07-18,194.0,194.0,189.1,190.14,65212,52.46
2025-07-21,190.69,190.74,185.25,187.42,114923,42.64
2025-07-22,188.35,188.44,182.0,182.5,102558,54.64
2025-07-23,182.0,183.49,180.0,181.31,148807,43.74
2025-07-24,181.99,187.91,179.7,184.6,136350,34.36
2025-07-25,185.0,186.01,178.71,181.26,87015,44.97
2025-07-28,180.6,181.68,172.63,178.33,141482,48.89
2025-07-29,178.33,184.4,177.25,183.64,78646,43.06
2025-07-30,184.1,187.7,182.17,186.08,81088,44.04
2025-07-31,182.76,184.31,180.0,180.98,94751,46.25
2025-08-01,180.98,183.52,174.21,176.1,69268,41.17
2025-08-04,174.5,179.49,173.44,175.76,56172,45.94
2025-08-05,175.9,176.59,172.31,174.67,38644,42.02
2025-08-06,172.15,175.19,166.59,170.34,100445,49.53
2025-08-07,170.34,173.9,162.4,171.81,120193,46.99
2025-08-08,173.0,173.01,162.83,164.82,130413,54.48
2025-08-11,167.0,167.0,160.99,164.04,87782,39.61
2025-08-12,162.1,162.7,153.2,155.04,212001,52.16
2025-08-13,157.4,162.45,155.88,160.7,107528,41.2
2025-08-14,158.3,163.19,158.3,160.81,52315,46.45
2025-08-18,161.0,164.79,158.72,161.29,56911,48.5
