DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-12-11,21.5,22.0,18.1,18.98,261821,55.32
2025-12-12,19.37,19.49,17.11,17.33,118762,72.97
2025-12-15,17.8,18.99,17.21,17.67,77093,56.21
2025-12-16,18.01,18.95,17.67,17.79,56033,68.79
2025-12-17,18.49,18.49,17.25,17.32,58489,71.74
2025-12-18,17.31,18.2,16.5,16.86,36574,85.95
2025-12-19,16.99,17.0,15.75,16.15,56671,84.83
2025-12-22,16.15,16.59,14.75,14.93,95787,86.12
2025-12-23,17.91,17.91,15.11,15.6,1162117,38.15
2025-12-24,15.8,15.98,14.5,14.86,262354,58.99
2025-12-25,15.8,15.98,14.5,14.86,262354,58.99
2025-12-26,14.93,15.29,14.36,14.76,41862,63.07
2025-12-29,14.94,14.97,14.04,14.67,46316,65.53
2025-12-30,14.93,16.38,14.2,15.05,122554,67.12
2025-12-31,15.4,18.06,14.55,18.06,1091371,81.51
2026-01-01,20.0,21.67,20.0,21.67,817029,38.91
2026-01-02,23.7,23.83,23.3,23.83,268108,88.13
2026-01-05,26.2,26.21,21.67,26.21,1068375,34.21
2026-01-06,27.0,28.83,25.2,28.83,306228,48.87
2026-01-07,30.27,30.27,27.39,27.39,1199376,44.24
2026-06-15,31.0,31.96,30.25,30.44,12079,70.84
2026-06-16,31.0,31.2,30.01,30.5,11716,58.56
2026-06-17,30.99,30.99,30.0,30.23,10775,74.09
2026-06-18,30.0,31.74,29.09,31.74,30342,73.79
2026-06-19,32.0,33.32,31.13,33.15,24445,60.06
2026-06-22,34.7,34.7,31.95,32.83,7028,89.46
2026-06-23,32.83,34.2,32.05,33.18,10830,36.49
2026-06-24,33.18,33.18,31.85,32.56,5460,91.23
2026-06-25,32.56,33.0,31.2,31.59,18052,54.7
2026-06-26,32.56,33.0,31.2,31.59,18052,54.7
2026-06-29,31.75,32.5,30.21,31.11,7778,47.08
2026-06-30,31.12,32.2,31.01,31.57,7167,72.47
2026-07-01,31.02,32.8,30.52,30.93,7659,23.37
2026-07-02,32.0,32.4,30.51,30.98,8928,69.18
2026-07-03,31.1,32.4,30.98,31.54,3648,72.31
2026-07-06,31.75,32.95,31.14,32.59,18221,84.45
2026-07-07,31.94,33.11,31.8,32.7,6562,87.81
2026-07-08,32.5,32.5,31.07,31.07,10787,83.66
2026-07-09,31.07,31.87,30.1,30.22,12057,98.14
2026-07-10,31.5,31.5,28.71,28.96,60113,79.82
2026-07-13,27.61,29.69,27.61,28.7,16309,79.46
2026-07-14,27.6,29.89,27.6,27.69,17402,75.09
2026-07-15,28.1,29.07,26.51,29.07,22293,85.17
2026-07-16,30.5,30.5,28.6,29.76,5175,74.47
2026-07-17,29.9,31.24,28.54,31.24,32415,86.34
2026-07-20,32.79,32.79,29.7,29.98,15537,89.35
2026-07-21,30.58,30.99,29.5,30.04,6299,78.2
2026-07-22,30.65,30.97,29.55,29.8,3914,61.73
2026-07-23,30.4,30.4,28.31,28.72,15884,87.95
2026-07-24,29.4,29.8,28.2,29.52,8224,87.5
2026-07-27,30.11,30.69,28.21,28.51,21014,81.68
2026-07-28,28.65,29.39,28.02,28.2,5237,93.93
2026-07-29,28.12,29.61,28.12,28.92,10527,87.41
2026-07-30,29.99,30.35,28.0,29.21,6374,48.56
2026-07-31,28.5,30.0,28.5,29.69,4723,57.15
2026-08-03,29.69,30.0,28.68,29.67,10836,87.55
2026-08-04,30.9,30.9,29.0,29.03,5195,84.93
2026-08-05,28.89,29.93,28.6,29.48,4684,86.14
2026-08-07,29.05,30.0,28.63,29.18,4763,79.91
2026-08-10,28.62,29.9,26.76,27.29,25267,89.1
2026-08-11,27.0,28.99,26.52,27.11,44492,98.33
2026-08-12,27.0,27.99,26.56,26.8,9686,93.26
2026-08-13,26.51,29.48,26.51,29.48,49921,91.2
2026-08-14,29.48,30.99,28.0,29.86,15229,77.29
2026-08-17,28.5,30.0,28.5,29.3,1038,50.0
2026-08-18,29.16,29.8,28.36,28.47,2070,99.08
2026-08-19,28.8,29.4,28.25,28.84,5470,93.16
2026-08-20,28.51,30.0,27.0,27.42,77843,66.09
2026-08-21,28.0,28.49,27.0,28.2,32892,81.3
2026-08-24,28.0,29.95,28.0,28.8,144421,90.41
2026-08-25,29.4,29.99,28.12,28.65,33612,87.92
2026-08-26,29.4,29.4,28.26,29.13,2845,87.35
2026-08-27,29.0,29.5,27.71,28.58,9317,83.49
2026-08-28,29.5,31.43,29.5,31.42,329368,92.74
2026-08-31,31.42,31.42,28.45,28.59,54412,68.75
2026-09-01,28.59,29.78,28.03,28.65,10368,68.74
2026-09-02,28.65,29.85,28.65,29.49,9678,93.96
2026-09-03,29.78,31.75,28.25,31.54,403387,94.96
